Complexity,Loss,Equation,score,sympy_format,lambda_format
1,17.348276,-3.1729543,0.0,-3.17295430000000,PySRFunction(X=>-3.17295430000000)
3,11.307392,x2 * -6.3461084,0.2140182321600496,x2*(-6.3461084),PySRFunction(X=>x2*(-6.3461084))
4,7.72134,log(0.802207 - x2),0.38146874703760647,log(0.802207 - x2),PySRFunction(X=>log(0.802207 - x2))
5,7.280135,(x2 * -15.864046) + 6.3453484,0.05883851811109715,6.3453484 + x2*(-15.864046),PySRFunction(X=>6.3453484 + x2*(-15.864046))
6,7.1577287,log(0.802207 - x2) + x0,0.016956696015658267,x0 + log(0.802207 - x2),PySRFunction(X=>x0 + log(0.802207 - x2))
7,6.3302073,"(0.35073555 - aq(x2, x0)) * 17.851137",0.12285972554202335,(0.35073555 - x2/sqrt(x0**2 + 1))*17.851137,PySRFunction(X=>(0.35073555 - x2/sqrt(x0**2 + 1))*17.851137)
9,6.19706,"6.3735714 - (aq(x2, aq(x0, x1)) * 17.886988)",0.010628999198838402,6.3735714 - 17.886988*x2/sqrt(x0**2/(x1**2 + 1) + 1),PySRFunction(X=>6.3735714 - 17.886988*x2/sqrt(x0**2/(x1**2 + 1) + 1))
10,6.167695,"(0.35445184 - aq(x2, aq(x0, square(x1)))) * 17.941393",0.0047497997667793205,(0.35445184 - x2/sqrt(x0**2/(x1**4 + 1) + 1))*17.941393,PySRFunction(X=>(0.35445184 - x2/sqrt(x0**2/(x1**4 + 1) + 1))*17.941393)
11,6.162225,"6.3630967 - aq(x2 * 17.846558, x0 - square(square(x1)))",0.0008872726439192056,6.3630967 - 17.846558*x2/sqrt((x0 - x1**4)**2 + 1),PySRFunction(X=>6.3630967 - 17.846558*x2/sqrt((x0 - x1**4)**2 + 1))
12,5.9306493,"(0.36336607 - aq(x2, x0 - square(x1 - 0.32072514))) * 17.92702",0.038304212513243965,(0.36336607 - x2/sqrt((x0 - (x1 - 1*0.32072514)**2)**2 + 1))*17.92702,PySRFunction(X=>(0.36336607 - x2/sqrt((x0 - (x1 - 1*0.32072514)**2)**2 + 1))*17.92702)
13,5.8715677,"((0.3778354 - aq(x2, x0)) - square(square(0.49288985 - x1))) * 18.099972",0.01001203308352057,(-x2/sqrt(x0**2 + 1) - (0.49288985 - x1)**4 + 0.3778354)*18.099972,PySRFunction(X=>(-x2/sqrt(x0**2 + 1) - (0.49288985 - x1)**4 + 0.3778354)*18.099972)
14,5.4106565,"((0.39442554 - aq(x2, x0)) - (x2 * square(0.40249777 - x1))) * 16.488153",0.08175123318067706,(-x2*(0.40249777 - x1)**2 - x2/sqrt(x0**2 + 1) + 0.39442554)*16.488153,PySRFunction(X=>(-x2*(0.40249777 - x1)**2 - x2/sqrt(x0**2 + 1) + 0.39442554)*16.488153)
16,5.2053638,"((0.38949835 - aq(x2, x0)) - square(((x1 - 0.40461043) * 1.4724742) * x2)) * 14.169934",0.019340420446196528,(-2.16818026966564*x2**2*(x1 - 1*0.40461043)**2 - x2/sqrt(x0**2 + 1) + 0.38949835)*14.169934,PySRFunction(X=>(-2.16818026966564*x2**2*(x1 - 1*0.40461043)**2 - x2/sqrt(x0**2 + 1) + 0.38949835)*14.169934)
17,5.0608153,"((0.3553112 - aq(x2, x0)) - square(square(square(square((x2 - x1) + 0.1298491))))) * 14.761093",0.028161997154699695,(-x2/sqrt(x0**2 + 1) - (-x1 + x2 + 0.1298491)**16 + 0.3553112)*14.761093,PySRFunction(X=>(-x2/sqrt(x0**2 + 1) - (-x1 + x2 + 0.1298491)**16 + 0.3553112)*14.761093)
18,4.5914307,"((0.35456175 - aq(x2, x0)) * 14.826404) - square(square(square(square(square((x2 - x1) + 0.2583001)))))",0.09733592195140023,(0.35456175 - x2/sqrt(x0**2 + 1))*14.826404 - (-x1 + x2 + 0.2583001)**32,PySRFunction(X=>(0.35456175 - x2/sqrt(x0**2 + 1))*14.826404 - (-x1 + x2 + 0.2583001)**32)
19,4.3506703,"((0.3531235 - aq(x2, x0)) * 15.276538) - square(square(square(square(square(square((x2 - x1) + 0.23299292))))))",0.05386174966703986,(0.3531235 - x2/sqrt(x0**2 + 1))*15.276538 - (-x1 + x2 + 0.23299292)**64,PySRFunction(X=>(0.3531235 - x2/sqrt(x0**2 + 1))*15.276538 - (-x1 + x2 + 0.23299292)**64)
20,4.3485575,"(((0.37257856 - aq(x2, x0)) * 14.573274) - square(square(square(square(square(0.2609014 + (x2 - x1))))))) - x1",0.0004857442729669336,-x1 + (0.37257856 - x2/sqrt(x0**2 + 1))*14.573274 - (-x1 + x2 + 0.2609014)**32,PySRFunction(X=>-x1 + (0.37257856 - x2/sqrt(x0**2 + 1))*14.573274 - (-x1 + x2 + 0.2609014)**32)
