# param=bhfeedback z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_sobolev/refit/z3.6/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
30,7.8420453,0.7181355860556053,3.195421997489845e-05,48,False,True
29,7.933716,0.8563854085475984,3.178988429225628e-05,48,False,True
28,7.9651866,0.6343133701870748,3.0028937593853204e-05,48,False,True
27,8.210157,0.6841086142638421,3.567060589610582e-05,48,False,True
26,8.440051,0.5763028311122959,3.380284289992175e-05,48,False,True
25,8.805906,0.7527618054008383,2.497188405140151e-05,48,False,True
24,9.231468,0.8570590780842211,2.8636230120368292e-05,48,False,True
23,9.37984,0.9588400512768447,2.8481457517973272e-05,48,False,True
22,9.888769,1.3120820672052358,2.7037972933307655e-05,48,False,True
21,10.1116085,1.0372184267265365,4.1701060601449314e-05,48,False,True
20,10.867189,1.3343597515240548,4.025223577136507e-05,48,False,True
19,11.750383,1.2447921384524259,3.8103909009563996e-05,48,False,True
18,12.719156,1.4778088641014095,3.819668412199322e-05,48,False,True
17,13.744631,1.271570587935223,6.243663385339826e-05,48,False,True
16,15.007191,1.548292149556798,6.257618089647562e-05,48,False,True
15,18.06063,1.3283397789465599,6.443258285224497e-05,48,False,True
14,18.566776,2.147811953851986,6.311879496727299e-05,48,False,True
13,20.05509,2.147811953851986,6.596358778968963e-05,48,False,True
12,23.231968,3.426766095709791,6.561212988654283e-05,48,False,True
11,24.8241,3.4267660957211294,6.862614109328796e-05,48,False,True
10,30.597721,3.426766095709791,0.00011344272262475051,48,False,True
9,39.61958,1.014796188205873,0.0002977875055509409,48,False,True
8,41.579075,1.0253755168849317,0.0003417516586815103,48,False,True
7,54.70816,1.9494797029665063,0.0001952307753029808,48,False,True
6,66.069305,2.914512885659078,0.000131545044505833,48,False,True
5,91.55922,1.6525016911931123,0.00019148400027373615,48,False,True
