# param=herei z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_sobolev/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
30,0.4840358,0.043314772923906175,1.4355085745603923e-05,48,True,True
29,0.4854362,0.06441070315790054,1.3900288866193456e-05,48,True,True
28,0.49728668,0.05259946697635187,1.2509327583243114e-05,48,True,True
27,0.50574964,0.06502072839405415,1.2716777774506788e-05,48,True,True
25,0.5086438,0.06537033366117428,1.289161481905138e-05,48,True,True
24,0.51190597,0.0648284513440075,1.4014507323431413e-05,48,True,True
23,0.56283355,0.05546659707457702,1.2569229160574583e-05,48,True,True
22,0.5691466,0.05454803609925596,1.9732148509008124e-05,48,True,True
21,0.6413014,0.07774314491032353,2.7472873126953497e-05,48,True,True
20,0.6541206,0.07615736214905211,4.04282884187542e-05,48,True,True
19,0.68347,0.08540802242557588,1.4093269861076982e-05,48,True,True
18,0.7171942,0.08647734136967555,4.398450052161729e-05,48,True,True
17,0.7818639,0.07530146490145573,6.236970134612198e-05,48,True,True
16,0.82831484,0.08128074856893541,0.00017932485080864716,48,True,True
15,0.8908168,0.06953119770235117,0.0002276186920158373,48,True,True
14,0.94026524,0.09352279260362151,0.00018035844386967583,48,True,True
13,1.0119101,0.07007330075674767,5.3431136948121616e-05,48,True,True
12,1.086715,0.06902207064749782,0.0001410164111464686,48,True,True
11,1.1094378,0.06915606814726355,0.00019743249508313314,48,True,True
10,1.2766634,0.1648949857555707,0.0002286072873634365,48,True,True
9,2.3366222,0.2706242784116296,0.00020908135942576827,48,False,True
8,2.5341964,0.21232605517439618,0.0005842780979052085,48,True,True
7,3.1108696,0.37936694506065993,0.0003694115938844573,48,False,True
6,3.1987987,0.32197534939414496,0.0004534677852487637,48,False,True
5,4.05108,0.11605092540122752,0.0006375808850196145,48,True,True
4,8.923422,0.2682184614628769,0.00043105575852101093,48,False,True
3,10.020342,0.29475723167236534,0.00797947984893335,48,False,True
2,22.978804,0.20945731148225666,0.010857550747175086,48,True,True
1,24.636395,0.5149572576236955,0.00362060101527199,48,False,True
