# param=ns z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_sobolev/refit/z3.6/pareto_ns.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
16,12.040262,0.08434130209553514,0.002932173534535949,48,True,True
15,12.287205,0.125523215787249,0.0054290213714951446,48,True,True
13,13.509747,0.17278592963041228,0.005560976531721613,48,True,True
12,17.335598,0.2435919071821414,0.005779309132055727,48,True,True
11,19.037493,0.19260136447867537,0.003557302433082904,48,True,True
10,24.348423,0.2130753673525938,0.0030011718431448373,48,True,True
9,27.757086,0.26209837830473637,0.00643724498926782,48,False,True
8,40.728996,0.5959647969020817,0.003505848721434829,48,False,True
7,47.823975,0.6087449140209931,0.005880415955856374,48,False,True
5,55.01521,0.7512384509273615,0.005841807019859403,48,False,True
4,61.91178,0.8916741616982464,0.004432629733177746,48,False,True
3,65.44556,0.9479012456474463,0.0026372762158959717,48,False,True
2,67.87984,0.5228523038213132,0.003243717154652808,48,False,True
