# param=omegamh2 z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_sobolev/refit/z3.6/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
29,59.782867,0.19627249460139695,0.00019116085784286977,48,True,True
27,60.04236,0.16338303915257268,0.00018011670158638585,48,True,True
26,61.253525,0.1848541353766321,0.00020694246204457987,48,True,True
25,62.10736,0.2302311571433846,0.0002209792132499546,48,True,True
24,63.112507,0.22359361981314196,0.00022717168228491327,48,True,True
23,63.26112,0.13657815892232217,0.00019958659566046415,48,True,True
22,63.466526,0.13431149565480516,0.00020321486673716764,48,True,True
21,63.64902,0.13712444410517155,0.0002178283563258022,48,True,True
20,64.08861,0.14765325280177455,0.00019891142732225624,48,True,True
19,64.84095,0.13517886370220555,0.0002162208731633213,48,True,True
18,65.21952,0.11561381291049044,0.00016689444439901287,48,True,True
17,66.33472,0.09516393058793804,0.00017455445135464422,48,True,True
16,67.38852,0.12569413423871817,0.00019369122714670865,48,True,True
14,69.86958,0.13529389842688905,0.00017452393389408034,48,True,True
13,74.08276,0.1695534446461806,0.0001930538078143547,48,True,True
12,74.67093,0.0657848439169666,0.00021369648602672208,48,True,True
11,75.09622,0.0869858536700927,0.0001928548253973245,48,True,True
10,77.63294,0.0869858536700927,0.00013684915660608731,48,True,True
9,80.566574,0.12744205778273054,0.0001982244101862415,48,True,True
8,83.05792,0.12949323267636548,0.00013283983105537642,48,True,True
7,84.931915,0.2734452578422032,0.000218669249686219,48,False,True
6,90.343704,0.1271003298015015,0.00029106781593593036,48,True,True
5,93.844765,0.14380321585829586,0.00012783375837075624,48,True,True
4,107.437294,0.4467143211578962,0.00016738420654403147,48,False,True
3,112.4729,0.4645217153252695,0.00017757086871360747,48,False,True
2,134.52795,0.7206601459775418,0.0015654462047261758,48,False,True
1,146.8596,0.7851231892134842,0.0016543756466580173,48,False,True
