# param=tau0 z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_sobolev/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
30,0.0010207227,0.002822942742643386,8.03119695904673e-06,48,True,True
29,0.0011050552,0.003134952972192795,1.0876346015798847e-05,48,True,True
28,0.0011147906,0.0030532603948088544,7.79822509163062e-06,48,True,True
27,0.001196332,0.003142480707255535,1.1103165744681108e-05,48,True,True
26,0.0017747376,0.004759406888830975,8.502032639391133e-06,48,True,True
25,0.0021549189,0.005049945858939087,7.746314901693858e-06,48,True,True
23,0.002220655,0.005823565187937529,9.608953011113715e-06,48,True,True
22,0.0023255213,0.005835353248927477,5.135086962265776e-06,48,True,True
21,0.0024967715,0.0054536021854993955,1.257648086128982e-05,48,True,True
19,0.0026897362,0.005663215514269682,1.3725114372255244e-05,48,True,True
17,0.0035471218,0.005472833422135781,7.053821618737239e-05,48,True,True
15,0.0055756625,0.0061837504820428935,7.175740927105604e-05,48,True,True
14,0.007964197,0.006727964006748466,0.00017416119361382285,48,True,True
13,0.014146256,0.005333982902314682,9.892901529850643e-05,48,True,True
12,0.014855681,0.006619136616895782,0.00038786837129174223,48,True,True
11,0.015204877,0.009537472662566104,0.00045659023844356447,48,True,True
10,0.019473586,0.017206685521287346,0.0004328269579636628,48,True,True
9,0.02521937,0.006781143571218118,0.0004145532859991786,48,True,True
8,0.05735842,0.036999142253424266,0.00015271253184507,48,True,True
7,0.12503816,0.02032157491783787,0.000427600618778546,48,True,True
6,0.31942362,0.09009300819224009,0.0018767141040813473,48,True,True
5,1.0827225,0.09493788869464304,0.0005462619789210623,48,True,True
3,4.2309904,0.04026549246362321,0.11607984874768375,48,True,True
2,22.926933,0.37190132540641835,0.1366901650928477,48,False,True
1,31.715305,0.6817947906083224,0.03462998846246365,48,False,True
