Complexity,Loss,Equation,score,sympy_format,lambda_format
1,242.34296,x0,0.0,x0,PySRFunction(X=>x0)
2,215.68094,exp(x0),0.11655372695018303,exp(x0),PySRFunction(X=>exp(x0))
3,168.29271,"aq(-9.298236, x0)",0.24809540127245489,-9.298236/sqrt(x0**2 + 1),PySRFunction(X=>-9.298236/sqrt(x0**2 + 1))
4,133.00739,square(x0 * -2.1389284),0.23530009416268396,4.57501470032656*x0**2,PySRFunction(X=>4.57501470032656*x0**2)
5,118.8957,"aq(-17.111826, x0) + 11.2684555",0.11215805238954588,11.2684555 - 17.111826/sqrt(x0**2 + 1),PySRFunction(X=>11.2684555 - 17.111826/sqrt(x0**2 + 1))
6,93.66189,"square(aq(x2, x0)) * -20.510534",0.2385552552743732,(x2**2/(x0**2 + 1))*(-20.510534),PySRFunction(X=>(x2**2/(x0**2 + 1))*(-20.510534))
7,78.83915,"11.267977 - (x2 * aq(28.519707, x0))",0.1722816820268661,11.267977 - x2*28.519707/sqrt(x0**2 + 1),PySRFunction(X=>11.267977 - x2*28.519707/sqrt(x0**2 + 1))
8,74.70516,(-10.345895 - (square(x0) * -8.126023)) * x2,0.05386053483879164,x2*(-(-8.126023)*x0**2 - 10.345895),PySRFunction(X=>x2*(-(-8.126023)*x0**2 - 10.345895))
9,57.218597,"aq(-22.757933, x0 + (x2 + -0.790312)) + 17.074955",0.2666701981357872,17.074955 - 22.757933/sqrt((x0 + x2 - 0.790312)**2 + 1),PySRFunction(X=>17.074955 - 22.757933/sqrt((x0 + x2 - 0.790312)**2 + 1))
11,44.441956,"(x2 * aq(-31.925087, (x0 + x2) + -0.76724267)) + 13.417805",0.12634749485914165,x2*(-31.925087/sqrt((x0 + x2 - 0.76724267)**2 + 1)) + 13.417805,PySRFunction(X=>x2*(-31.925087/sqrt((x0 + x2 - 0.76724267)**2 + 1)) + 13.417805)
12,37.40115,"aq(aq(-26.375643, (x0 + x2) + -0.7922855), log(x2)) + 16.793016",0.17248252559340654,16.793016 - 26.375643/(sqrt((x0 + x2 - 0.7922855)**2 + 1)*sqrt(log(x2)**2 + 1)),PySRFunction(X=>16.793016 - 26.375643/(sqrt((x0 + x2 - 0.7922855)**2 + 1)*sqrt(log(x2)**2 + 1)))
13,33.96631,"aq(23.316277, x2) + aq(-25.443222, aq(x2 + x0, x1) + -0.7520764)",0.09633230159609564,-25.443222/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.7520764)**2 + 1) + 23.316277/sqrt(x2**2 + 1),PySRFunction(X=>-25.443222/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.7520764)**2 + 1) + 23.316277/sqrt(x2**2 + 1))
14,27.322466,"aq(aq(-28.45617, aq(x2 + x0, x1) + -0.749537), log(x2)) + 18.549149",0.2176598568424892,18.549149 - 28.45617/(sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.749537)**2 + 1)*sqrt(log(x2)**2 + 1)),PySRFunction(X=>18.549149 - 28.45617/(sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.749537)**2 + 1)*sqrt(log(x2)**2 + 1)))
15,24.675161,"aq(63.44978, x2) + (aq(-24.958197, aq(x0 + x2, x1) + -0.74249446) + -35.05104)",0.1019121840513189,-35.05104 - 24.958197/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.74249446)**2 + 1) + 63.44978/sqrt(x2**2 + 1),PySRFunction(X=>-35.05104 - 24.958197/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.74249446)**2 + 1) + 63.44978/sqrt(x2**2 + 1))
16,22.907663,"aq(63.235104, x2) + (aq(-24.445312, aq(x0 + x2, square(x1)) + -0.76676893) + -35.3691)",0.07432562671553597,-35.3691 - 24.445312/sqrt(((x0 + x2)/sqrt(x1**4 + 1) - 0.76676893)**2 + 1) + 63.235104/sqrt(x2**2 + 1),PySRFunction(X=>-35.3691 - 24.445312/sqrt(((x0 + x2)/sqrt(x1**4 + 1) - 0.76676893)**2 + 1) + 63.235104/sqrt(x2**2 + 1))
17,22.883759,square(x0 + (x0 + (x0 - (x1 + 1.4250702)))) - exp((x2 * 3.2652218) - x0),0.0010440384302243145,(x0 + x0 + x0 - (x1 + 1.4250702))**2 - exp(-x0 + x2*3.2652218),PySRFunction(X=>(x0 + x0 + x0 - (x1 + 1.4250702))**2 - exp(-x0 + x2*3.2652218))
18,19.271833,square((((x0 + x0) - 1.5392476) + x0) - square(x1)) - exp((x2 * 3.2647543) - x0),0.17178284512150477,(x0 + x0 + x0 - x1**2 - 1*1.5392476)**2 - exp(-x0 + x2*3.2647543),PySRFunction(X=>(x0 + x0 + x0 - x1**2 - 1*1.5392476)**2 - exp(-x0 + x2*3.2647543))
19,19.184805,square((((x0 - 1.3843147) + x0) + x0) - square(x1)) - exp((square(x2) * 3.9525738) - x0),0.004526040397202712,(x0 + x0 + x0 - x1**2 - 1*1.3843147)**2 - exp(-x0 + x2**2*3.9525738),PySRFunction(X=>(x0 + x0 + x0 - x1**2 - 1*1.3843147)**2 - exp(-x0 + x2**2*3.9525738))
20,16.500345,"square(x0 + (aq((x0 + x0) - -4.563292, square(x1)) - 6.0989985)) - exp((x2 * 3.253533) - x0)",0.15073726967763396,(x0 - 1*6.0989985 + (x0 + x0 - 1*(-4.563292))/sqrt(x1**4 + 1))**2 - exp(-x0 + x2*3.253533),PySRFunction(X=>(x0 - 1*6.0989985 + (x0 + x0 - 1*(-4.563292))/sqrt(x1**4 + 1))**2 - exp(-x0 + x2*3.253533))
22,15.835312,"square(7.017106 - aq(x0 + ((x0 + x0) - -5.454025), x1 * square(x1))) - exp((x2 * 3.2577224) - x0)",0.02056945339660807,(7.017106 - (x0 + x0 + x0 - 1*(-5.454025))/sqrt(x1**6 + 1))**2 - exp(-x0 + x2*3.2577224),PySRFunction(X=>(7.017106 - (x0 + x0 + x0 - 1*(-5.454025))/sqrt(x1**6 + 1))**2 - exp(-x0 + x2*3.2577224))
23,15.62445,"(square(x0 + (aq((x0 + x0) - -4.5271316, square(x1)) - 6.071933)) - exp((x2 * 3.2680292) - x0)) - log(x2)",0.013405387982705203,(x0 + (2*x0 + 4.5271316)/sqrt(x1**4 + 1) - 6.071933)**2 - exp(-x0 + 3.2680292*x2) - log(x2),PySRFunction(X=>(x0 + (2*x0 + 4.5271316)/sqrt(x1**4 + 1) - 6.071933)**2 - exp(-x0 + 3.2680292*x2) - log(x2))
24,14.232073,"square((x0 + aq(x0 + (aq(x0, x0) - -4.9218855), square(x1))) - 5.9641833) - exp((x2 * (6.0695953 - x0)) + -2.3594987)",0.09333891536643563,(x0 - 1*5.9641833 + (x0 + x0/sqrt(x0**2 + 1) - 1*(-4.9218855))/sqrt(x1**4 + 1))**2 - exp(x2*(6.0695953 - x0) - 2.3594987),PySRFunction(X=>(x0 - 1*5.9641833 + (x0 + x0/sqrt(x0**2 + 1) - 1*(-4.9218855))/sqrt(x1**4 + 1))**2 - exp(x2*(6.0695953 - x0) - 2.3594987))
25,14.15105,"square(6.8739696 - (aq(aq(x0, x0) + (x0 - -5.28893), square(x1)) + x0)) - (exp((x2 * 3.260681) - x0) - square(x0))",0.005709253353302832,(6.8739696 - (x0 + (x0 + x0/sqrt(x0**2 + 1) - 1*(-5.28893))/sqrt(x1**4 + 1)))**2 - (-x0**2 + exp(-x0 + x2*3.260681)),PySRFunction(X=>(6.8739696 - (x0 + (x0 + x0/sqrt(x0**2 + 1) - 1*(-5.28893))/sqrt(x1**4 + 1)))**2 - (-x0**2 + exp(-x0 + x2*3.260681)))
26,12.3455105,"aq(square((x0 + aq((x0 + x0) - -5.7170224, square(x1))) - 7.0738034) - exp((3.513458 - x0) * x2), x2 - x1) - -1.8780956",0.1364963515666492,-1*(-1.8780956) + ((x0 - 1*7.0738034 + (x0 + x0 - 1*(-5.7170224))/sqrt(x1**4 + 1))**2 - exp(x2*(3.513458 - x0)))/sqrt((-x1 + x2)**2 + 1),PySRFunction(X=>-1*(-1.8780956) + ((x0 - 1*7.0738034 + (x0 + x0 - 1*(-5.7170224))/sqrt(x1**4 + 1))**2 - exp(x2*(3.513458 - x0)))/sqrt((-x1 + x2)**2 + 1))
28,11.465525,"aq(square(aq(x0 - -5.882277, square(x1)) + ((x0 + x0) - 7.2163596)) - exp(x2 * (3.5141075 - x0)), x1 + (x1 - 0.9388883)) - -1.6120558",0.036973883957803946,-1*(-1.6120558) + ((x0 + x0 + (x0 - 1*(-5.882277))/sqrt(x1**4 + 1) - 1*7.2163596)**2 - exp(x2*(3.5141075 - x0)))/sqrt((x1 + x1 - 1*0.9388883)**2 + 1),PySRFunction(X=>-1*(-1.6120558) + ((x0 + x0 + (x0 - 1*(-5.882277))/sqrt(x1**4 + 1) - 1*7.2163596)**2 - exp(x2*(3.5141075 - x0)))/sqrt((x1 + x1 - 1*0.9388883)**2 + 1))
29,10.890363,"aq(square(aq(x0 - -5.9789624, square(x1)) + ((x0 + x0) - 7.3132596)) - exp((3.50933 - x0) * x2), (x1 + square(x1)) - 0.8345747) - -1.630068",0.05146643707827586,-1*(-1.630068) + ((x0 + x0 + (x0 - 1*(-5.9789624))/sqrt(x1**4 + 1) - 1*7.3132596)**2 - exp(x2*(3.50933 - x0)))/sqrt((x1**2 + x1 - 1*0.8345747)**2 + 1),PySRFunction(X=>-1*(-1.630068) + ((x0 + x0 + (x0 - 1*(-5.9789624))/sqrt(x1**4 + 1) - 1*7.3132596)**2 - exp(x2*(3.50933 - x0)))/sqrt((x1**2 + x1 - 1*0.8345747)**2 + 1))
30,10.49581,"aq(square((((x0 + x0) - aq(-6.55975, square(x1))) + x0) - 7.930826) - exp(x2 * (3.5705822 - x0)), x2 + ((x1 * -2.3318121) * x1)) - -1.8910065",0.03690213981891795,-1*(-1.8910065) + ((x0 + x0 + x0 - 1*7.930826 - (-1)*6.55975/sqrt(x1**4 + 1))**2 - exp(x2*(3.5705822 - x0)))/sqrt((x1*(-2.3318121)*x1 + x2)**2 + 1),PySRFunction(X=>-1*(-1.8910065) + ((x0 + x0 + x0 - 1*7.930826 - (-1)*6.55975/sqrt(x1**4 + 1))**2 - exp(x2*(3.5705822 - x0)))/sqrt((x1*(-2.3318121)*x1 + x2)**2 + 1))
