Complexity,Loss,Equation,score,sympy_format,lambda_format
1,24.636395,x0,0.0,x0,PySRFunction(X=>x0)
2,22.978804,exp(x0),0.06965259533378743,exp(x0),PySRFunction(X=>exp(x0))
3,10.020342,x0 * 2.6565816,0.8299549989986921,x0*2.6565816,PySRFunction(X=>x0*2.6565816)
4,8.923422,log(x0 + 0.16283256),0.11593772149990866,log(x0 + 0.16283256),PySRFunction(X=>log(x0 + 0.16283256))
5,4.05108,log(square(x0 + 0.3755566)),0.789695993074984,log((x0 + 0.3755566)**2),PySRFunction(X=>log((x0 + 0.3755566)**2))
6,3.1987987,2.3112218 - exp(1.4978414 - x0),0.23620817916276418,2.3112218 - exp(1.4978414 - x0),PySRFunction(X=>2.3112218 - exp(1.4978414 - x0))
7,3.1108696,"(aq(x0, x0) - x2) * 3.955302",0.027873031818811938,(x0/sqrt(x0**2 + 1) - x2)*3.955302,PySRFunction(X=>(x0/sqrt(x0**2 + 1) - x2)*3.955302)
8,2.5341964,"aq(2.7784352 - exp(1.6586033 - x0), x2)",0.205025716439289,(2.7784352 - exp(1.6586033 - x0))/sqrt(x2**2 + 1),PySRFunction(X=>(2.7784352 - exp(1.6586033 - x0))/sqrt(x2**2 + 1))
9,2.3366222,"aq(aq(x0, x0) - x2, x2) * 4.6659374",0.08117020257490054,((x0/sqrt(x0**2 + 1) - x2)/sqrt(x2**2 + 1))*4.6659374,PySRFunction(X=>((x0/sqrt(x0**2 + 1) - x2)/sqrt(x2**2 + 1))*4.6659374)
10,1.2766634,"aq(x0 * 5.9289484, exp(x2 * x0)) + -2.168719",0.604456426465678,5.9289484*x0/sqrt(exp(2*x0*x2) + 1) - 2.168719,PySRFunction(X=>5.9289484*x0/sqrt(exp(2*x0*x2) + 1) - 2.168719)
11,1.1094378,"aq(x0 * 4.1133194, (x0 * x2) * 1.813248) - 2.1800072",0.14039655524428502,4.1133194*x0/sqrt(3.287868309504*x0**2*x2**2 + 1) - 1*2.1800072,PySRFunction(X=>4.1133194*x0/sqrt(3.287868309504*x0**2*x2**2 + 1) - 1*2.1800072)
12,1.086715,"aq(x0 * 4.040547, (x2 * 1.7852814) * x0) - exp(x2)",0.020694016281176224,4.040547*x0/sqrt(3.18722967718596*x0**2*x2**2 + 1) - exp(x2),PySRFunction(X=>4.040547*x0/sqrt(3.18722967718596*x0**2*x2**2 + 1) - exp(x2))
13,1.0119101,"((aq(x0, (x0 * 1.8081663) * x2) * 4.105094) - x2) + -1.578436",0.07131965132176758,-x2 + (x0/sqrt(3.26946536845569*x0**2*x2**2 + 1))*4.105094 - 1.578436,PySRFunction(X=>-x2 + (x0/sqrt(3.26946536845569*x0**2*x2**2 + 1))*4.105094 - 1.578436)
14,0.94026524,"aq(aq(x0 * 4.231545, x0 * (x2 * 1.8182453)) - 2.2413049, square(x1))",0.07343300623505485,(4.231545*x0/sqrt(3.30601597097209*x0**2*x2**2 + 1) - 1*2.2413049)/sqrt(x1**4 + 1),PySRFunction(X=>(4.231545*x0/sqrt(3.30601597097209*x0**2*x2**2 + 1) - 1*2.2413049)/sqrt(x1**4 + 1))
15,0.8908168,"aq(aq(x0 * 4.322109, (x0 * x2) * 1.8922505), aq(x1, x0)) + -2.1764061",0.05402321101673512,4.322109*x0/(sqrt(3.58061195475025*x0**2*x2**2 + 1)*sqrt(x1**2/(x0**2 + 1) + 1)) - 2.1764061,PySRFunction(X=>4.322109*x0/(sqrt(3.58061195475025*x0**2*x2**2 + 1)*sqrt(x1**2/(x0**2 + 1) + 1)) - 2.1764061)
16,0.82831484,"aq(aq(x0 * 4.248242, (x2 * x0) * 1.8448162) - 2.2378678, square(aq(x1, x0)))",0.07274547099989591,(4.248242*x0/sqrt(3.40334681178244*x0**2*x2**2 + 1) - 1*2.2378678)/sqrt(x1**4/(x0**2 + 1)**2 + 1),PySRFunction(X=>(4.248242*x0/sqrt(3.40334681178244*x0**2*x2**2 + 1) - 1*2.2378678)/sqrt(x1**4/(x0**2 + 1)**2 + 1))
17,0.7818639,"aq(aq(x0 * 4.3125057, x2 * (x0 * 1.8658979)) - x2, aq(x1, x0)) + -1.6049035",0.05771263917994081,(4.3125057*x0/sqrt(3.48157497322441*x0**2*x2**2 + 1) - x2)/sqrt(x1**2/(x0**2 + 1) + 1) - 1.6049035,PySRFunction(X=>(4.3125057*x0/sqrt(3.48157497322441*x0**2*x2**2 + 1) - x2)/sqrt(x1**2/(x0**2 + 1) + 1) - 1.6049035)
18,0.7171942,"aq((aq(x0 * 4.2328696, x2 * (x0 * 1.8301073)) + -1.6359228) - x2, square(aq(x1, x0)))",0.08633402978445809,(4.2328696*x0/sqrt(3.34929272951329*x0**2*x2**2 + 1) - x2 - 1.6359228)/sqrt(x1**4/(x0**2 + 1)**2 + 1),PySRFunction(X=>(4.2328696*x0/sqrt(3.34929272951329*x0**2*x2**2 + 1) - x2 - 1.6359228)/sqrt(x1**4/(x0**2 + 1)**2 + 1))
19,0.68347,"aq(aq(x0 * 4.217828, (x0 * x2) * -1.8256086) - exp(x2), square(aq(x1, x0))) - 0.37248182",0.04816389122624779,(4.217828*x0/sqrt(3.33284676039396*x0**2*x2**2 + 1) - exp(x2))/sqrt(x1**4/(x0**2 + 1)**2 + 1) - 1*0.37248182,PySRFunction(X=>(4.217828*x0/sqrt(3.33284676039396*x0**2*x2**2 + 1) - exp(x2))/sqrt(x1**4/(x0**2 + 1)**2 + 1) - 1*0.37248182)
20,0.6541206,"aq((aq(x0 * 4.282799, 1.8671912 * (x2 * x0)) - x2) + -1.6482028, (x0 + -1.1781169) * square(x1))",0.043891025340353704,(4.282799*x0/sqrt(3.48640297735744*x0**2*x2**2 + 1) - x2 - 1.6482028)/sqrt(x1**4*(x0 - 1.1781169)**2 + 1),PySRFunction(X=>(4.282799*x0/sqrt(3.48640297735744*x0**2*x2**2 + 1) - x2 - 1.6482028)/sqrt(x1**4*(x0 - 1.1781169)**2 + 1))
21,0.6413014,"aq((-1.8468145 + aq(x0 * 4.2791643, (x0 * 1.8631531) * x2)) - square(x2), square(x1) * (x0 + -1.1799448))",0.019792188908574437,(4.2791643*x0/sqrt(3.47133947403961*x0**2*x2**2 + 1) - x2**2 - 1.8468145)/sqrt(x1**4*(x0 - 1.1799448)**2 + 1),PySRFunction(X=>(4.2791643*x0/sqrt(3.47133947403961*x0**2*x2**2 + 1) - x2**2 - 1.8468145)/sqrt(x1**4*(x0 - 1.1799448)**2 + 1))
22,0.5691466,"(aq(x0 * 4.218555, x2 * (x0 * 1.8758739)) - aq(5.361823, (x2 - x0) * square(x1))) - aq(-3.673088, x2)",0.11936150328530971,4.218555*x0/sqrt(3.51890288870121*x0**2*x2**2 + 1) - 5.361823/sqrt(x1**4*(-x0 + x2)**2 + 1) - (-1)*3.673088/sqrt(x2**2 + 1),PySRFunction(X=>4.218555*x0/sqrt(3.51890288870121*x0**2*x2**2 + 1) - 5.361823/sqrt(x1**4*(-x0 + x2)**2 + 1) - (-1)*3.673088/sqrt(x2**2 + 1))
23,0.56283355,"aq(x0 * 4.207405, x2 * (x0 * 1.864284)) - (log(x2) + (aq(5.0665827, square(x1) * (x0 - x2)) - 2.2698464))",0.011154109818271443,4.207405*x0/sqrt(3.475554832656*x0**2*x2**2 + 1) - log(x2) + 2.2698464 - 5.0665827/sqrt(x1**4*(x0 - x2)**2 + 1),PySRFunction(X=>4.207405*x0/sqrt(3.475554832656*x0**2*x2**2 + 1) - log(x2) + 2.2698464 - 5.0665827/sqrt(x1**4*(x0 - x2)**2 + 1))
24,0.51190597,"aq(x0 * 4.2045183, x2 * (x0 * 1.8212785)) - (aq(6.519406, square(x1) * (aq(x0, 0.7392193) - x2)) - aq(5.0013933, x2))",0.09484298028489994,4.2045183*x0/sqrt(3.31705537456225*x0**2*x2**2 + 1) - (6.519406/sqrt(x1**4*(0.804141982487406*x0 - x2)**2 + 1) - 5.0013933/sqrt(x2**2 + 1)),PySRFunction(X=>4.2045183*x0/sqrt(3.31705537456225*x0**2*x2**2 + 1) - (6.519406/sqrt(x1**4*(0.804141982487406*x0 - x2)**2 + 1) - 5.0013933/sqrt(x2**2 + 1)))
