Complexity,Loss,Equation,score,sympy_format,lambda_format
1,120.60545,-3.3738449,0.0,-3.37384490000000,PySRFunction(X=>-3.37384490000000)
3,56.246277,x0 * -3.7699132,0.38139231087884395,x0*(-3.7699132),PySRFunction(X=>x0*(-3.7699132))
5,38.2406,"aq(x0 * -5.6656947, x0)",0.19292103689537593,-5.6656947*x0/sqrt(x0**2 + 1),PySRFunction(X=>-5.6656947*x0/sqrt(x0**2 + 1))
6,32.462894,"aq(x0 * -10.723333, exp(x0))",0.16380006444021625,-10.723333*x0/sqrt(exp(2*x0) + 1),PySRFunction(X=>-10.723333*x0/sqrt(exp(2*x0) + 1))
7,30.936317,square(exp(0.71772456 - x0)) + -5.2018523,0.04816691278249565,-5.2018523 + 4.20153157697031*exp(-2*x0),PySRFunction(X=>-5.2018523 + 4.20153157697031*exp(-2*x0))
8,25.884216,(x2 * -12.690663) + exp(1.8338274 - x0),0.1782974391302592,x2*(-12.690663) + exp(1.8338274 - x0),PySRFunction(X=>x2*(-12.690663) + exp(1.8338274 - x0))
9,20.922354,exp(exp(0.52431506 - x0)) - exp(exp(x2)),0.21281520531674927,-exp(exp(x2)) + exp(exp(0.52431506 - x0)),PySRFunction(X=>-exp(exp(x2)) + exp(exp(0.52431506 - x0)))
10,19.59676,square(exp(0.717832 - x0)) + (square(x2) * -13.296404),0.06545391031749685,x2**2*(-13.296404) + 4.20243449908205*exp(-2*x0),PySRFunction(X=>x2**2*(-13.296404) + 4.20243449908205*exp(-2*x0))
11,17.102837,"(x2 * -11.814345) + exp(exp(aq(0.6578949 - x0, x2)))",0.136119890269047,x2*(-11.814345) + exp(exp((0.6578949 - x0)/sqrt(x2**2 + 1))),PySRFunction(X=>x2*(-11.814345) + exp(exp((0.6578949 - x0)/sqrt(x2**2 + 1))))
12,16.622293,"(square(x2) * -16.057507) + exp(exp(aq(0.6506803 - x0, x2)))",0.028499609963930125,x2**2*(-16.057507) + exp(exp((0.6506803 - x0)/sqrt(x2**2 + 1))),PySRFunction(X=>x2**2*(-16.057507) + exp(exp((0.6506803 - x0)/sqrt(x2**2 + 1))))
13,16.173279,"(exp(exp(aq(0.6537396 - x0, x2))) + (x2 * -16.186014)) + 2.9476507",0.027384310253792066,x2*(-16.186014) + exp(exp((0.6537396 - x0)/sqrt(x2**2 + 1))) + 2.9476507,PySRFunction(X=>x2*(-16.186014) + exp(exp((0.6537396 - x0)/sqrt(x2**2 + 1))) + 2.9476507)
14,13.369867,(exp(exp((1.4224392 - x2) * (1.1523871 - x0))) - 15.02311) * square(x2),0.19035699254229585,x2**2*(exp(exp((1.1523871 - x0)*(1.4224392 - x2))) - 1*15.02311),PySRFunction(X=>x2**2*(exp(exp((1.1523871 - x0)*(1.4224392 - x2))) - 1*15.02311))
