# param=Ap z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_value/refit/z3.6/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
30,0.17919955,0.38832157739381323,4.976538985272555e-05,48,False,True
29,0.18039565,0.44814219294368496,5.652569176375946e-05,48,False,True
28,0.18223333,0.3575788922394738,4.438823407751046e-05,48,False,True
27,0.19640608,0.3458175355760167,0.00017654164281674062,48,False,True
26,0.2067344,0.08104052899928377,2.708281945601663e-05,48,True,True
24,0.20976286,0.06684030799806129,2.403025107566193e-05,48,True,True
23,0.23268041,0.07804581614810902,0.00023301989484413596,48,True,True
22,0.2520754,0.3646023593504903,0.00021934311196289294,48,False,True
21,0.2563943,0.35064362338792665,0.00021801892414905969,48,False,True
20,0.27212998,0.3069684468329648,0.00023477155890058604,48,False,True
19,0.27783442,0.3120232926321133,0.0002512268746955913,48,False,True
18,0.29909876,0.28713165568557314,0.00023185778069962018,48,False,True
17,0.3400327,0.4092362433742417,0.000245552195749729,48,False,True
16,0.3962751,0.15616902938237814,6.472862502709312e-05,48,True,True
15,0.41010824,0.48059733262231485,0.00035364104731250577,48,False,True
14,0.44581324,0.07029294842199535,6.580155987488486e-05,48,True,True
13,0.4667577,0.259379367805874,8.048407929892799e-05,48,False,True
12,0.48481256,0.2532300539415676,8.223732667739846e-05,48,False,True
10,0.5200407,0.29318044302892937,0.0001046181986876322,48,False,True
9,0.5586248,0.1612955081055914,0.0003750386478239785,48,True,True
8,0.58447737,0.28568229567916653,6.961594131197042e-05,48,False,True
7,0.58535486,0.33372603855219446,0.0003501414419917056,48,False,True
6,0.68254864,0.3678531461830127,0.00020053854975753482,48,False,True
5,0.69417584,0.29326847720744803,0.0002969516251514538,48,False,True
4,1.0249573,0.17607100480194604,0.0004745260987993991,48,True,True
3,1.3571283,0.77941824546005,0.0014639573595566003,48,False,True
