# param=dtau0 z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_value/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
29,0.0006641388,0.008550852663737674,1.4080599522216748e-06,48,True,True
27,0.0007935313,0.00855028254240725,1.7887901332531238e-06,48,True,True
25,0.0008032038,0.008598272219081604,1.8103837878324125e-06,48,True,True
24,0.0008120782,0.0085498943211757,1.8291434084641236e-06,48,True,True
23,0.0008261701,0.008553737333884981,1.8598241754557189e-06,48,True,True
22,0.00082823244,0.008550347961651883,1.8632429997379237e-06,48,True,True
20,0.00083528203,0.008549891930963283,1.8846059621677671e-06,48,True,True
18,0.000835313,0.008550413556293934,1.8839850182873296e-06,48,True,True
17,0.00095113396,0.008553737333884981,2.156717112909168e-06,48,True,True
16,0.0010464502,0.008550275609300495,2.3430815611755404e-06,48,True,True
15,0.0011054775,0.008550050541877463,2.2279217538001797e-06,48,True,True
14,0.001384282,0.008553737333884981,2.8646371480139427e-06,48,True,True
13,0.0024710791,0.008550047037483577,5.095479148755417e-06,48,True,True
12,0.003023923,0.008550023504727722,3.6803909159584946e-06,48,True,True
11,0.0073272656,0.00855005730209224,8.186623890040342e-06,48,True,True
9,0.019113036,0.06738847791717656,1.9001218156580016e-05,48,True,True
8,0.03541982,0.014546777391007515,7.159444964205836e-05,48,True,True
7,0.048714757,0.08373965775272052,8.833420951584492e-05,48,True,True
5,0.08669644,0.04074478296682904,7.175926626346522e-05,48,True,True
4,0.5191014,0.5816754218168549,0.0004250941391710898,48,False,True
3,0.80418956,0.7095447227128111,0.0009575518416062712,48,False,True
