# param=herei z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_value/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
30,0.0055783787,0.08531714204701901,1.1924466758039904e-05,48,True,True
28,0.00562186,0.08333434488150415,1.210849163337156e-05,48,True,True
26,0.0057053855,0.0935335877775354,1.227206701566302e-05,48,True,True
24,0.0058940887,0.08480407192253542,1.2726890001235272e-05,48,True,True
22,0.0062048472,0.08596872931829391,1.3116637214345052e-05,48,True,True
20,0.007590213,0.16721816550354918,1.462562082743428e-05,48,True,True
18,0.009472016,0.17471925239712693,1.6214511446811386e-05,48,True,True
17,0.01141556,0.1975249126633336,1.6473808633912217e-05,48,True,True
16,0.011957507,0.2010632417555953,1.5341533049818052e-05,48,True,True
14,0.013842254,0.1703124414520406,2.259521445633739e-05,48,True,True
13,0.01768766,0.13839299721428888,3.38579188117536e-05,48,True,True
12,0.024896549,0.22774290409790376,5.0648406576097036e-05,48,True,True
11,0.02726443,0.06234270566153988,5.878971830117458e-05,48,True,True
10,0.027637392,0.057700508828660846,5.977841294476384e-05,48,True,True
9,0.03796471,0.2593655264248862,6.852149442761852e-05,48,False,True
8,0.040578835,0.21042000787178028,6.909521037575692e-05,48,True,True
7,0.05882225,0.33055664468060575,8.151536872866084e-05,48,False,True
6,0.08224163,0.31867083133463614,0.00012579819737390294,48,False,True
5,0.115535684,0.41873243555316064,0.00015186339725669278,48,False,True
4,0.3926734,0.21681568453275973,0.00026695161115328756,48,True,True
3,0.6062867,0.5149572576236955,0.0006524365203209555,48,False,True
