# param=tau0 z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize30_value/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
30,5.073407e-05,0.00499233877350308,3.3078976839980258e-06,48,True,True
28,5.119574e-05,0.005063917777529958,3.273394047470939e-06,48,True,True
26,5.1364146e-05,0.004973302956589043,3.3072878145195926e-06,48,True,True
24,5.382484e-05,0.005064037914960295,3.2731387499762033e-06,48,True,True
22,8.63843e-05,0.006123735728665036,4.36952176080864e-06,48,True,True
20,9.0123765e-05,0.006279727717968586,4.4865801750932144e-06,48,True,True
19,0.00011749049,0.006079472617283255,6.326557319834239e-06,48,True,True
18,0.00013774447,0.006824046433843545,6.098485045196726e-06,48,True,True
16,0.00015544628,0.01576933487679144,5.90036757569001e-06,48,True,True
15,0.00029171834,0.014050928393872286,9.863880115170381e-06,48,True,True
14,0.0005288426,0.02949874043857703,1.829450194309094e-05,48,True,True
13,0.0006378024,0.021161726008429027,2.1257015733094823e-05,48,True,True
12,0.0012385009,0.005832339699818334,7.710429042245469e-05,48,True,True
11,0.001408687,0.021435160777185658,8.251762227649614e-05,48,True,True
10,0.0027453424,0.03643039894346861,0.0001138422803794305,48,True,True
9,0.0046255263,0.08503441978319404,0.00019702493476757694,48,True,True
7,0.008808339,0.02141603411580384,0.00034098832936862837,48,True,True
6,0.012266323,0.06035583710066794,0.00046622939166888604,48,True,True
5,0.014097689,0.08507180889536603,0.0005307858502052774,48,True,True
4,0.28200287,0.37190132540633214,0.010001936051617475,48,False,True
3,0.5178297,0.6817947906082361,0.018235929868635103,48,False,True
2,0.721443,0.5672409152273322,0.02822782135202664,48,False,True
1,0.87462705,0.6817947906083224,0.03462998846246365,48,False,True
