Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.8447642,-0.50308967,0.0,-0.503089670000000,PySRFunction(X=>-0.503089670000000)
3,1.3571283,x0 + -1.0029864,0.15349027063441864,x0 - 1.0029864,PySRFunction(X=>x0 - 1.0029864)
4,1.0249573,log(x0 + 0.08119695),0.28071996999181986,log(x0 + 0.08119695),PySRFunction(X=>log(x0 + 0.08119695))
5,0.69417584,(x0 - x2) * 3.2039437,0.38968093199665577,(x0 - x2)*3.2039437,PySRFunction(X=>(x0 - x2)*3.2039437)
6,0.68254864,(x0 * 2.8658166) - exp(x2),0.016891508252544835,x0*2.8658166 - exp(x2),PySRFunction(X=>x0*2.8658166 - exp(x2))
7,0.58535486,((x0 - x2) * 3.0205307) - x1,0.15361553030290231,-x1 + (x0 - x2)*3.0205307,PySRFunction(X=>-x1 + (x0 - x2)*3.0205307)
8,0.58447737,(x0 * 3.2383354) - (x1 + exp(x2)),0.0015001983054833451,x0*3.2383354 - (x1 + exp(x2)),PySRFunction(X=>x0*3.2383354 - (x1 + exp(x2)))
9,0.5586248,((x0 - x2) * (3.3935735 - x0)) - x1,0.04524001407897343,-x1 + (3.3935735 - x0)*(x0 - x2),PySRFunction(X=>-x1 + (3.3935735 - x0)*(x0 - x2))
10,0.5200407,(x0 * 3.2043428) - exp((x1 + 0.9006577) * x2),0.07157097148825683,x0*3.2043428 - exp(x2*(x1 + 0.9006577)),PySRFunction(X=>x0*3.2043428 - exp(x2*(x1 + 0.9006577)))
12,0.48481256,"aq((x0 * 3.411605) - exp(x2 * (x1 + 1.0226116)), x1)",0.03507236786654898,(x0*3.411605 - exp(x2*(x1 + 1.0226116)))/sqrt(x1**2 + 1),PySRFunction(X=>(x0*3.411605 - exp(x2*(x1 + 1.0226116)))/sqrt(x1**2 + 1))
13,0.4667577,"aq((x0 * 3.3579862) - exp((x1 + 0.99094796) * x2), square(x1))",0.03795206267041342,(x0*3.3579862 - exp(x2*(x1 + 0.99094796)))/sqrt(x1**4 + 1),PySRFunction(X=>(x0*3.3579862 - exp(x2*(x1 + 0.99094796)))/sqrt(x1**4 + 1))
14,0.44581324,"aq((x0 * 3.9390998) - exp(x2 * (x1 + 1.1789547)), x1 + x0)",0.04591015941232616,(x0*3.9390998 - exp(x2*(x1 + 1.1789547)))/sqrt((x0 + x1)**2 + 1),PySRFunction(X=>(x0*3.9390998 - exp(x2*(x1 + 1.1789547)))/sqrt((x0 + x1)**2 + 1))
15,0.41010824,"aq(aq(x0, x1) - x2, 5.9940915 - square(square(x2 + x1))) * 12.518529",0.08347899507104277,((x0/sqrt(x1**2 + 1) - x2)/sqrt((5.9940915 - (x1 + x2)**4)**2 + 1))*12.518529,PySRFunction(X=>((x0/sqrt(x1**2 + 1) - x2)/sqrt((5.9940915 - (x1 + x2)**4)**2 + 1))*12.518529)
16,0.3962751,"aq((x0 * 3.79707) - exp(x2 * (x1 + 1.111156)), square(x0 + square(x1)))",0.034312457822551615,(x0*3.79707 - exp(x2*(x1 + 1.111156)))/sqrt((x0 + x1**2)**4 + 1),PySRFunction(X=>(x0*3.79707 - exp(x2*(x1 + 1.111156)))/sqrt((x0 + x1**2)**4 + 1))
17,0.3400327,"aq(aq(aq(x0, x1) - x2, square(square(x1 + x2)) - 6.1348433) * 14.96912, x1)",0.1530668775777988,14.96912*(x0/sqrt(x1**2 + 1) - x2)/(sqrt(x1**2 + 1)*sqrt(((x1 + x2)**4 - 1*6.1348433)**2 + 1)),PySRFunction(X=>14.96912*(x0/sqrt(x1**2 + 1) - x2)/(sqrt(x1**2 + 1)*sqrt(((x1 + x2)**4 - 1*6.1348433)**2 + 1)))
18,0.29909876,"aq(x0 - x2, square(x1 + x0)) * aq(17.35523, 6.2689815 - square(square(x2 + x1)))",0.1282679695994717,((x0 - x2)/sqrt((x0 + x1)**4 + 1))*(17.35523/sqrt((6.2689815 - (x1 + x2)**4)**2 + 1)),PySRFunction(X=>((x0 - x2)/sqrt((x0 + x1)**4 + 1))*(17.35523/sqrt((6.2689815 - (x1 + x2)**4)**2 + 1)))
19,0.27783442,"(x0 - x2) * aq(aq(17.401531, square(square(x1 + x2)) - 6.3669367), square(square(x1 + x0)))",0.0737484951238166,(17.401531/(sqrt((x0 + x1)**8 + 1)*sqrt(((x1 + x2)**4 - 1*6.3669367)**2 + 1)))*(x0 - x2),PySRFunction(X=>(17.401531/(sqrt((x0 + x1)**8 + 1)*sqrt(((x1 + x2)**4 - 1*6.3669367)**2 + 1)))*(x0 - x2))
20,0.27212998,"aq(aq(16.864342, square(square(x1 + x2)) - 6.253628) * (aq(x0, x1) - x2), square(x1 + x0))",0.020745504932172847,16.864342*(x0/sqrt(x1**2 + 1) - x2)/(sqrt((x0 + x1)**4 + 1)*sqrt(((x1 + x2)**4 - 1*6.253628)**2 + 1)),PySRFunction(X=>16.864342*(x0/sqrt(x1**2 + 1) - x2)/(sqrt((x0 + x1)**4 + 1)*sqrt(((x1 + x2)**4 - 1*6.253628)**2 + 1)))
21,0.2563943,"aq(aq(x0 - x2, square(square(x1 + x2)) - 6.3910236) * 16.52137, square(square((x0 * x1) + x1)))",0.05956332589050433,16.52137*(x0 - x2)/(sqrt((x0*x1 + x1)**8 + 1)*sqrt(((x1 + x2)**4 - 1*6.3910236)**2 + 1)),PySRFunction(X=>16.52137*(x0 - x2)/(sqrt((x0*x1 + x1)**8 + 1)*sqrt(((x1 + x2)**4 - 1*6.3910236)**2 + 1)))
22,0.2520754,"aq((x0 - x2) * aq(16.407234, 6.4415994 - square(square(x2 + x1))), square(square(square((x1 * x0) + x1))))",0.01698824480283283,16.407234*(x0 - x2)/(sqrt((6.4415994 - (x1 + x2)**4)**2 + 1)*sqrt((x0*x1 + x1)**16 + 1)),PySRFunction(X=>16.407234*(x0 - x2)/(sqrt((6.4415994 - (x1 + x2)**4)**2 + 1)*sqrt((x0*x1 + x1)**16 + 1)))
23,0.23268041,"aq(aq((x0 - square(square(x1))) - x2, exp(x0)) * 11.507928, 2.0817235 - square(square(square(x2 - (x1 + 1.1282066)))))",0.08006236798965663,11.507928*(x0 - x1**4 - x2)/(sqrt((2.0817235 - (x2 - (x1 + 1.1282066))**8)**2 + 1)*sqrt(exp(2*x0) + 1)),PySRFunction(X=>11.507928*(x0 - x1**4 - x2)/(sqrt((2.0817235 - (x2 - (x1 + 1.1282066))**8)**2 + 1)*sqrt(exp(2*x0) + 1)))
24,0.20976286,"aq(aq(((x0 - square(x1)) - aq(x2, x0)) * 8.9691925, 1.633686 - square(square(square(x2 - (x1 + 1.0950875))))), exp(x0))",0.10368822656518775,8.9691925*(x0 - x1**2 - x2/sqrt(x0**2 + 1))/(sqrt((1.633686 - (x2 - (x1 + 1.0950875))**8)**2 + 1)*sqrt(exp(2*x0) + 1)),PySRFunction(X=>8.9691925*(x0 - x1**2 - x2/sqrt(x0**2 + 1))/(sqrt((1.633686 - (x2 - (x1 + 1.0950875))**8)**2 + 1)*sqrt(exp(2*x0) + 1)))
26,0.2067344,"aq(aq((x0 - (square(x1) * x2)) - aq(x2, x0), exp(x0)) * 10.128517, square(square(square((x1 + 1.1049058) - x2))) - 1.8558062)",0.007271388470818566,10.128517*(x0 - x1**2*x2 - x2/sqrt(x0**2 + 1))/(sqrt(((x1 - x2 + 1.1049058)**8 - 1*1.8558062)**2 + 1)*sqrt(exp(2*x0) + 1)),PySRFunction(X=>10.128517*(x0 - x1**2*x2 - x2/sqrt(x0**2 + 1))/(sqrt(((x1 - x2 + 1.1049058)**8 - 1*1.8558062)**2 + 1)*sqrt(exp(2*x0) + 1)))
27,0.19640608,"aq(aq(7.046048, square(square(x0) + -2.0546873) * x0) * ((x0 - square(x1)) - x2), square(square(square((x1 + 1.0982579) - x2))) - 1.7200476)",0.05125052493951229,7.046048*(x0 - x1**2 - x2)/(sqrt(x0**2*(x0**2 - 2.0546873)**4 + 1)*sqrt(((x1 - x2 + 1.0982579)**8 - 1*1.7200476)**2 + 1)),PySRFunction(X=>7.046048*(x0 - x1**2 - x2)/(sqrt(x0**2*(x0**2 - 2.0546873)**4 + 1)*sqrt(((x1 - x2 + 1.0982579)**8 - 1*1.7200476)**2 + 1)))
28,0.18223333,"((x0 - square(x1)) - aq(x2, x0)) * aq(aq(7.142392, square(square(square((x1 + 1.0980678) - x2))) - 1.7200221), square(x0 + -2.2298145) * x0)",0.07489645373006686,(7.142392/(sqrt(x0**2*(x0 - 2.2298145)**4 + 1)*sqrt(((x1 - x2 + 1.0980678)**8 - 1*1.7200221)**2 + 1)))*(x0 - x1**2 - x2/sqrt(x0**2 + 1)),PySRFunction(X=>(7.142392/(sqrt(x0**2*(x0 - 2.2298145)**4 + 1)*sqrt(((x1 - x2 + 1.0980678)**8 - 1*1.7200221)**2 + 1)))*(x0 - x1**2 - x2/sqrt(x0**2 + 1)))
29,0.18039565,"aq(((x0 - square(x1)) - aq(x2, x0)) * aq(7.2373967, square(square(square(x1 + (1.098965 - x2)))) - 1.7519823), square(square(x0) + -2.096584) * x0)",0.010135404685517813,7.2373967*(x0 - x1**2 - x2/sqrt(x0**2 + 1))/(sqrt(x0**2*(x0**2 - 2.096584)**4 + 1)*sqrt(((x1 - x2 + 1.098965)**8 - 1*1.7519823)**2 + 1)),PySRFunction(X=>7.2373967*(x0 - x1**2 - x2/sqrt(x0**2 + 1))/(sqrt(x0**2*(x0**2 - 2.096584)**4 + 1)*sqrt(((x1 - x2 + 1.098965)**8 - 1*1.7519823)**2 + 1)))
30,0.17919955,"aq(aq(7.0101295, exp(square(square((x1 - x2) + 1.0343995))) - 2.7991564) * ((x0 - square(x1)) - aq(x2, x0)), aq(x0 * -3.9046223, square(x0 * 1.5916427)))",0.006652504878795315,7.0101295*(x0 - x1**2 - x2/sqrt(x0**2 + 1))/(sqrt(15.2460753056573*x0**2/(6.41774307688313*x0**4 + 1) + 1)*sqrt((exp((x1 - x2 + 1.0343995)**4) - 1*2.7991564)**2 + 1)),PySRFunction(X=>7.0101295*(x0 - x1**2 - x2/sqrt(x0**2 + 1))/(sqrt(15.2460753056573*x0**2/(6.41774307688313*x0**4 + 1) + 1)*sqrt((exp((x1 - x2 + 1.0343995)**4) - 1*2.7991564)**2 + 1)))
