Complexity,Loss,Equation,score,sympy_format,lambda_format
1,25.033516,-4.6854177,0.0,-4.68541770000000,PySRFunction(X=>-4.68541770000000)
3,11.861689,x2 * -9.370734,0.37345088605781407,x2*(-9.370734),PySRFunction(X=>x2*(-9.370734))
4,4.7811546,log(0.8004224 - x2),0.9086317294446756,log(0.8004224 - x2),PySRFunction(X=>log(0.8004224 - x2))
5,3.0804708,9.371046 - (x2 * 23.427414),0.43959962300559213,9.371046 - 23.427414*x2,PySRFunction(X=>9.371046 - 23.427414*x2)
7,1.7788242,"9.320808 - (aq(24.586296, x1) * x2)",0.2745649291038527,9.320808 - x2*24.586296/sqrt(x1**2 + 1),PySRFunction(X=>9.320808 - x2*24.586296/sqrt(x1**2 + 1))
8,1.544059,"3.0639598 - square(aq(x2 * 4.6204357, x1))",0.14153792093143097,3.0639598 - 21.3484260578345*x2**2/(x1**2 + 1),PySRFunction(X=>3.0639598 - 21.3484260578345*x2**2/(x1**2 + 1))
9,1.4050059,"aq(10.735195 - (x2 * 26.83798), x1 + x1)",0.09437316124259289,(10.735195 - 26.83798*x2)/sqrt((x1 + x1)**2 + 1),PySRFunction(X=>(10.735195 - 26.83798*x2)/sqrt((x1 + x1)**2 + 1))
11,1.3444523,"(1.176394 - x0) - square(aq(-5.210816, x1) * square(x2))",0.022027391920267918,-x0 - 27.152603385856*x2**4/(x1**2 + 1) + 1.176394,PySRFunction(X=>-x0 - 27.152603385856*x2**4/(x1**2 + 1) + 1.176394)
12,1.3002661,"4.2797947 - (x1 + (exp(aq(x2 * 3.3373923, x1)) + x0))",0.033417782396041165,4.2797947 - (x0 + x1 + exp(3.3373923*x2/sqrt(x1**2 + 1))),PySRFunction(X=>4.2797947 - (x0 + x1 + exp(3.3373923*x2/sqrt(x1**2 + 1))))
13,1.2863516,"(1.0961778 - x0) - square(square(aq(x2 * 2.2980504, aq(x1, x1))))",0.01075894147193063,-x0 - 27.8893374408803*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + 1.0961778,PySRFunction(X=>-x0 - 27.8893374408803*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + 1.0961778)
14,1.2283121,"square(x0 - 1.1933084) - square(square(x2 * aq(2.2964032, aq(x1, x1))))",0.04616904382865407,-27.8094611291112*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + (x0 - 1*1.1933084)**2,PySRFunction(X=>-27.8094611291112*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + (x0 - 1*1.1933084)**2)
15,1.1757944,"square(square(x0 - 1.1787214)) - square(square(2.2902834 * aq(x2, aq(x1, x1))))",0.04369694626805836,-27.5142007272359*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + (x0 - 1*1.1787214)**4,PySRFunction(X=>-27.5142007272359*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + (x0 - 1*1.1787214)**4)
16,1.139762,"square(1.4294453 - (x0 * 2.2786458)) - square(square(aq(x2, aq(x1, x1)) * 2.2943563))",0.031124535579241844,-27.7104417174666*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + (1.4294453 - 2.2786458*x0)**2,PySRFunction(X=>-27.7104417174666*x2**4/(x1**2/(x1**2 + 1) + 1)**2 + (1.4294453 - 2.2786458*x0)**2)
