Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.0033851,-0.52035093,0.0,-0.520350930000000,PySRFunction(X=>-0.520350930000000)
3,0.6062867,x0 + -1.0203831,0.2518908429631524,x0 - 1.0203831,PySRFunction(X=>x0 - 1.0203831)
4,0.3926734,log(x0 - -0.11223637),0.43437475339755066,log(x0 + 0.11223637),PySRFunction(X=>log(x0 + 0.11223637))
5,0.115535684,(x0 - x2) * 2.9109538,1.2233987884775401,(x0 - x2)*2.9109538,PySRFunction(X=>(x0 - x2)*2.9109538)
6,0.08224163,(x0 * 2.7056475) - exp(x2),0.33991781307749047,x0*2.7056475 - exp(x2),PySRFunction(X=>x0*2.7056475 - exp(x2))
7,0.05882225,((x0 - x2) * 2.7300348) - 0.24736254,0.3351414368599648,(x0 - x2)*2.7300348 - 1*0.24736254,PySRFunction(X=>(x0 - x2)*2.7300348 - 1*0.24736254)
8,0.040578835,"(aq(x0, x2) * 3.1804812) - exp(x2)",0.37127355942733,(x0/sqrt(x2**2 + 1))*3.1804812 - exp(x2),PySRFunction(X=>(x0/sqrt(x2**2 + 1))*3.1804812 - exp(x2))
9,0.03796471,"((x0 + -0.10114602) - x2) * aq(3.3090897, x2)",0.06658958124054704,(3.3090897/sqrt(x2**2 + 1))*(x0 - x2 - 0.10114602),PySRFunction(X=>(3.3090897/sqrt(x2**2 + 1))*(x0 - x2 - 0.10114602))
10,0.027637392,((square(2.2534373 - x2) * x0) - x2) - 1.3072939,0.31748740557963673,x0*(2.2534373 - x2)**2 - x2 - 1*1.3072939,PySRFunction(X=>x0*(2.2534373 - x2)**2 - x2 - 1*1.3072939)
11,0.02726443,(((4.6761904 - (x2 * 3.1450613)) * x0) - x2) - 1.3149428,0.01358671620572438,x0*(4.6761904 - 3.1450613*x2) - x2 - 1*1.3149428,PySRFunction(X=>x0*(4.6761904 - 3.1450613*x2) - x2 - 1*1.3149428)
12,0.024896549,"aq(((square(x2 - 2.3492057) * x0) - 1.4409994) - x2, x0)",0.09085372274808431,(x0*(x2 - 1*2.3492057)**2 - x2 - 1*1.4409994)/sqrt(x0**2 + 1),PySRFunction(X=>(x0*(x2 - 1*2.3492057)**2 - x2 - 1*1.4409994)/sqrt(x0**2 + 1))
13,0.01768766,((x0 - x2) * (5.5296392 - ((x2 * 3.7495418) + x0))) - 0.30562854,0.3418619781891257,(5.5296392 - (x0 + x2*3.7495418))*(x0 - x2) - 1*0.30562854,PySRFunction(X=>(5.5296392 - (x0 + x2*3.7495418))*(x0 - x2) - 1*0.30562854)
14,0.013842254,((x0 - x2) * (4.096558 - square(x2 * (x0 + 1.454965)))) - 0.3190228,0.24514142309819528,(4.096558 - x2**2*(x0 + 1.454965)**2)*(x0 - x2) - 1*0.3190228,PySRFunction(X=>(4.096558 - x2**2*(x0 + 1.454965)**2)*(x0 - x2) - 1*0.3190228)
16,0.011957507,"aq(((x0 - x2) * (4.277566 - square((x0 + 1.4824483) * x2))) - 0.33538917, x1)",0.0731832581109753,((4.277566 - x2**2*(x0 + 1.4824483)**2)*(x0 - x2) - 1*0.33538917)/sqrt(x1**2 + 1),PySRFunction(X=>((4.277566 - x2**2*(x0 + 1.4824483)**2)*(x0 - x2) - 1*0.33538917)/sqrt(x1**2 + 1))
17,0.01141556,"aq(((x0 - x2) * (4.1866665 - square(x2 * (x0 + 1.4651353)))) - 0.3268161, square(x1))",0.046381944943670324,((4.1866665 - x2**2*(x0 + 1.4651353)**2)*(x0 - x2) - 1*0.3268161)/sqrt(x1**4 + 1),PySRFunction(X=>((4.1866665 - x2**2*(x0 + 1.4651353)**2)*(x0 - x2) - 1*0.3268161)/sqrt(x1**4 + 1))
18,0.009472016,"aq(((x0 - x2) * (4.1603646 - square((x0 + 1.456991) * x2))) - 0.32981262, x1 * x2)",0.18663556970570935,((4.1603646 - x2**2*(x0 + 1.456991)**2)*(x0 - x2) - 1*0.32981262)/sqrt(x1**2*x2**2 + 1),PySRFunction(X=>((4.1603646 - x2**2*(x0 + 1.456991)**2)*(x0 - x2) - 1*0.32981262)/sqrt(x1**2*x2**2 + 1))
