Complexity,Loss,Equation,score,sympy_format,lambda_format
1,46.216045,-5.1147113,0.0,-5.11471130000000,PySRFunction(X=>-5.11471130000000)
3,30.520834,x2 * -10.229123,0.20745874989048815,x2*(-10.229123),PySRFunction(X=>x2*(-10.229123))
4,20.688648,log(0.8000692 - x2),0.3888243883415173,log(0.8000692 - x2),PySRFunction(X=>log(0.8000692 - x2))
5,20.057358,10.229258 - (x2 * 25.573004),0.030989075070167203,10.229258 - 25.573004*x2,PySRFunction(X=>10.229258 - 25.573004*x2)
6,19.84592,"aq(log(0.8000692 - x2), x1)",0.01059762452967078,log(0.8000692 - x2)/sqrt(x1**2 + 1),PySRFunction(X=>log(0.8000692 - x2)/sqrt(x1**2 + 1))
7,18.40197,"(x2 * aq(-26.890482, x1)) + 10.204284",0.07554072034366496,x2*(-26.890482/sqrt(x1**2 + 1)) + 10.204284,PySRFunction(X=>x2*(-26.890482/sqrt(x1**2 + 1)) + 10.204284)
8,17.548502,"aq((x2 * -42.057674) + 16.82189, exp(x1))",0.047489133957782564,(16.82189 + x2*(-42.057674))/sqrt(exp(2*x1) + 1),PySRFunction(X=>(16.82189 + x2*(-42.057674))/sqrt(exp(2*x1) + 1))
9,17.547031,"aq((x2 * -93.24721) + 37.29944, exp(exp(x1)))",8.382833227580077e-05,(37.29944 + x2*(-93.24721))/sqrt(exp(2*exp(x1)) + 1),PySRFunction(X=>(37.29944 + x2*(-93.24721))/sqrt(exp(2*exp(x1)) + 1))
10,17.07266,"aq((x2 * -45.192364) + 18.07701, x1 + exp(x1))",0.027406408205260146,(18.07701 + x2*(-45.192364))/sqrt((x1 + exp(x1))**2 + 1),PySRFunction(X=>(18.07701 + x2*(-45.192364))/sqrt((x1 + exp(x1))**2 + 1))
11,14.07861,((log(square(x1 - 0.0069110338)) - 20.572334) * x2) - -10.149972,0.19282172934025116,x2*(log((x1 - 0.0069110338)**2) - 20.572334) + 10.149972,PySRFunction(X=>x2*(log((x1 - 0.0069110338)**2) - 20.572334) + 10.149972)
12,12.383052,(log(square(x1 + -0.0068071852)) - 8.746965) * (exp(x2) + -1.4875149),0.12832786073604638,(exp(x2) - 1.4875149)*(log((x1 - 0.0068071852)**2) - 8.746965),PySRFunction(X=>(exp(x2) - 1.4875149)*(log((x1 - 0.0068071852)**2) - 8.746965))
13,12.045129,log(square(0.0069634337 - x1)) * square(square(x2 * (x1 + 1.3873031))),0.027668417682052086,x2**4*(x1 + 1.3873031)**4*log((0.0069634337 - x1)**2),PySRFunction(X=>x2**4*(x1 + 1.3873031)**4*log((0.0069634337 - x1)**2))
14,11.503833,square(square((exp(x2) + x1) + -1.1363572)) * log(square(x1 + -0.0068707666)),0.04598006166411604,(x1 + exp(x2) - 1.1363572)**4*log((x1 - 0.0068707666)**2),PySRFunction(X=>(x1 + exp(x2) - 1.1363572)**4*log((x1 - 0.0068707666)**2))
15,11.40547,log(square(0.006861939 - x1)) * square(square((x1 - 1.3412703) + (x2 * 3.0395286))),0.00858721930061699,(x1 + 3.0395286*x2 - 1.3412703)**4*log((0.006861939 - x1)**2),PySRFunction(X=>(x1 + 3.0395286*x2 - 1.3412703)**4*log((0.006861939 - x1)**2))
16,11.3840275,log(square(x1 + -0.0068815104)) * (square(square((exp(x2) + x1) + -1.1284701)) - x1),0.001881788427107851,(-x1 + (x1 + exp(x2) - 1.1284701)**4)*log((x1 - 0.0068815104)**2),PySRFunction(X=>(-x1 + (x1 + exp(x2) - 1.1284701)**4)*log((x1 - 0.0068815104)**2))
17,11.108881,"(square(square(x1 + (x2 + 0.35285646))) * log(square(aq(x1 - 0.0070370967, 0.5257685)))) - -3.3948095",0.02446639794882652,(x1 + x2 + 0.35285646)**4*log((0.885117791779165*x1 - 0.00622865949164045)**2) + 3.3948095,PySRFunction(X=>(x1 + x2 + 0.35285646)**4*log((0.885117791779165*x1 - 0.00622865949164045)**2) + 3.3948095)
19,10.929275,"((log(square(aq(x1 - 0.0071323826, 0.65704715))) * square(square(x1 + (x2 + 0.43462977)))) - -5.25978) * x2",0.008149954858512264,x2*((x1 + x2 + 0.43462977)**4*log((0.835742187714493*x1 - 0.00596083303774078)**2) + 5.25978),PySRFunction(X=>x2*((x1 + x2 + 0.43462977)**4*log((0.835742187714493*x1 - 0.00596083303774078)**2) + 5.25978))
21,10.792797,"x2 * ((square(square(x1 + (0.43462977 + x2))) * log(square(aq(0.0071323826 - x1, aq(0.7497341, x0))))) - -5.251431)",0.006283000805277349,x2*((x1 + x2 + 0.43462977)**4*log((0.0071323826 - x1)**2/(1 + 0.56210122070281/(x0**2 + 1))) + 5.251431),PySRFunction(X=>x2*((x1 + x2 + 0.43462977)**4*log((0.0071323826 - x1)**2/(1 + 0.56210122070281/(x0**2 + 1))) + 5.251431))
23,10.679639,"(x2 * ((square(square((0.4473583 + x2) + x1)) * log(square(aq(0.0071950518 - x1, aq(0.7918349, x0))))) - -6.7596216)) - x0",0.005269967858353635,-x0 + x2*((x1 + x2 + 0.4473583)**4*log((0.0071950518 - x1)**2/(1 + 0.62700250885801/(x0**2 + 1))) + 6.7596216),PySRFunction(X=>-x0 + x2*((x1 + x2 + 0.4473583)**4*log((0.0071950518 - x1)**2/(1 + 0.62700250885801/(x0**2 + 1))) + 6.7596216))
24,10.630394,"(x2 * ((square(square(0.4491712 + (x2 + x1))) * log(square(aq(x1 - 0.007275951, square(aq(0.92540354, x0)))))) - -6.748803)) - x0",0.004621774885037798,-x0 + x2*((x1 + x2 + 0.4491712)**4*log((x1 - 0.007275951)**2/(1 + 0.733372508847534/(x0**2 + 1)**2)) + 6.748803),PySRFunction(X=>-x0 + x2*((x1 + x2 + 0.4491712)**4*log((x1 - 0.007275951)**2/(1 + 0.733372508847534/(x0**2 + 1)**2)) + 6.748803))
25,10.62546,"(x2 * ((log(square(aq(0.007239257 - x1, aq(aq(0.85114324, x0), x0)))) * square(square(x1 + (0.44366017 + x2)))) - -6.5274577)) - x0",0.0004642485866357682,-x0 + x2*((x1 + x2 + 0.44366017)**4*log((0.007239257 - x1)**2/(1 + 0.724444814997698/(x0**2 + 1)**2)) + 6.5274577),PySRFunction(X=>-x0 + x2*((x1 + x2 + 0.44366017)**4*log((0.007239257 - x1)**2/(1 + 0.724444814997698/(x0**2 + 1)**2)) + 6.5274577))
26,10.583186,"(((square(square(x1 + (x2 + 0.44945368))) * log(square(aq(x1 - 0.007259616, square(aq(0.93758714, x0)))))) - -7.232775) * x2) - (x0 * 1.6017702)",0.003986492677117646,-1.6017702*x0 + x2*((x1 + x2 + 0.44945368)**4*log((x1 - 0.007259616)**2/(1 + 0.7727634409246/(x0**2 + 1)**2)) + 7.232775),PySRFunction(X=>-1.6017702*x0 + x2*((x1 + x2 + 0.44945368)**4*log((x1 - 0.007259616)**2/(1 + 0.7727634409246/(x0**2 + 1)**2)) + 7.232775))
27,10.501119,"(x2 * ((log(square(aq(x1 - 0.0072842864, square(aq(-0.8803883, x0))))) * square(square(x2 + (0.47292283 + (x1 * 1.1172938))))) - -10.358533)) - exp(x0)",0.0077846924001290395,x2*((1.1172938*x1 + x2 + 0.47292283)**4*log((x1 - 0.0072842864)**2/(1 + 0.600754523086249/(x0**2 + 1)**2)) + 10.358533) - exp(x0),PySRFunction(X=>x2*((1.1172938*x1 + x2 + 0.47292283)**4*log((x1 - 0.0072842864)**2/(1 + 0.600754523086249/(x0**2 + 1)**2)) + 10.358533) - exp(x0))
29,10.482705,"(((square(square((1.1205646 * x1) + (x2 + 0.47402215))) * log(square(aq(0.0073062447 - x1, square(aq(-0.87737876, x0)))))) - -10.353152) * x2) - exp(aq(x0, x1))",0.0008775333193157243,x2*((1.1205646*x1 + x2 + 0.47402215)**4*log((0.0073062447 - x1)**2/(1 + 0.592582014935672/(x0**2 + 1)**2)) + 10.353152) - exp(x0/sqrt(x1**2 + 1)),PySRFunction(X=>x2*((1.1205646*x1 + x2 + 0.47402215)**4*log((0.0073062447 - x1)**2/(1 + 0.592582014935672/(x0**2 + 1)**2)) + 10.353152) - exp(x0/sqrt(x1**2 + 1)))
