Complexity,Loss,Equation,score,sympy_format,lambda_format
1,17.348276,-3.1732173,0.0,-3.17321730000000,PySRFunction(X=>-3.17321730000000)
3,11.307392,x2 * -6.3460016,0.2140182321600496,x2*(-6.3460016),PySRFunction(X=>x2*(-6.3460016))
4,7.754457,log(0.80124974 - x2),0.3771888963067312,log(0.80124974 - x2),PySRFunction(X=>log(0.80124974 - x2))
5,7.280135,(x2 * -15.863924) + 6.345265,0.06311836884197242,6.345265 + x2*(-15.863924),PySRFunction(X=>6.345265 + x2*(-15.863924))
6,6.9053054,log(0.80124974 - x2) + x0,0.05285939128981567,x0 + log(0.80124974 - x2),PySRFunction(X=>x0 + log(0.80124974 - x2))
7,6.3302073,"aq(x2 * -17.850996, x0) + 6.2608867",0.086957030267866,-17.850996*x2/sqrt(x0**2 + 1) + 6.2608867,PySRFunction(X=>-17.850996*x2/sqrt(x0**2 + 1) + 6.2608867)
9,6.19706,"aq(x2 * -17.889025, aq(x0, x1)) + 6.374742",0.010628999198838402,-17.889025*x2/sqrt(x0**2/(x1**2 + 1) + 1) + 6.374742,PySRFunction(X=>-17.889025*x2/sqrt(x0**2/(x1**2 + 1) + 1) + 6.374742)
10,6.167695,"aq(x2 * -17.94243, aq(x0, square(x1))) + 6.359965",0.0047497997667793205,-17.94243*x2/sqrt(x0**2/(x1**4 + 1) + 1) + 6.359965,PySRFunction(X=>-17.94243*x2/sqrt(x0**2/(x1**4 + 1) + 1) + 6.359965)
11,5.4215956,exp(exp(x1 * -41.485603)) * ((x2 * -12.740936) + 5.096368),0.12893502299966766,(5.096368 + x2*(-12.740936))*exp(exp(x1*(-41.485603))),PySRFunction(X=>(5.096368 + x2*(-12.740936))*exp(exp(x1*(-41.485603))))
13,4.5026026,"exp(exp(x1 * -39.356472)) * (aq(x2 * -14.153195, x0) + 4.9498363)",0.09286728906109148,(-14.153195*x2/sqrt(x0**2 + 1) + 4.9498363)*exp(exp(x1*(-39.356472))),PySRFunction(X=>(-14.153195*x2/sqrt(x0**2 + 1) + 4.9498363)*exp(exp(x1*(-39.356472))))
15,4.1735225,"exp(exp(x1 * -35.614845)) * ((x2 * aq(-14.097008, x0)) + aq(5.112018, x1))",0.037947590848045505,(x2*(-14.097008/sqrt(x0**2 + 1)) + 5.112018/sqrt(x1**2 + 1))*exp(exp(x1*(-35.614845))),PySRFunction(X=>(x2*(-14.097008/sqrt(x0**2 + 1)) + 5.112018/sqrt(x1**2 + 1))*exp(exp(x1*(-35.614845))))
16,3.5997949,(5.343214 - (exp((x1 * -229.87813) + (x2 * 11.068431)) * x1)) + (x2 * -13.325459),0.14788353183575872,-x1*exp(x1*(-229.87813) + x2*11.068431) + x2*(-13.325459) + 5.343214,PySRFunction(X=>-x1*exp(x1*(-229.87813) + x2*11.068431) + x2*(-13.325459) + 5.343214)
18,2.6470838,"(aq(x2 * -15.287271, x0) + 5.426922) - (exp((x2 * 11.061593) + (x1 * -229.53957)) * x1)",0.15370914519585935,-x1*exp(x1*(-229.53957) + x2*11.061593) - 15.287271*x2/sqrt(x0**2 + 1) + 5.426922,PySRFunction(X=>-x1*exp(x1*(-229.53957) + x2*11.061593) - 15.287271*x2/sqrt(x0**2 + 1) + 5.426922)
20,2.3422818,"aq(5.840038 - (x1 * exp(((x1 * -291.0085) + 11.148405) * x2)), x1) + aq(x2 * -15.404537, x0)",0.061166499389532766,-15.404537*x2/sqrt(x0**2 + 1) + (5.840038 - x1*exp(x2*(11.148405 + x1*(-291.0085))))/sqrt(x1**2 + 1),PySRFunction(X=>-15.404537*x2/sqrt(x0**2 + 1) + (5.840038 - x1*exp(x2*(11.148405 + x1*(-291.0085))))/sqrt(x1**2 + 1))
21,2.1709855,"aq(30.890804, square(exp(x2 * ((x1 * -219.79903) + 7.9048324)) * x1)) + ((x2 * aq(-15.516594, x0)) + -25.396942)",0.07594437052202134,x2*(-15.516594/sqrt(x0**2 + 1)) - 25.396942 + 30.890804/sqrt(x1**4*exp(4*x2*(7.9048324 + x1*(-219.79903))) + 1),PySRFunction(X=>x2*(-15.516594/sqrt(x0**2 + 1)) - 25.396942 + 30.890804/sqrt(x1**4*exp(4*x2*(7.9048324 + x1*(-219.79903))) + 1))
22,2.055582,"aq(23.070847, (exp(x2 * ((x1 * -261.6746) + 8.59809)) + x2) * x1) + ((aq(-13.679276, x0) * x2) + -17.937956)",0.0546221923938849,x2*(-13.679276/sqrt(x0**2 + 1)) - 17.937956 + 23.070847/sqrt(x1**2*(x2 + exp(x2*(8.59809 + x1*(-261.6746))))**2 + 1),PySRFunction(X=>x2*(-13.679276/sqrt(x0**2 + 1)) - 17.937956 + 23.070847/sqrt(x1**2*(x2 + exp(x2*(8.59809 + x1*(-261.6746))))**2 + 1))
23,1.5348986,"((x2 * aq(-14.735885, x0)) + -25.406778) + aq(30.739044, square(x1 * (exp(x2 * ((x1 * -219.764) + 7.9495826)) - x2)))",0.2920946993049017,x2*(-14.735885/sqrt(x0**2 + 1)) - 25.406778 + 30.739044/sqrt(x1**4*(-x2 + exp(x2*(7.9495826 + x1*(-219.764))))**4 + 1),PySRFunction(X=>x2*(-14.735885/sqrt(x0**2 + 1)) - 25.406778 + 30.739044/sqrt(x1**4*(-x2 + exp(x2*(7.9495826 + x1*(-219.764))))**4 + 1))
25,1.49963,"(aq(x2 * -14.303839, aq(x0, x1)) + -24.432947) + aq(29.560087, square(x1 * (exp(x2 * ((x1 * -219.60922) + 7.956733)) - x2)))",0.011622954605499686,-14.303839*x2/sqrt(x0**2/(x1**2 + 1) + 1) - 24.432947 + 29.560087/sqrt(x1**4*(-x2 + exp(x2*(7.956733 + x1*(-219.60922))))**4 + 1),PySRFunction(X=>-14.303839*x2/sqrt(x0**2/(x1**2 + 1) + 1) - 24.432947 + 29.560087/sqrt(x1**4*(-x2 + exp(x2*(7.956733 + x1*(-219.60922))))**4 + 1))
26,1.4962051,"((x2 * aq(-14.303839, aq(x0, square(x1)))) + -24.432947) + aq(29.560087, square(x1 * (exp(x2 * ((x1 * -219.60922) + 7.956733)) - x2)))",0.0022864419287044416,x2*(-14.303839/sqrt(x0**2/(x1**4 + 1) + 1)) - 24.432947 + 29.560087/sqrt(x1**4*(-x2 + exp(x2*(7.956733 + x1*(-219.60922))))**4 + 1),PySRFunction(X=>x2*(-14.303839/sqrt(x0**2/(x1**4 + 1) + 1)) - 24.432947 + 29.560087/sqrt(x1**4*(-x2 + exp(x2*(7.956733 + x1*(-219.60922))))**4 + 1))
27,1.310207,"aq(34.310654, square((x2 * x1) + (exp(((x1 * -234.38782) + 8.128589) * x2) * aq(x1, x0)))) + (aq(x2 * -14.549166, x0) + -29.09076)",0.13274682908842902,-14.549166*x2/sqrt(x0**2 + 1) - 29.09076 + 34.310654/sqrt((x1*x2 + (x1/sqrt(x0**2 + 1))*exp(x2*(8.128589 + x1*(-234.38782))))**4 + 1),PySRFunction(X=>-14.549166*x2/sqrt(x0**2 + 1) - 29.09076 + 34.310654/sqrt((x1*x2 + (x1/sqrt(x0**2 + 1))*exp(x2*(8.128589 + x1*(-234.38782))))**4 + 1))
29,1.290619,"((aq(x2, aq(x0, x1)) * -14.056951) + -27.397675) + aq(32.41124, square((exp(((x1 * -236.34946) + 8.175372) * x2) * aq(x1, x0)) + (x1 * x2)))",0.007531595875547836,(x2/sqrt(x0**2/(x1**2 + 1) + 1))*(-14.056951) - 27.397675 + 32.41124/sqrt((x1*x2 + (x1/sqrt(x0**2 + 1))*exp(x2*(8.175372 + x1*(-236.34946))))**4 + 1),PySRFunction(X=>(x2/sqrt(x0**2/(x1**2 + 1) + 1))*(-14.056951) - 27.397675 + 32.41124/sqrt((x1*x2 + (x1/sqrt(x0**2 + 1))*exp(x2*(8.175372 + x1*(-236.34946))))**4 + 1))
30,1.2857482,"aq(32.41124, square((exp(x2 * ((x1 * -236.34946) + 8.175372)) * aq(x1, x0)) + (x1 * x2))) + ((aq(x2, aq(x0, square(x1))) * -14.056951) + -27.397675)",0.0037811425352462097,(x2/sqrt(x0**2/(x1**4 + 1) + 1))*(-14.056951) - 27.397675 + 32.41124/sqrt((x1*x2 + (x1/sqrt(x0**2 + 1))*exp(x2*(8.175372 + x1*(-236.34946))))**4 + 1),PySRFunction(X=>(x2/sqrt(x0**2/(x1**4 + 1) + 1))*(-14.056951) - 27.397675 + 32.41124/sqrt((x1*x2 + (x1/sqrt(x0**2 + 1))*exp(x2*(8.175372 + x1*(-236.34946))))**4 + 1))
