# param=Ap z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_sobolev/refit/z3.6/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,1.4516239,0.04441254869684508,3.066198827889397e-05,48,True,True
39,1.6995839,0.042262131856351914,2.84546349252363e-05,48,True,True
37,1.7249491,0.053864735633594285,0.00021573515986918903,48,True,True
35,1.7872007,0.06359398678701117,0.00017456354138483182,48,True,True
33,1.8204722,0.06191508432432036,0.0003974189159098413,48,True,True
32,1.855553,0.05508795438131742,0.0004569663298826717,48,True,True
30,2.0780993,0.06221864082787204,0.0004953082894964748,48,True,True
29,2.3316479,0.06759542758101883,0.0004351974743267001,48,True,True
28,3.489897,0.0697505161813608,0.0005385594745466377,48,True,True
27,4.1216464,0.04516078071276203,0.0007049134527813483,48,True,True
25,4.3752847,0.04145077305107142,0.0007142542873981056,48,True,True
24,4.9088893,0.07120049457695748,0.0005495133489473325,48,True,True
22,5.859278,0.11551483480374647,0.0004165115813464777,48,True,True
21,7.124715,0.08595754242410342,0.00039407970957097726,48,True,True
20,7.876148,0.04395980609658107,0.0004617378875560842,48,True,True
19,8.935677,0.14716057795301296,0.0005106870339191715,48,True,True
18,14.050025,0.17583273508691977,9.535653791763055e-05,48,True,True
17,15.62435,0.24313881472838694,0.002094439767803807,48,True,True
16,17.794767,0.061751205479555704,0.0006136051485209295,48,True,True
14,18.621973,0.09232713239992485,0.0007559623662844452,48,True,True
12,19.977112,0.09939972768133376,0.0007816854178841006,48,True,True
11,21.876461,0.032129547989143026,0.0008276240991816878,48,True,True
10,31.3185,0.1319061589343143,0.008135659106128696,48,True,True
9,34.37616,0.035148151279256634,0.014216030962087421,48,True,True
8,35.917637,0.20155756700685024,0.000568808724983465,48,True,True
6,37.600048,0.13472727284965058,0.000765498766820372,48,True,True
5,39.439972,0.08966384951002332,0.00015736737040781645,48,True,True
4,47.210625,0.2843114886981641,0.000594388532832234,48,False,True
3,52.47658,0.31880635189706213,0.01187158106101356,48,False,True
2,74.2525,0.7344022723507182,0.014522935604287083,48,False,True
1,75.739235,0.77941824546005,0.004685209069151105,48,False,True
