# param=bhfeedback z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_sobolev/refit/z3.6/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,4.703756,0.6272269630156694,2.6301702163245426e-05,48,False,True
39,4.7204056,0.6174468565139444,2.6214072298470325e-05,48,False,True
38,4.729811,0.6340779704464616,2.6443121906604346e-05,48,False,True
37,4.767969,0.7325889174280245,2.645548010131421e-05,48,False,True
35,4.7879815,0.7287167471098954,2.6478563035346735e-05,48,False,True
34,4.8248854,0.6008649072258117,2.6579961920931455e-05,48,False,True
33,4.9216967,0.6810036107215336,2.5649899937007122e-05,48,False,True
31,5.079939,0.7497368525628525,2.6032512658712327e-05,48,False,True
30,5.5276203,0.589602597380854,2.6008902946415387e-05,48,False,True
29,5.8273487,0.6148100369752532,3.2797009019878375e-05,48,False,True
27,5.8707814,0.6263404045125702,3.3376095708953946e-05,48,False,True
26,6.8504024,1.0196752658207915,3.085248236170131e-05,48,False,True
24,7.6538076,0.8546350761073022,3.1278453072806826e-05,48,False,True
23,7.7644463,0.5603677449932316,3.27669734666918e-05,48,False,True
21,8.03243,0.8969780816193035,3.122915188509403e-05,48,False,True
20,8.576361,0.8877479414277675,2.826656841463993e-05,48,False,True
19,8.735852,0.8336540609508143,3.6266542724369814e-05,48,False,True
18,9.798867,0.9318089207371585,2.9329725212331864e-05,48,False,True
17,10.021814,0.8625920637108809,6.137350603488343e-05,48,False,True
15,11.908441,0.9238001391029642,6.143586610146008e-05,48,False,True
14,14.31679,0.8729698268615538,8.451963604171601e-05,48,False,True
13,18.572407,0.8523549828644265,0.00010202276151203967,48,False,True
12,23.231728,3.4267660957145956,6.561700226887559e-05,48,False,True
11,24.8241,3.4267660957211294,6.86280152243002e-05,48,False,True
10,30.597723,3.426766095709791,0.00011345616165385237,48,False,True
9,39.61916,1.014974326327953,0.0002982876506318869,48,False,True
8,41.57888,1.0253832854360843,0.00034153586257396957,48,False,True
7,54.707214,1.9466886906549896,0.0001970134002408779,48,False,True
6,66.06842,2.9063695296922143,0.000132895466934377,48,False,True
5,91.55219,1.6169431165357242,0.0001930325809418879,48,False,True
