# param=heref z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_sobolev/refit/z3.6/pareto_heref.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,4.9105625,0.04248704775699519,4.092899403551223e-05,48,True,True
39,5.0061603,0.04697953654666265,4.45833111497544e-05,48,True,True
38,5.0217795,0.04015265682090774,4.2343901516029564e-05,48,True,True
37,5.2457647,0.05048940611181185,4.2547048057322246e-05,48,True,True
36,5.284589,0.044147583499801524,4.006360218799988e-05,48,True,True
34,5.8421297,0.041645228040248505,5.8553745057705954e-05,48,True,True
33,6.0457816,0.0439060832341846,5.2889653563904495e-05,48,True,True
32,6.2427087,0.04282698512048,5.3996046039335284e-05,48,True,True
31,7.1607156,0.04193913465587745,6.155864037514614e-05,48,True,True
30,8.079069,0.04556562731797975,6.694033400546515e-05,48,True,True
28,8.567857,0.05038843501716178,6.171010026000535e-05,48,True,True
27,9.541849,0.075629110394562,4.9537993294779764e-05,48,True,True
25,9.639532,0.08115789828591347,4.7045085112264846e-05,48,True,True
24,13.283354,0.04331424009918905,8.855262052594581e-05,48,True,True
23,14.332796,0.07926222801847127,0.00011294152573583777,48,True,True
22,14.862436,0.0703934002145657,0.00014434475594378335,48,True,True
20,15.622964,0.06351233922493182,0.0001652811887034556,48,True,True
19,18.503902,0.061086984031988034,0.0002363337635505373,48,True,True
18,20.34049,0.11411232589615661,0.00021481348668785276,48,True,True
17,24.672207,0.20741199599957127,0.0002535211063806116,48,True,True
16,26.837183,0.23617675355168133,0.00025980152612701916,48,True,True
15,30.070631,0.23100552127623442,0.0003128102875339688,48,True,True
14,33.125626,0.18440699518986775,0.0001417810950154232,48,True,True
13,35.272377,0.04592887570215376,0.00017899116454019533,48,True,True
12,37.40028,0.12972776765715932,0.00019212429632664793,48,True,True
11,44.416924,0.1330223897757573,0.00028963502293045387,48,True,True
9,57.221893,0.04447166301857958,0.0006124045180901896,48,True,True
8,76.73743,0.05381384844665321,0.0001837605919866794,48,True,True
7,78.838715,0.045636262916406545,0.00028002087991930785,48,True,True
6,93.65869,0.0441834514959103,0.0005257310934796175,48,True,True
5,116.30897,0.4191224231451879,0.00017354707801051932,48,False,True
4,133.00739,0.4029780009637879,0.0022631495978289195,48,False,True
3,168.29436,0.5983300871587612,0.0002580051219316147,48,False,True
2,215.68094,0.7968128060972015,0.0024111864081616187,48,False,True
1,242.34296,0.8844023451867478,0.0018497223900633515,48,False,True
