# param=herei z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_sobolev/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,0.390604,0.045491796226179715,2.1977433927355006e-05,48,True,True
39,0.40847027,0.051275968575743625,1.9852025811719175e-05,48,True,True
38,0.4099983,0.05145012752682632,1.998089177672335e-05,48,True,True
37,0.41000155,0.05145012752682632,1.998089177672335e-05,48,True,True
36,0.413179,0.05499780402527432,1.755796468804517e-05,48,True,True
34,0.4176078,0.059105148663513074,1.9127157072686324e-05,48,True,True
33,0.43294096,0.06377431865744443,2.003893809553388e-05,48,True,True
31,0.43741333,0.056446519056568056,1.8660637630268082e-05,48,True,True
30,0.4449722,0.06720505304824975,1.789899458445556e-05,48,True,True
29,0.46871182,0.05579608132634106,2.0874473533494677e-05,48,True,True
28,0.52103156,0.056371425379886486,2.364660325814124e-05,48,True,True
27,0.58218384,0.07274646976394705,1.2704715356297723e-05,48,True,True
26,0.5834447,0.06697131165961223,1.229627044931947e-05,48,True,True
25,0.5921355,0.07985090509286208,1.4558176573480006e-05,48,True,True
24,0.6033628,0.07286794131738339,1.2583242808128031e-05,48,True,True
23,0.61321276,0.07964975190309764,1.373252098554013e-05,48,True,True
22,0.6191674,0.08243226089416689,1.4347162137578774e-05,48,True,True
21,0.6525657,0.08375273944706663,1.3481257318054292e-05,48,True,True
20,0.674272,0.083747356193002,1.3642215705813264e-05,48,True,True
19,0.6834152,0.0837547697245642,1.3957168051366544e-05,48,True,True
18,0.7171379,0.08582391776692322,4.4205667556410745e-05,48,True,True
17,0.7819154,0.0736641636173575,6.226391727184111e-05,48,True,True
16,0.8284314,0.0800596937265059,0.00017962954440494088,48,True,True
15,0.8912228,0.06809264910377699,0.00022794431854911913,48,True,True
14,0.94015807,0.09245010184113611,0.00018061529090572325,48,True,True
13,1.0118113,0.09060132455961223,0.00017685754980041374,48,True,True
12,1.0870364,0.06874037745789263,0.0001399086027011182,48,True,True
11,1.109319,0.0691210571330198,0.00019699030798848307,48,True,True
10,1.2766254,0.16486288160736717,0.00022790197538498868,48,True,True
9,2.1423244,0.22930729658515914,0.00022649681354513154,48,True,True
8,2.7011075,0.17661983157656536,0.001339088033034012,48,True,True
7,3.1108587,0.37936262070062665,0.00036940417250681964,48,False,True
6,3.1988354,0.3217641146114637,0.0004534235793100538,48,False,True
5,4.051112,0.11594093017991991,0.0006379873163779244,48,True,True
4,8.923147,0.2681950328030535,0.00043098340127397603,48,False,True
3,10.020435,0.29357865619120527,0.007971244824236355,48,False,True
2,22.978804,0.20945731148225666,0.010857550747175086,48,True,True
1,24.636395,0.5149572576236955,0.00362060101527199,48,False,True
