# param=hireionz z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_sobolev/refit/z3.6/pareto_hireionz.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,3.0179088,0.08697852069606948,0.00010139034395369185,48,True,True
39,3.055037,0.08350134687192301,6.886186770098226e-05,48,True,True
38,3.1443505,0.07813865186120766,0.0001068681835238719,48,True,True
37,3.275436,0.10097961225676949,0.00010991373385601138,48,True,True
35,3.3478994,0.10123110167013144,0.0001080004352226265,48,True,True
33,3.4357889,0.11137286829886556,6.44928635077856e-05,48,True,True
31,3.9467537,0.10659072442206846,9.545377205937827e-05,48,True,True
29,4.6487045,0.101542821385537,0.0002082045117946024,48,True,True
27,5.36094,0.08850359073809144,0.0002786423193535526,48,True,True
26,6.7853327,0.09744684669068554,0.0004970031267562121,48,True,True
25,7.2942834,0.11855150697138567,0.0006922439866347717,48,True,True
23,7.779821,0.08676350536417515,0.0006118552113881201,48,True,True
21,8.367853,0.10255514401374466,0.0007132164207033637,48,True,True
19,8.582493,0.09257930364218186,0.0006316129039722444,48,True,True
18,10.463405,0.08123862986961888,0.0006943951629683779,48,True,True
16,13.332955,0.1839411371787506,0.000679165213174524,48,True,True
14,14.3381405,0.18027407508999577,0.0005273526548870464,48,True,True
13,16.17263,0.32285984773770676,0.0006875378158090378,48,False,True
12,16.626745,0.3265974883957486,0.0007595020629956597,48,False,True
11,17.104645,0.3186211938434704,0.0005344395201251042,48,False,True
10,19.596073,0.2289892561460557,0.00066599286005517,48,True,True
9,20.921934,0.28636509598675763,0.000545861349316185,48,False,True
8,25.88379,0.10669370787481902,0.0005430014086158519,48,True,True
7,30.936638,0.23003810360160248,0.00039074456388814294,48,True,True
6,32.46259,0.1502281569174212,0.0005452059515471065,48,True,True
5,38.24039,0.08163279514172755,0.0005715255923156043,48,True,True
3,56.24624,0.11508850044377211,0.0006870997324383529,48,True,True
