# param=ns z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_sobolev/refit/z3.6/pareto_ns.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,3.4968364,0.11329443056070898,0.0016545442791296697,48,True,True
39,3.5441864,0.11311544966401166,0.0015713998002854109,48,True,True
37,3.630818,0.1188052929192675,0.0018135412772401008,48,True,True
35,3.875752,0.10752595044568058,0.0018949508641821625,48,True,True
33,4.3604627,0.10544923328480899,0.0016152255063044104,48,True,True
32,5.140401,0.06544346182514904,0.0014707570678627216,48,True,True
31,5.2417884,0.11954774665603851,0.001890979436952918,48,True,True
30,5.826348,0.06311739409925976,0.001403570883816066,48,True,True
29,6.248783,0.13516577448548717,0.0017213243595464356,48,True,True
28,6.642659,0.1313639452358718,0.0011254308196612893,48,True,True
27,6.9743958,0.16645772818353888,0.0012043606900857765,48,True,True
26,7.2084374,0.15237344005137055,0.0014582027015843705,48,True,True
25,7.590967,0.1711199259614562,0.0014314685282304806,48,True,True
23,7.7673483,0.1740662921172006,0.0014814729846823473,48,True,True
21,8.549803,0.20745815005843088,0.0024335467559409418,48,True,True
19,9.69268,0.15108741598303588,0.005487987936045261,48,True,True
18,10.583208,0.17870994981586785,0.0055691056595384624,48,True,True
16,11.749652,0.18360779887824513,0.005295741064714845,48,True,True
14,13.535988,0.16383900789958983,0.006291008567398188,48,True,True
13,16.404892,0.21548825930744153,0.003840846969155029,48,True,True
12,16.83028,0.19924307450686107,0.0037958207978346548,48,True,True
11,19.037466,0.19211235838880109,0.0035590659070416533,48,True,True
10,24.348358,0.21277022648959854,0.003003192771091125,48,True,True
9,27.757038,0.2632428579796029,0.0064426146430457765,48,False,True
8,40.796734,0.6104603725562897,0.00330359202168442,48,False,True
7,47.823883,0.6088574992600965,0.00589546127177236,48,False,True
5,55.01519,0.751326101872068,0.005839273433013146,48,False,True
4,61.91178,0.8916741616982464,0.004432629733177746,48,False,True
3,65.44556,0.9479012456474463,0.0026372762158959717,48,False,True
2,67.87984,0.5228523038213132,0.003243717154652808,48,False,True
