Complexity,Loss,Equation,score,sympy_format,lambda_format
1,75.739235,x0,0.0,x0,PySRFunction(X=>x0)
2,74.2525,exp(x0),0.019824874929704115,exp(x0),PySRFunction(X=>exp(x0))
3,52.47658,x0 * 3.0881686,0.34710447232025515,x0*3.0881686,PySRFunction(X=>x0*3.0881686)
4,47.210625,log(x0 + 0.12249605),0.1057480016382267,log(x0 + 0.12249605),PySRFunction(X=>log(x0 + 0.12249605))
5,39.439972,log(square(x0 + 0.28043652)),0.1798391533961398,log((x0 + 0.28043652)**2),PySRFunction(X=>log((x0 + 0.28043652)**2))
6,37.600048,square(1.1087089 - x0) * -2.6320763,0.04777449280425581,(1.1087089 - x0)**2*(-2.6320763),PySRFunction(X=>(1.1087089 - x0)**2*(-2.6320763))
8,35.917637,"aq((x0 - x2) * 5.984498, exp(x0))",0.022888435399331997,5.984498*(x0 - x2)/sqrt(exp(2*x0) + 1),PySRFunction(X=>5.984498*(x0 - x2)/sqrt(exp(2*x0) + 1))
9,34.37616,exp(x2 - (exp(x1) * x0)) * -2.28245,0.04386515532019891,exp(-x0*exp(x1) + x2)*(-2.28245),PySRFunction(X=>exp(-x0*exp(x1) + x2)*(-2.28245))
10,31.3185,(x0 * 6.17495) - exp((x1 + 1.0983908) * x0),0.09315432361651288,x0*6.17495 - exp(x0*(x1 + 1.0983908)),PySRFunction(X=>x0*6.17495 - exp(x0*(x1 + 1.0983908)))
11,21.876461,(x0 - x2) * (4.1789036 - (x1 * (x0 * 8.903734))),0.3587977586705536,(4.1789036 - 8.903734*x0*x1)*(x0 - x2),PySRFunction(X=>(4.1789036 - 8.903734*x0*x1)*(x0 - x2))
12,19.977112,(4.2736025 - (x0 * exp(x1 * 2.4679158))) * (x0 - x2),0.09082400035655577,(4.2736025 - x0*exp(x1*2.4679158))*(x0 - x2),PySRFunction(X=>(4.2736025 - x0*exp(x1*2.4679158))*(x0 - x2))
14,18.621973,(4.249871 - (exp((x2 + 1.9141003) * x1) * x0)) * (x0 - x2),0.03512249533048834,(4.249871 - x0*exp(x1*(x2 + 1.9141003)))*(x0 - x2),PySRFunction(X=>(4.249871 - x0*exp(x1*(x2 + 1.9141003)))*(x0 - x2))
