Complexity,Loss,Equation,score,sympy_format,lambda_format
1,77.75087,-1.5234134,0.0,-1.52341340000000,PySRFunction(X=>-1.52341340000000)
3,41.74044,x0 * -2.679957,0.3110196488334015,x0*(-2.679957),PySRFunction(X=>x0*(-2.679957))
5,40.12986,"aq(x0 * -3.1895113, x2)",0.01967487371482811,-3.1895113*x0/sqrt(x2**2 + 1),PySRFunction(X=>-3.1895113*x0/sqrt(x2**2 + 1))
6,39.294106,"aq(x0, exp(x2)) * -5.647397",0.021046162537690954,(x0/sqrt(exp(2*x2) + 1))*(-5.647397),PySRFunction(X=>(x0/sqrt(exp(2*x2) + 1))*(-5.647397))
7,38.636482,((x2 * 3.829327) + -4.977099) * x0,0.016877573422434646,x0*(x2*3.829327 - 4.977099),PySRFunction(X=>x0*(x2*3.829327 - 4.977099))
8,35.432396,(exp(x2 + x1) + -5.1692033) * x0,0.0865704167545495,x0*(exp(x1 + x2) - 5.1692033),PySRFunction(X=>x0*(exp(x1 + x2) - 5.1692033))
9,30.447681,(exp(x2 * exp(x1)) + -5.114258) * x0,0.15161670927591792,x0*(exp(x2*exp(x1)) - 5.114258),PySRFunction(X=>x0*(exp(x2*exp(x1)) - 5.114258))
10,27.951591,x0 * ((x2 * exp(exp(square(x1)))) + -4.8367195),0.08553571256232367,x0*(x2*exp(exp(x1**2)) - 4.8367195),PySRFunction(X=>x0*(x2*exp(exp(x1**2)) - 4.8367195))
11,24.299969,(exp(square(square(x2) + square(x1))) + -4.4543467) * x0,0.13999904643244993,x0*(exp((x1**2 + x2**2)**2) - 4.4543467),PySRFunction(X=>x0*(exp((x1**2 + x2**2)**2) - 4.4543467))
12,19.914059,x0 * (square(square(x2 * exp(square(square(x1))))) + -3.285187),0.19904910992423971,x0*(x2**4*exp(4*x1**4) - 3.285187),PySRFunction(X=>x0*(x2**4*exp(4*x1**4) - 3.285187))
13,16.81967,(exp(square(square(square(x1)) + x2)) + -4.7369614) * (x0 - x1),0.1688769298495423,(x0 - x1)*(exp((x1**4 + x2)**2) - 4.7369614),PySRFunction(X=>(x0 - x1)*(exp((x1**4 + x2)**2) - 4.7369614))
14,13.190177,(square(square(x2 * exp(square(square(x1))))) + -3.2601044) * (x0 - x1),0.24307664895554376,(x0 - x1)*(x2**4*exp(4*x1**4) - 3.2601044),PySRFunction(X=>(x0 - x1)*(x2**4*exp(4*x1**4) - 3.2601044))
15,12.707232,(x0 - x1) * (exp(square(exp(square(square(x1))) * square(x2))) + -4.203179),0.03730110568720837,(x0 - x1)*(exp(x2**4*exp(2*x1**4)) - 4.203179),PySRFunction(X=>(x0 - x1)*(exp(x2**4*exp(2*x1**4)) - 4.203179))
16,11.530576,((x0 + -1.2077527) * (square(square(x2 * exp(square(square(x1))))) + -3.2728617)) - 3.4143095,0.09716899054094824,(x0 - 1.2077527)*(x2**4*exp(4*x1**4) - 3.2728617) - 1*3.4143095,PySRFunction(X=>(x0 - 1.2077527)*(x2**4*exp(4*x1**4) - 3.2728617) - 1*3.4143095)
17,10.4278755,((exp(square(exp(square(square(x1))) * square(x2))) + -4.2171335) * (x0 + -1.3604393)) - 3.8151236,0.10051973267841399,(x0 - 1.3604393)*(exp(x2**4*exp(2*x1**4)) - 4.2171335) - 1*3.8151236,PySRFunction(X=>(x0 - 1.3604393)*(exp(x2**4*exp(2*x1**4)) - 4.2171335) - 1*3.8151236)
18,10.180479,((square(square(x2 * exp(square(square(x1))))) + -3.2786639) * (x0 + -1.1234391)) - (x2 * 5.3748116),0.024010493929024594,-5.3748116*x2 + (x0 - 1.1234391)*(x2**4*exp(4*x1**4) - 3.2786639),PySRFunction(X=>-5.3748116*x2 + (x0 - 1.1234391)*(x2**4*exp(4*x1**4) - 3.2786639))
19,9.261552,((exp(square(square(x2) * exp(square(square(x1))))) + -4.231791) * (x0 + -1.2426677)) - square(exp(x2)),0.09460042585446812,(x0 - 1.2426677)*(exp(x2**4*exp(2*x1**4)) - 4.231791) - exp(2*x2),PySRFunction(X=>(x0 - 1.2426677)*(exp(x2**4*exp(2*x1**4)) - 4.231791) - exp(2*x2))
20,8.606318,"((exp(square(square(square(x1 * x2))) * 18.556486) + aq(-8.247934, exp(x2))) * (x0 - 1.2942116)) - 3.6628091",0.0733750525079542,(x0 - 1*1.2942116)*(exp((x1**8*x2**8)*18.556486) - 8.247934/sqrt(exp(2*x2) + 1)) - 1*3.6628091,PySRFunction(X=>(x0 - 1*1.2942116)*(exp((x1**8*x2**8)*18.556486) - 8.247934/sqrt(exp(2*x2) + 1)) - 1*3.6628091)
21,8.241465,"((exp(square(square(square(x1 * x2))) * 18.655178) + aq(-6.3684344, x2)) * (x0 + -1.2203118)) - aq(5.0391846, x0)",0.043318465317658414,(x0 - 1.2203118)*(exp((x1**8*x2**8)*18.655178) - 6.3684344/sqrt(x2**2 + 1)) - 5.0391846/sqrt(x0**2 + 1),PySRFunction(X=>(x0 - 1.2203118)*(exp((x1**8*x2**8)*18.655178) - 6.3684344/sqrt(x2**2 + 1)) - 5.0391846/sqrt(x0**2 + 1))
22,7.762369,"((aq(-11.017722, exp(x2)) + exp(square(square(square(x1 * x2))) * 18.560375)) * (x0 + -1.2013495)) - aq(4.8032947, x0)",0.05989054826976835,(x0 - 1.2013495)*(exp((x1**8*x2**8)*18.560375) - 11.017722/sqrt(exp(2*x2) + 1)) - 4.8032947/sqrt(x0**2 + 1),PySRFunction(X=>(x0 - 1.2013495)*(exp((x1**8*x2**8)*18.560375) - 11.017722/sqrt(exp(2*x2) + 1)) - 4.8032947/sqrt(x0**2 + 1))
23,7.3377433,"((exp((7.3700075 - x0) * square(square(square(x1) * x2))) + aq(-6.63662, x2)) * (x0 + -1.3483311)) - aq(5.8594813, x0)",0.05625622807355968,(x0 - 1.3483311)*(exp((x1**8*x2**4)*(7.3700075 - x0)) - 6.63662/sqrt(x2**2 + 1)) - 5.8594813/sqrt(x0**2 + 1),PySRFunction(X=>(x0 - 1.3483311)*(exp((x1**8*x2**4)*(7.3700075 - x0)) - 6.63662/sqrt(x2**2 + 1)) - 5.8594813/sqrt(x0**2 + 1))
24,7.043576,"((x0 + -1.2496983) * (exp((18.379961 - x0) * square(square(square(x1 * x2)))) + aq(-11.177323, exp(x2)))) - aq(5.074391, x0)",0.040915347287028836,(x0 - 1.2496983)*(exp((x1**8*x2**8)*(18.379961 - x0)) - 11.177323/sqrt(exp(2*x2) + 1)) - 5.074391/sqrt(x0**2 + 1),PySRFunction(X=>(x0 - 1.2496983)*(exp((x1**8*x2**8)*(18.379961 - x0)) - 11.177323/sqrt(exp(2*x2) + 1)) - 5.074391/sqrt(x0**2 + 1))
25,6.5717773,"(((x2 + x0) + -1.8875505) * (aq(-6.562463, x2) + exp(square(square(x2 * square(x1))) * (7.5885067 - x0)))) - aq(5.65213, x0)",0.06933168233310401,(exp((x1**8*x2**4)*(7.5885067 - x0)) - 6.562463/sqrt(x2**2 + 1))*(x0 + x2 - 1.8875505) - 5.65213/sqrt(x0**2 + 1),PySRFunction(X=>(exp((x1**8*x2**4)*(7.5885067 - x0)) - 6.562463/sqrt(x2**2 + 1))*(x0 + x2 - 1.8875505) - 5.65213/sqrt(x0**2 + 1))
26,6.561835,"((exp(square(square(square(x1 * x2))) * (19.736929 - exp(x0))) + aq(-6.4764724, x2)) * ((x2 + x0) + -1.8413948)) - aq(5.3725276, x0)",0.0015140239672220555,(exp((x1**8*x2**8)*(19.736929 - exp(x0))) - 6.4764724/sqrt(x2**2 + 1))*(x0 + x2 - 1.8413948) - 5.3725276/sqrt(x0**2 + 1),PySRFunction(X=>(exp((x1**8*x2**8)*(19.736929 - exp(x0))) - 6.4764724/sqrt(x2**2 + 1))*(x0 + x2 - 1.8413948) - 5.3725276/sqrt(x0**2 + 1))
27,6.3315845,"(((x2 + x0) + -1.9367238) * (exp((18.593758 - x0) * square(square(square(x1 * x2)))) + aq(-7.303168, x2))) - aq(6.949793, -0.13274617 - x0)",0.03571976866180045,(exp((x1**8*x2**8)*(18.593758 - x0)) - 7.303168/sqrt(x2**2 + 1))*(x0 + x2 - 1.9367238) - 6.949793/sqrt((-x0 - 0.13274617)**2 + 1),PySRFunction(X=>(exp((x1**8*x2**8)*(18.593758 - x0)) - 7.303168/sqrt(x2**2 + 1))*(x0 + x2 - 1.9367238) - 6.949793/sqrt((-x0 - 0.13274617)**2 + 1))
29,6.112767,"((exp(square(square(square(x2 * x1))) * (18.56509 - x0)) + aq(-7.3832774, x2)) * ((x2 + x0) + -1.947616)) - aq(7.120832, x0 - (x2 * -0.25510192))",0.01758549297972003,(exp((x1**8*x2**8)*(18.56509 - x0)) - 7.3832774/sqrt(x2**2 + 1))*(x0 + x2 - 1.947616) - 7.120832/sqrt((x0 - (-0.25510192)*x2)**2 + 1),PySRFunction(X=>(exp((x1**8*x2**8)*(18.56509 - x0)) - 7.3832774/sqrt(x2**2 + 1))*(x0 + x2 - 1.947616) - 7.120832/sqrt((x0 - (-0.25510192)*x2)**2 + 1))
30,6.0414824,"((x0 + -1.2531589) * (aq(-6.3808107, x2) + exp(square(square(square(x1 * x2))) * 18.78726))) - aq(5.26759, x0 - square(log(x2 + x0) * square(x1)))",0.011730122531428725,(x0 - 1.2531589)*(exp(18.78726*x1**8*x2**8) - 6.3808107/sqrt(x2**2 + 1)) - 5.26759/sqrt((x0 - x1**4*log(x0 + x2)**2)**2 + 1),PySRFunction(X=>(x0 - 1.2531589)*(exp(18.78726*x1**8*x2**8) - 6.3808107/sqrt(x2**2 + 1)) - 5.26759/sqrt((x0 - x1**4*log(x0 + x2)**2)**2 + 1))
31,5.563999,"((exp(square(square(square(x2 * x1))) * 18.89593) + aq(-6.199135, x2)) * (x2 + (x0 + -1.8147391))) - aq(4.95054, x0 - square(x1 * log(x2 + x0)))",0.08233231796280542,(exp(18.89593*x1**8*x2**8) - 6.199135/sqrt(x2**2 + 1))*(x0 + x2 - 1.8147391) - 4.95054/sqrt((x0 - x1**2*log(x0 + x2)**2)**2 + 1),PySRFunction(X=>(exp(18.89593*x1**8*x2**8) - 6.199135/sqrt(x2**2 + 1))*(x0 + x2 - 1.8147391) - 4.95054/sqrt((x0 - x1**2*log(x0 + x2)**2)**2 + 1))
32,5.09207,"(((x0 + -1.8699383) + x2) * (exp(square(square(square(x2 * x1))) * 18.888657) + aq(-6.459925, x2))) - aq(5.532948, x0 - square(log(x0 + x2) * square(x1)))",0.08863266667949232,(exp(18.888657*x1**8*x2**8) - 6.459925/sqrt(x2**2 + 1))*(x0 + x2 - 1.8699383) - 5.532948/sqrt((x0 - x1**4*log(x0 + x2)**2)**2 + 1),PySRFunction(X=>(exp(18.888657*x1**8*x2**8) - 6.459925/sqrt(x2**2 + 1))*(x0 + x2 - 1.8699383) - 5.532948/sqrt((x0 - x1**4*log(x0 + x2)**2)**2 + 1))
33,4.9060526,"(((x2 + x0) + -1.894086) * (aq(-6.5680733, x2) + exp(square(square(square(x1 * x2))) * 18.875221))) - aq(5.7683353, x0 - square(log(x2 + x0) * square(square(x1))))",0.037214760310620765,(exp(18.875221*x1**8*x2**8) - 6.5680733/sqrt(x2**2 + 1))*(x0 + x2 - 1.894086) - 5.7683353/sqrt((x0 - x1**8*log(x0 + x2)**2)**2 + 1),PySRFunction(X=>(exp(18.875221*x1**8*x2**8) - 6.5680733/sqrt(x2**2 + 1))*(x0 + x2 - 1.894086) - 5.7683353/sqrt((x0 - x1**8*log(x0 + x2)**2)**2 + 1))
34,4.466179,"(((x0 + -1.884966) + x2) * (exp((18.856232 - x0) * square(square(square(x1 * x2)))) + aq(-6.4754133, x2))) - aq(5.5980077, x0 - square(square(x1) * log(x0 + x2)))",0.09393643412044589,(exp(x1**8*x2**8*(18.856232 - x0)) - 6.4754133/sqrt(x2**2 + 1))*(x0 + x2 - 1.884966) - 5.5980077/sqrt((x0 - x1**4*log(x0 + x2)**2)**2 + 1),PySRFunction(X=>(exp(x1**8*x2**8*(18.856232 - x0)) - 6.4754133/sqrt(x2**2 + 1))*(x0 + x2 - 1.884966) - 5.5980077/sqrt((x0 - x1**4*log(x0 + x2)**2)**2 + 1))
35,4.258624,"((x2 + (x0 + -1.9482859)) * (aq(-6.677508, x2) + exp((7.602543 - x0) * square(square(x2 * square(x1)))))) - aq(6.11045, square(log(x0 + x2) * square(square(x1))) - x0)",0.0475871298146152,(exp(x1**8*x2**4*(7.602543 - x0)) - 6.677508/sqrt(x2**2 + 1))*(x0 + x2 - 1.9482859) - 6.11045/sqrt((-x0 + x1**8*log(x0 + x2)**2)**2 + 1),PySRFunction(X=>(exp(x1**8*x2**4*(7.602543 - x0)) - 6.677508/sqrt(x2**2 + 1))*(x0 + x2 - 1.9482859) - 6.11045/sqrt((-x0 + x1**8*log(x0 + x2)**2)**2 + 1))
