Complexity,Loss,Equation,score,sympy_format,lambda_format
1,128.00671,-4.6854258,0.0,-4.68542580000000,PySRFunction(X=>-4.68542580000000)
3,114.83489,x2 * -9.371,0.05429366342441552,x2*(-9.371),PySRFunction(X=>x2*(-9.371))
4,108.63639,square(x2) * -13.780561,0.05548892332677231,x2**2*(-13.780561),PySRFunction(X=>x2**2*(-13.780561))
5,91.55219,"aq(-6.8851495, 0.68545187 - x0)",0.17109724205617557,-6.8851495/sqrt((0.68545187 - x0)**2 + 1),PySRFunction(X=>-6.8851495/sqrt((0.68545187 - x0)**2 + 1))
6,66.06842,"aq(-7.685143, log(x0 + x2))",0.326218320463584,-7.685143/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.685143/sqrt(log(x0 + x2)**2 + 1))
7,54.707214,"aq(-6.7446947, log(x0 + square(x2)))",0.18869528799496646,-6.7446947/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>-6.7446947/sqrt(log(x0 + x2**2)**2 + 1))
8,41.57888,"aq(-5.2537193, square(log(x0 + square(x2))))",0.27440323769015984,-5.2537193/sqrt(log(x0 + x2**2)**4 + 1),PySRFunction(X=>-5.2537193/sqrt(log(x0 + x2**2)**4 + 1))
9,39.61916,"aq(-5.588925, square(log(x2 + (x0 + -0.18791911))))",0.04827950640792528,-5.588925/sqrt(log(x0 + x2 - 0.18791911)**4 + 1),PySRFunction(X=>-5.588925/sqrt(log(x0 + x2 - 0.18791911)**4 + 1))
10,30.597723,(x2 * -10.122316) + square(log(square(x0 + x2))),0.2583872452072877,-10.122316*x2 + log((x0 + x2)**2)**2,PySRFunction(X=>-10.122316*x2 + log((x0 + x2)**2)**2)
11,24.8241,square(log(square(x0 + x2))) + (square(x2) * -14.659105),0.2091106389273192,-14.659105*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-14.659105*x2**2 + log((x0 + x2)**2)**2)
12,23.231728,(square(log(square(x0 + x2))) + (x2 * -22.898619)) - -8.524076,0.06629602491275141,-22.898619*x2 + log((x0 + x2)**2)**2 + 8.524076,PySRFunction(X=>-22.898619*x2 + log((x0 + x2)**2)**2 + 8.524076)
13,18.572407,"x2 * (aq(-44.45521, log(x0 + 0.43717077) * log(x2)) + 34.576996)",0.22384194595699775,x2*(34.576996 - 44.45521/sqrt(log(x2)**2*log(x0 + 0.43717077)**2 + 1)),PySRFunction(X=>x2*(34.576996 - 44.45521/sqrt(log(x2)**2*log(x0 + 0.43717077)**2 + 1)))
14,14.31679,"aq(-13.871039, log(x2) * log(x0 + 0.37455714)) + (log(x2) * -14.569409)",0.26024401023460064,-14.569409*log(x2) - 13.871039/sqrt(log(x2)**2*log(x0 + 0.37455714)**2 + 1),PySRFunction(X=>-14.569409*log(x2) - 13.871039/sqrt(log(x2)**2*log(x0 + 0.37455714)**2 + 1))
15,11.908441,"aq(-17.713285, log(x0 + 0.435099) * log(x2)) + ((x2 * -21.407948) - -25.436535)",0.1841854979987045,-21.407948*x2 + 25.436535 - 17.713285/sqrt(log(x2)**2*log(x0 + 0.435099)**2 + 1),PySRFunction(X=>-21.407948*x2 + 25.436535 - 17.713285/sqrt(log(x2)**2*log(x0 + 0.435099)**2 + 1))
17,10.021814,"aq((x2 * -21.700489) + -11.2460575, log(aq(x0, x1) + 0.46314874) * log(x2)) - -19.100128",0.08624167959954003,(-21.700489*x2 - 11.2460575)/sqrt(log(x2)**2*log(x0/sqrt(x1**2 + 1) + 0.46314874)**2 + 1) + 19.100128,PySRFunction(X=>(-21.700489*x2 - 11.2460575)/sqrt(log(x2)**2*log(x0/sqrt(x1**2 + 1) + 0.46314874)**2 + 1) + 19.100128)
18,9.798867,"aq((log(x2) * -13.202639) + aq(-18.825687, log(x0 + 0.4387165) * log(x2)), x1) + 5.606609",0.022497350447465394,5.606609 + (-13.202639*log(x2) - 18.825687/sqrt(log(x2)**2*log(x0 + 0.4387165)**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>5.606609 + (-13.202639*log(x2) - 18.825687/sqrt(log(x2)**2*log(x0 + 0.4387165)**2 + 1))/sqrt(x1**2 + 1))
19,8.735852,"aq(aq(-10.919042 + (x2 * -22.268011), log(x2) * log(aq(x0 + 0.46911985, x1))) - -18.787611, x1)",0.11483128928091677,((-22.268011*x2 - 10.919042)/sqrt(log(x2)**2*log((x0 + 0.46911985)/sqrt(x1**2 + 1))**2 + 1) + 18.787611)/sqrt(x1**2 + 1),PySRFunction(X=>((-22.268011*x2 - 10.919042)/sqrt(log(x2)**2*log((x0 + 0.46911985)/sqrt(x1**2 + 1))**2 + 1) + 18.787611)/sqrt(x1**2 + 1))
20,8.576361,"aq(aq(-20.309834, log(x2) * log(aq(x0 + 0.4732569, x1))) + (log(x2) * -13.227672), x1) + 6.9818435",0.01842577980817335,6.9818435 + (-13.227672*log(x2) - 20.309834/sqrt(log(x2)**2*log((x0 + 0.4732569)/sqrt(x1**2 + 1))**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>6.9818435 + (-13.227672*log(x2) - 20.309834/sqrt(log(x2)**2*log((x0 + 0.4732569)/sqrt(x1**2 + 1))**2 + 1))/sqrt(x1**2 + 1))
21,8.03243,"aq((aq(-28.245636, log(aq(x0 + 0.47628772, x1)) * log(x2)) + (x2 * -31.650614)) - -39.72555, 0.82177013 + x1)",0.06552260028597327,(-31.650614*x2 + 39.72555 - 28.245636/sqrt(log(x2)**2*log((x0 + 0.47628772)/sqrt(x1**2 + 1))**2 + 1))/sqrt((x1 + 0.82177013)**2 + 1),PySRFunction(X=>(-31.650614*x2 + 39.72555 - 28.245636/sqrt(log(x2)**2*log((x0 + 0.47628772)/sqrt(x1**2 + 1))**2 + 1))/sqrt((x1 + 0.82177013)**2 + 1))
