Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.012114,x0,0.0,x0,PySRFunction(X=>x0)
2,21.122545,exp(x0),0.38403694887411466,exp(x0),PySRFunction(X=>exp(x0))
3,5.021664,x0 * 3.2074933,1.43657960059041,x0*3.2074933,PySRFunction(X=>x0*3.2074933)
5,0.09201025,(x2 - x0) * -3.4122996,1.9998083239887052,(-x0 + x2)*(-3.4122996),PySRFunction(X=>(-x0 + x2)*(-3.4122996))
7,0.06072016,((x2 - x0) * -3.4087267) - 0.17729634,0.20781210787826518,(-x0 + x2)*(-3.4087267) - 1*0.17729634,PySRFunction(X=>(-x0 + x2)*(-3.4087267) - 1*0.17729634)
8,0.03483586,(x0 * 3.4126267) - exp(x2 * 1.2668163),0.5556284521386925,x0*3.4126267 - exp(x2*1.2668163),PySRFunction(X=>x0*3.4126267 - exp(x2*1.2668163))
9,0.027852375,"((aq(x2, x1) + 0.08220711) - x0) * -3.4101558",0.22372907497753483,(-x0 + x2/sqrt(x1**2 + 1) + 0.08220711)*(-3.4101558),PySRFunction(X=>(-x0 + x2/sqrt(x1**2 + 1) + 0.08220711)*(-3.4101558))
10,0.008636998,"(3.4131641 * x0) - exp(x2 * aq(1.3310165, x1))",1.1708631722775518,3.4131641*x0 - exp(x2*(1.3310165/sqrt(x1**2 + 1))),PySRFunction(X=>3.4131641*x0 - exp(x2*(1.3310165/sqrt(x1**2 + 1))))
11,0.0070055462,"(exp(square(aq(x2, x1))) * -1.5142246) + (x0 * 3.41582)",0.20935291911047646,x0*3.41582 + exp(x2**2/(x1**2 + 1))*(-1.5142246),PySRFunction(X=>x0*3.41582 + exp(x2**2/(x1**2 + 1))*(-1.5142246))
12,0.0066178613,"(square(aq(x2, x1)) * -2.393919) + (-1.3564807 + (x0 * 3.4151385))",0.0569298983393132,x0*3.4151385 + (x2**2/(x1**2 + 1))*(-2.393919) - 1.3564807,PySRFunction(X=>x0*3.4151385 + (x2**2/(x1**2 + 1))*(-2.393919) - 1.3564807)
13,0.0055599636,"(exp(square(aq(x2, x1))) * -1.6181616) + ((x0 * 3.4155452) + 0.16136062)",0.17418068980797624,x0*3.4155452 + exp(x2**2/(x1**2 + 1))*(-1.6181616) + 0.16136062,PySRFunction(X=>x0*3.4155452 + exp(x2**2/(x1**2 + 1))*(-1.6181616) + 0.16136062)
14,0.0053505553,"(exp(square(aq(aq(x2, x1), log(x2)))) * -1.575232) - (x0 * -3.4153254)",0.03839121156429752,3.4153254*x0 - 1.575232*exp(x2**2/((x1**2 + 1)*(log(x2)**2 + 1))),PySRFunction(X=>3.4153254*x0 - 1.575232*exp(x2**2/((x1**2 + 1)*(log(x2)**2 + 1))))
15,0.0052573862,"((x0 * 3.4150684) + aq(0.20402782, x1)) + (exp(square(aq(x2, x1))) * -1.6394511)",0.017566366822381583,x0*3.4150684 + exp(x2**2/(x1**2 + 1))*(-1.6394511) + 0.20402782/sqrt(x1**2 + 1),PySRFunction(X=>x0*3.4150684 + exp(x2**2/(x1**2 + 1))*(-1.6394511) + 0.20402782/sqrt(x1**2 + 1))
16,0.005188563,"(exp(square(aq(aq(x2, -1.0476125 * x1), log(x2)))) * -1.575232) - (x0 * -3.4153254)",0.013177202864671118,3.4153254*x0 - 1.575232*exp(x2**2/((1.09749195015625*x1**2 + 1)*(log(x2)**2 + 1))),PySRFunction(X=>3.4153254*x0 - 1.575232*exp(x2**2/((1.09749195015625*x1**2 + 1)*(log(x2)**2 + 1))))
17,0.0044560945,"(exp(square(aq(x2, x1))) * -1.6219068) + ((x0 * 3.4029999) + aq(0.20017679, aq(x2, x0)))",0.15218407046614904,x0*3.4029999 + exp(x2**2/(x1**2 + 1))*(-1.6219068) + 0.20017679/sqrt(x2**2/(x0**2 + 1) + 1),PySRFunction(X=>x0*3.4029999 + exp(x2**2/(x1**2 + 1))*(-1.6219068) + 0.20017679/sqrt(x2**2/(x0**2 + 1) + 1))
18,0.0033893208,"(exp(square(aq(x2, x1))) * (square(aq(0.44328603, aq(x2, x0))) + -1.648719)) + (x0 * 3.3827698)",0.273643162424454,x0*3.3827698 + (-1.648719 + 0.196502504393161/(x2**2/(x0**2 + 1) + 1))*exp(x2**2/(x1**2 + 1)),PySRFunction(X=>x0*3.3827698 + (-1.648719 + 0.196502504393161/(x2**2/(x0**2 + 1) + 1))*exp(x2**2/(x1**2 + 1)))
21,0.0030716348,"square(aq(0.4456486, x1 + square(aq(x2, x0)))) + ((exp(square(aq(x2, x1))) * -1.6026644) + (x0 * 3.3935726))",0.03280653977541246,x0*3.3935726 + exp(x2**2/(x1**2 + 1))*(-1.6026644) + 0.19860267468196/((x1 + x2**2/(x0**2 + 1))**2 + 1),PySRFunction(X=>x0*3.3935726 + exp(x2**2/(x1**2 + 1))*(-1.6026644) + 0.19860267468196/((x1 + x2**2/(x0**2 + 1))**2 + 1))
22,0.0028036453,"(x0 * 3.3873003) + (aq(aq(x1 - 2.4534905, x1 + log(x2 + -0.07161812)) * x2, x0 * 0.22177686) - 1.0402411)",0.0912894646996655,3.3873003*x0 + x2*(x1 - 2.4534905)/(sqrt(0.0491849756314596*x0**2 + 1)*sqrt((x1 + log(x2 - 0.07161812))**2 + 1)) - 1.0402411,PySRFunction(X=>3.3873003*x0 + x2*(x1 - 2.4534905)/(sqrt(0.0491849756314596*x0**2 + 1)*sqrt((x1 + log(x2 - 0.07161812))**2 + 1)) - 1.0402411)
24,0.0022511608,"(aq(x2, (x0 - -0.64527947) * -0.18976916) * aq(x1 - 2.5037227, x1 + log(x2 + -0.06132682))) + ((x0 * 3.369401) - 1.0178503)",0.1097372345097788,3.369401*x0 + x2*(x1 - 2.5037227)/(sqrt((-0.18976916*x0 - 0.122454142987145)**2 + 1)*sqrt((x1 + log(x2 - 0.06132682))**2 + 1)) - 1.0178503,PySRFunction(X=>3.369401*x0 + x2*(x1 - 2.5037227)/(sqrt((-0.18976916*x0 - 0.122454142987145)**2 + 1)*sqrt((x1 + log(x2 - 0.06132682))**2 + 1)) - 1.0178503)
26,0.0021485807,"aq(aq(x2 * (x1 - 2.4665873), (-0.8003697 - x0) * -0.18060198), 1.1023884 * (x1 + log(-0.059974186 + x2))) + ((3.369306 * x0) - 1.0601314)",0.023319254837206347,3.369306*x0 + x2*(x1 - 2.4665873)/(sqrt((0.18060198*x0 + 0.144548352552006)**2 + 1)*sqrt((1.1023884*x1 + 1.1023884*log(x2 - 0.059974186))**2 + 1)) - 1.0601314,PySRFunction(X=>3.369306*x0 + x2*(x1 - 2.4665873)/(sqrt((0.18060198*x0 + 0.144548352552006)**2 + 1)*sqrt((1.1023884*x1 + 1.1023884*log(x2 - 0.059974186))**2 + 1)) - 1.0601314)
