Complexity,Loss,Equation,score,sympy_format,lambda_format
1,495.17786,-5.11444,0.0,-5.11444000000000,PySRFunction(X=>-5.11444000000000)
3,479.48264,x2 * -10.229669,0.01610466093698141,x2*(-10.229669),PySRFunction(X=>x2*(-10.229669))
4,472.09665,square(x2) * -15.044056,0.015523957715718833,x2**2*(-15.044056),PySRFunction(X=>x2**2*(-15.044056))
5,469.01917,"-64.343025 - aq(-69.299576, x2)",0.006540089761439325,-64.343025 - (-1)*69.299576/sqrt(x2**2 + 1),PySRFunction(X=>-64.343025 - (-1)*69.299576/sqrt(x2**2 + 1))
6,449.66144,"aq(-7.1214876, log(x2 + x0))",0.042148697764043674,-7.1214876/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.1214876/sqrt(log(x0 + x2)**2 + 1))
7,443.79773,"aq(-6.855886, square(log(x0 + x2)))",0.013126048478551446,-6.855886/sqrt(log(x0 + x2)**4 + 1),PySRFunction(X=>-6.855886/sqrt(log(x0 + x2)**4 + 1))
8,437.86807,"aq(-7.1214876, exp(square(log(x0 + x2))))",0.013451240610856395,-7.1214876/sqrt(exp(2*log(x0 + x2)**2) + 1),PySRFunction(X=>-7.1214876/sqrt(exp(2*log(x0 + x2)**2) + 1))
9,434.2646,"aq(-6.257307, log(x0 + square(x2)) + x1)",0.008263629215939199,-6.257307/sqrt((x1 + log(x0 + x2**2))**2 + 1),PySRFunction(X=>-6.257307/sqrt((x1 + log(x0 + x2**2))**2 + 1))
10,423.27304,square(x1 + log(x0 + square(x2))) - 5.4718113,0.02563657029774232,(x1 + log(x0 + x2**2))**2 - 5.4718113,PySRFunction(X=>(x1 + log(x0 + x2**2))**2 - 5.4718113)
11,418.17535,square(log(square(x0 + x2))) - square(x2 * 3.990041),0.012116613276355229,-15.920427181681*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-15.920427181681*x2**2 + log((x0 + x2)**2)**2)
12,406.7834,square(x1 + log(x0 + square(x2))) - exp(exp(x2)),0.02761998511910334,(x1 + log(x0 + x2**2))**2 - exp(exp(x2)),PySRFunction(X=>(x1 + log(x0 + x2**2))**2 - exp(exp(x2)))
13,400.2506,square(x1 + log(x0 + square(x2))) - square(x2 * -3.949093),0.016190006110000616,-15.595335522649*x2**2 + (x1 + log(x0 + x2**2))**2,PySRFunction(X=>-15.595335522649*x2**2 + (x1 + log(x0 + x2**2))**2)
14,398.0193,square(x1 + log(x0 + square(x2))) - ((x2 * 25.127483) - 9.604574),0.005590354367758277,-25.127483*x2 + (x1 + log(x0 + x2**2))**2 + 9.604574,PySRFunction(X=>-25.127483*x2 + (x1 + log(x0 + x2**2))**2 + 9.604574)
15,398.0069,(square(x1 + log(x0 + square(x2))) - square(x2 * -4.5747576)) + 2.899651,3.1154753451662335e-05,-20.9284070987578*x2**2 + (x1 + log(x0 + x2**2))**2 + 2.899651,PySRFunction(X=>-20.9284070987578*x2**2 + (x1 + log(x0 + x2**2))**2 + 2.899651)
16,393.2822,"square(x1 + log(square(x2 + aq(x0, x0)))) - ((x2 * 25.83404) - 9.862595)",0.011941921476707841,-25.83404*x2 + (x1 + log((x0/sqrt(x0**2 + 1) + x2)**2))**2 + 9.862595,PySRFunction(X=>-25.83404*x2 + (x1 + log((x0/sqrt(x0**2 + 1) + x2)**2))**2 + 9.862595)
17,391.50122,square(x1 + log(square(x0 + x2))) - ((x2 * 26.142017) - (10.205281 - square(x0))),0.004538788695197976,-x0**2 - 26.142017*x2 + (x1 + log((x0 + x2)**2))**2 + 10.205281,PySRFunction(X=>-x0**2 - 26.142017*x2 + (x1 + log((x0 + x2)**2))**2 + 10.205281)
18,390.8082,square(x1 + log(square(x2 + x0))) - exp(x2 * (2.8745887 - (square(x0) * -0.22178231))),0.0017717290973790268,(x1 + log((x0 + x2)**2))**2 - exp(x2*(0.22178231*x0**2 + 2.8745887)),PySRFunction(X=>(x1 + log((x0 + x2)**2))**2 - exp(x2*(0.22178231*x0**2 + 2.8745887)))
