Complexity,Loss,Equation,score,sympy_format,lambda_format
1,71.14633,-0.7483634,0.0,-0.748363400000000,PySRFunction(X=>-0.748363400000000)
2,67.87984,square(x0),0.046999658776476244,x0**2,PySRFunction(X=>x0**2)
3,65.44556,x0 * x1,0.03652043125198541,x0*x1,PySRFunction(X=>x0*x1)
4,61.91178,exp(x0) * x1,0.05550818347932741,x1*exp(x0),PySRFunction(X=>x1*exp(x0))
5,55.01519,x1 * (x0 * 4.7731256),0.11810113961169384,x1*x0*4.7731256,PySRFunction(X=>x1*x0*4.7731256)
7,47.823883,(x1 + -0.20574664) * (x0 * 7.6588006),0.07004208492563843,(x1 - 0.20574664)*x0*7.6588006,PySRFunction(X=>(x1 - 0.20574664)*x0*7.6588006)
8,40.796734,(log(0.0010910543 + x1) - -2.48017) * x0,0.15892312988178361,x0*(log(x1 + 0.0010910543) + 2.48017),PySRFunction(X=>x0*(log(x1 + 0.0010910543) + 2.48017))
9,27.757038,"(4.2454987 - aq(8.311721, x1 * 17.989117)) * x0",0.3851125995288758,x0*(4.2454987 - 8.311721/sqrt(323.608330439689*x1**2 + 1)),PySRFunction(X=>x0*(4.2454987 - 8.311721/sqrt(323.608330439689*x1**2 + 1)))
10,24.348358,"x0 * (exp(x0) + aq(-6.806982, x1 * 25.363474))",0.13102501566755176,x0*(exp(x0) - 6.806982/sqrt(643.305813348676*x1**2 + 1)),PySRFunction(X=>x0*(exp(x0) - 6.806982/sqrt(643.305813348676*x1**2 + 1)))
11,19.037466,"(exp(x0) + aq(-6.4387794, square(x1 * -16.482561))) * x0",0.24605548171908695,x0*(exp(x0) - 6.4387794/sqrt(73807.2062564905*x1**4 + 1)),PySRFunction(X=>x0*(exp(x0) - 6.4387794/sqrt(73807.2062564905*x1**4 + 1)))
12,16.83028,"x0 * (exp(x0) + aq(-6.288745, square(square(x1 * -14.018364))))",0.12322928724876471,x0*(exp(x0) - 6.288745/sqrt(1491346850.08924*x1**8 + 1)),PySRFunction(X=>x0*(exp(x0) - 6.288745/sqrt(1491346850.08924*x1**8 + 1)))
13,16.404892,"(exp(x0) + aq(-6.2128634, square(square(square(x1 * 13.187466))))) * x0",0.025600061989472886,x0*(exp(x0) - 6.2128634/sqrt(8.36722884334321e+17*x1**16 + 1)),PySRFunction(X=>x0*(exp(x0) - 6.2128634/sqrt(8.36722884334321e+17*x1**16 + 1)))
14,13.535988,"x0 * (3.4663782 - aq(7.644782, square((x1 * 13.574889) + (x0 - 0.7684886))))",0.19222766669401065,x0*(3.4663782 - 7.644782/sqrt((x0 + x1*13.574889 - 1*0.7684886)**4 + 1)),PySRFunction(X=>x0*(3.4663782 - 7.644782/sqrt((x0 + x1*13.574889 - 1*0.7684886)**4 + 1)))
16,11.749652,"((x0 + 2.306461) - aq(7.2277517, square((x0 + (x1 * 17.39562)) - 1.0570693))) * x0",0.07076414660417656,x0*(x0 + 2.306461 - 7.2277517/sqrt((x0 + x1*17.39562 - 1*1.0570693)**4 + 1)),PySRFunction(X=>x0*(x0 + 2.306461 - 7.2277517/sqrt((x0 + x1*17.39562 - 1*1.0570693)**4 + 1)))
18,10.583208,"x0 * (x0 + (2.419571 - aq(7.398534, square(aq(x0, x2) + ((x1 * 16.75702) - 0.9031598)))))",0.05227751452475795,x0*(x0 + 2.419571 - 7.398534/sqrt((x0/sqrt(x2**2 + 1) + x1*16.75702 - 1*0.9031598)**4 + 1)),PySRFunction(X=>x0*(x0 + 2.419571 - 7.398534/sqrt((x0/sqrt(x2**2 + 1) + x1*16.75702 - 1*0.9031598)**4 + 1)))
19,9.69268,"((x0 + 2.1745427) * x0) - aq(x0 * 7.283897, square((x0 - x2) + square(x1 * -11.721861)))",0.08789763263017775,x0*(x0 + 2.1745427) - 7.283897*x0/sqrt((x0 + 137.402025303321*x1**2 - x2)**4 + 1),PySRFunction(X=>x0*(x0 + 2.1745427) - 7.283897*x0/sqrt((x0 + 137.402025303321*x1**2 - x2)**4 + 1))
21,8.549803,"((x0 - x1) * (x0 + 2.7200482)) - aq(x0 * 7.8062696, square((x0 - x2) + square(x1 * 11.511431)))",0.06273135985152754,-7.8062696*x0/sqrt((x0 + 132.513043667761*x1**2 - x2)**4 + 1) + (x0 + 2.7200482)*(x0 - x1),PySRFunction(X=>-7.8062696*x0/sqrt((x0 + 132.513043667761*x1**2 - x2)**4 + 1) + (x0 + 2.7200482)*(x0 - x1))
23,7.7673483,"aq(2.4748316 - (x0 * 7.587795), square((x0 - x2) + square(x1 * -13.711066))) + ((x0 + 2.9075348) * (x0 - x2))",0.047989704873268466,(2.4748316 - 7.587795*x0)/sqrt((x0 + 187.993330856356*x1**2 - x2)**4 + 1) + (x0 + 2.9075348)*(x0 - x2),PySRFunction(X=>(2.4748316 - 7.587795*x0)/sqrt((x0 + 187.993330856356*x1**2 - x2)**4 + 1) + (x0 + 2.9075348)*(x0 - x2))
25,7.590967,"(aq(x0 + 3.2301118, x1) * (x0 - x2)) + aq(2.6902497 - (x0 * 7.922592), square(x0 + (square(x1 * -13.592126) - x2)))",0.01148492211457875,((x0 + 3.2301118)/sqrt(x1**2 + 1))*(x0 - x2) + (2.6902497 - 7.922592*x0)/sqrt((x0 + 184.745889199876*x1**2 - x2)**4 + 1),PySRFunction(X=>((x0 + 3.2301118)/sqrt(x1**2 + 1))*(x0 - x2) + (2.6902497 - 7.922592*x0)/sqrt((x0 + 184.745889199876*x1**2 - x2)**4 + 1))
26,7.2084374,"aq(5.05538 - (x0 * 16.217436), square(square(square(x1 * -13.114303) + (x0 - x2))) + 1.9547681) + ((x0 + 2.7780645) * (x0 - x2))",0.05170678673201486,(5.05538 - 16.217436*x0)/sqrt(((x0 + 171.984943175809*x1**2 - x2)**4 + 1.9547681)**2 + 1) + (x0 + 2.7780645)*(x0 - x2),PySRFunction(X=>(5.05538 - 16.217436*x0)/sqrt(((x0 + 171.984943175809*x1**2 - x2)**4 + 1.9547681)**2 + 1) + (x0 + 2.7780645)*(x0 - x2))
27,6.9743958,"(aq(0.36215058 - x0, square(square(x1 * -13.859177) + (x0 - x2))) * 7.701248) + (((x0 * (1.5500584 - x1)) + 2.8362005) * (x0 - x2))",0.03300650074037086,((0.36215058 - x0)/sqrt((x0 + 192.076787117329*x1**2 - x2)**4 + 1))*7.701248 + (x0 - x2)*(x0*(1.5500584 - x1) + 2.8362005),PySRFunction(X=>((0.36215058 - x0)/sqrt((x0 + 192.076787117329*x1**2 - x2)**4 + 1))*7.701248 + (x0 - x2)*(x0*(1.5500584 - x1) + 2.8362005))
28,6.642659,"aq((0.38059506 - x0) * 7.861002, square((x0 - x2) + square(x1 * -13.88125))) + (((x0 * square(1.3700551 - x1)) + 2.8942945) * (x0 - x2))",0.048733365163323994,7.861002*(0.38059506 - x0)/sqrt((x0 + 192.6891015625*x1**2 - x2)**4 + 1) + (x0 - x2)*(x0*(1.3700551 - x1)**2 + 2.8942945),PySRFunction(X=>7.861002*(0.38059506 - x0)/sqrt((x0 + 192.6891015625*x1**2 - x2)**4 + 1) + (x0 - x2)*(x0*(1.3700551 - x1)**2 + 2.8942945))
29,6.248783,"((x0 - x2) * ((x0 * aq(4.184948, square(x1 * -8.483761))) + 3.1926343)) + aq((0.3805317 - x0) * 9.792849, (square(x1 * -18.97165) + x0) - 1.3158392)",0.06112561034823613,9.792849*(0.3805317 - x0)/sqrt((x0 + 359.9235037225*x1**2 - 1*1.3158392)**2 + 1) + (x0 - x2)*(x0*(4.184948/sqrt(5180.28556714104*x1**4 + 1)) + 3.1926343),PySRFunction(X=>9.792849*(0.3805317 - x0)/sqrt((x0 + 359.9235037225*x1**2 - 1*1.3158392)**2 + 1) + (x0 - x2)*(x0*(4.184948/sqrt(5180.28556714104*x1**4 + 1)) + 3.1926343))
30,5.826348,"aq((((5.345564 * aq(x0, x1 * -11.717251)) + 3.5214362) * (x0 - x2)) + aq(4.169153 - (11.401809 * x0), (x0 - 1.3160974) + square(x1 * -19.266943)), x2)",0.06999633579975616,((4.169153 - 11.401809*x0)/sqrt((x0 + 371.215092565249*x1**2 - 1*1.3160974)**2 + 1) + (x0 - x2)*(5.345564*(x0/sqrt(137.293970997001*x1**2 + 1)) + 3.5214362))/sqrt(x2**2 + 1),PySRFunction(X=>((4.169153 - 11.401809*x0)/sqrt((x0 + 371.215092565249*x1**2 - 1*1.3160974)**2 + 1) + (x0 - x2)*(5.345564*(x0/sqrt(137.293970997001*x1**2 + 1)) + 3.5214362))/sqrt(x2**2 + 1))
31,5.2417884,"((aq(x0 * 4.6446133, square((x1 * -20.314964) * x2)) + 3.2250319) * (x0 - x2)) + aq((0.37185836 - x0) * 10.063169, (square(x1 * 19.123823) + x0) - 1.3586216)",0.1057276511740939,10.063169*(0.37185836 - x0)/sqrt((x0 + 365.720606135329*x1**2 - 1*1.3586216)**2 + 1) + (x0 - x2)*(4.6446133*x0/sqrt(170319.443025005*x1**4*x2**4 + 1) + 3.2250319),PySRFunction(X=>10.063169*(0.37185836 - x0)/sqrt((x0 + 365.720606135329*x1**2 - 1*1.3586216)**2 + 1) + (x0 - x2)*(4.6446133*x0/sqrt(170319.443025005*x1**4*x2**4 + 1) + 3.2250319))
32,5.140401,"aq(((x0 - x2) * (aq(x0 * 5.6088414, -26.732916 * (x1 * x2)) + 3.5229802)) + aq(4.127714 - (x0 * 11.504563), square(x1 * -19.215574) + (x0 - 1.3158815)), x2)",0.01953164582583944,((4.127714 - 11.504563*x0)/sqrt((x0 + 369.238284149476*x1**2 - 1*1.3158815)**2 + 1) + (x0 - x2)*(5.6088414*x0/sqrt(714.648797863056*x1**2*x2**2 + 1) + 3.5229802))/sqrt(x2**2 + 1),PySRFunction(X=>((4.127714 - 11.504563*x0)/sqrt((x0 + 369.238284149476*x1**2 - 1*1.3158815)**2 + 1) + (x0 - x2)*(5.6088414*x0/sqrt(714.648797863056*x1**2*x2**2 + 1) + 3.5229802))/sqrt(x2**2 + 1))
33,4.3604627,"aq(((3.7680748 + (5.6640472 * aq(x0, square((-21.58914 * x1) * x2)))) * (x0 - x2)) + aq(4.337628 - (12.008161 * x0), square(x1 * -19.065813) + (x0 - 1.3627108)), x2)",0.16455291640480396,((4.337628 - 12.008161*x0)/sqrt((x0 + 363.505225350969*x1**2 - 1*1.3627108)**2 + 1) + (x0 - x2)*(5.6640472*(x0/sqrt(217240.788530509*x1**4*x2**4 + 1)) + 3.7680748))/sqrt(x2**2 + 1),PySRFunction(X=>((4.337628 - 12.008161*x0)/sqrt((x0 + 363.505225350969*x1**2 - 1*1.3627108)**2 + 1) + (x0 - x2)*(5.6640472*(x0/sqrt(217240.788530509*x1**4*x2**4 + 1)) + 3.7680748))/sqrt(x2**2 + 1))
35,3.875752,"((3.2420254 + aq(5.9955497 * aq(x0, x2), square((x1 * -21.778559) * x2))) * (x0 - x2)) + aq(aq(4.4293623 - (12.248552 * x0), square(x1 * -19.187918) + (x0 - 1.3905715)), x2)",0.058919233545029676,(4.4293623 - 12.248552*x0)/(sqrt(x2**2 + 1)*sqrt((x0 + 368.176197174724*x1**2 - 1*1.3905715)**2 + 1)) + (x0 - x2)*(5.9955497*x0/(sqrt(x2**2 + 1)*sqrt(224965.832657415*x1**4*x2**4 + 1)) + 3.2420254),PySRFunction(X=>(4.4293623 - 12.248552*x0)/(sqrt(x2**2 + 1)*sqrt((x0 + 368.176197174724*x1**2 - 1*1.3905715)**2 + 1)) + (x0 - x2)*(5.9955497*x0/(sqrt(x2**2 + 1)*sqrt(224965.832657415*x1**4*x2**4 + 1)) + 3.2420254))
37,3.630818,"((3.2387283 + (aq(x0, x2) * aq(aq(6.656573, square((x1 * -21.649647) * x2)), x2))) * (x0 - x2)) + aq(aq(4.445861 - (12.183397 * x0), square(x1 * -19.030455) + (x0 - 1.3646163)), x2)",0.032640870625102694,(4.445861 - 12.183397*x0)/(sqrt(x2**2 + 1)*sqrt((x0 + 362.158217507025*x1**2 - 1*1.3646163)**2 + 1)) + (x0 - x2)*((x0/sqrt(x2**2 + 1))*(6.656573/(sqrt(x2**2 + 1)*sqrt(219686.453603608*x1**4*x2**4 + 1))) + 3.2387283),PySRFunction(X=>(4.445861 - 12.183397*x0)/(sqrt(x2**2 + 1)*sqrt((x0 + 362.158217507025*x1**2 - 1*1.3646163)**2 + 1)) + (x0 - x2)*((x0/sqrt(x2**2 + 1))*(6.656573/(sqrt(x2**2 + 1)*sqrt(219686.453603608*x1**4*x2**4 + 1))) + 3.2387283))
39,3.5441864,"((x0 - x2) * (aq(aq(aq(x0, x2), x2) * 6.417832, square(x1 * (x2 * -19.310558))) + 3.2024744)) + aq(aq(4.8298645 - (12.028052 * (x0 + x1)), x0 + (square(-18.512857 * x1) - 1.3207529)), x2)",0.012074669973320108,(4.8298645 - 12.028052*(x0 + x1))/(sqrt(x2**2 + 1)*sqrt((x0 + 342.725874302449*x1**2 - 1*1.3207529)**2 + 1)) + (x0 - x2)*(6.417832*x0/((x2**2 + 1)*sqrt(139052.657577904*x1**4*x2**4 + 1)) + 3.2024744),PySRFunction(X=>(4.8298645 - 12.028052*(x0 + x1))/(sqrt(x2**2 + 1)*sqrt((x0 + 342.725874302449*x1**2 - 1*1.3207529)**2 + 1)) + (x0 - x2)*(6.417832*x0/((x2**2 + 1)*sqrt(139052.657577904*x1**4*x2**4 + 1)) + 3.2024744))
40,3.4968364,"aq(aq(4.883323 - ((x0 + x1) * 12.225086), (x0 - 1.3483831) + square(x1 * -18.797651)), x2) + ((aq(aq(aq(x0, x2) * 6.233573, square((x1 * -21.72884) * x2)), square(x2)) + 3.2504349) * (x0 - x2))",0.013449953266449413,(4.883323 - 12.225086*(x0 + x1))/(sqrt(x2**2 + 1)*sqrt((x0 + 353.351683117801*x1**2 - 1*1.3483831)**2 + 1)) + (x0 - x2)*(6.233573*x0/(sqrt(x2**2 + 1)*sqrt(x2**4 + 1)*sqrt(222918.528734604*x1**4*x2**4 + 1)) + 3.2504349),PySRFunction(X=>(4.883323 - 12.225086*(x0 + x1))/(sqrt(x2**2 + 1)*sqrt((x0 + 353.351683117801*x1**2 - 1*1.3483831)**2 + 1)) + (x0 - x2)*(6.233573*x0/(sqrt(x2**2 + 1)*sqrt(x2**4 + 1)*sqrt(222918.528734604*x1**4*x2**4 + 1)) + 3.2504349))
