Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.715305,x0,0.0,x0,PySRFunction(X=>x0)
2,22.926933,exp(x0),0.3244870389225471,exp(x0),PySRFunction(X=>exp(x0))
3,4.2309904,x0 * 3.2691655,1.6898762302493824,x0*3.2691655,PySRFunction(X=>x0*3.2691655)
5,1.0827746,(x0 * 3.438609) - 1.809249,0.6814546409937948,x0*3.438609 - 1*1.809249,PySRFunction(X=>x0*3.438609 - 1*1.809249)
6,0.3194853,log(square(exp(x0) + -0.5933215)),1.2205708363933028,log((exp(x0) - 0.5933215)**2),PySRFunction(X=>log((exp(x0) - 0.5933215)**2))
7,0.124971494,((4.439249 - x0) * x0) + -1.981907,0.9386256000740517,x0*(4.439249 - x0) - 1.981907,PySRFunction(X=>x0*(4.439249 - x0) - 1.981907)
8,0.015588151,(log(x0 + 1.710765) * 7.466879) + -5.953717,2.0815745889271864,7.466879*log(x0 + 1.710765) - 5.953717,PySRFunction(X=>7.466879*log(x0 + 1.710765) - 5.953717)
10,0.015182847,((log(x0 + 1.1219113) * 3.8220134) + -2.378399) + x0,0.013172385289404216,x0 + 3.8220134*log(x0 + 1.1219113) - 2.378399,PySRFunction(X=>x0 + 3.8220134*log(x0 + 1.1219113) - 2.378399)
11,0.014833853,((log(log(x0 + 2.5390592)) * 7.9938197) + -1.3771447) + x0,0.023254370191123155,x0 + 7.9938197*log(log(x0 + 2.5390592)) - 1.3771447,PySRFunction(X=>x0 + 7.9938197*log(log(x0 + 2.5390592)) - 1.3771447)
12,0.006571733,((x2 * -0.49208486) + (log(x0 + 1.6881038) * 7.38044)) + -5.5118685,0.8141343611505658,-0.49208486*x2 + 7.38044*log(x0 + 1.6881038) - 5.5118685,PySRFunction(X=>-0.49208486*x2 + 7.38044*log(x0 + 1.6881038) - 5.5118685)
14,0.0039340784,"(log(x0 + aq(x0 + 3.5307302, x2 * 0.35806355)) * 7.583546) - 11.322367",0.25655046192690223,7.583546*log(x0 + (x0 + 3.5307302)/sqrt(0.128209505838602*x2**2 + 1)) - 11.322367,PySRFunction(X=>7.583546*log(x0 + (x0 + 3.5307302)/sqrt(0.128209505838602*x2**2 + 1)) - 11.322367)
16,0.0028499733,"(log(x0 + aq(x0 + 3.5295591, aq(x2 * 0.37246358, x1))) * 7.5835075) - 11.322586",0.16118351138914552,7.5835075*log(x0 + (x0 + 3.5295591)/sqrt(0.138729118426416*x2**2/(x1**2 + 1) + 1)) - 11.322586,PySRFunction(X=>7.5835075*log(x0 + (x0 + 3.5295591)/sqrt(0.138729118426416*x2**2/(x1**2 + 1) + 1)) - 11.322586)
17,0.0027965282,"(log(x0 + aq(x0 + 3.5162592, aq(x2, square(x1)) * -0.36817852)) * 7.555598) - 11.25758",0.018930906553347112,7.555598*log(x0 + (x0 + 3.5162592)/sqrt(0.13555542258939*x2**2/(x1**4 + 1) + 1)) - 11.25758,PySRFunction(X=>7.555598*log(x0 + (x0 + 3.5162592)/sqrt(0.13555542258939*x2**2/(x1**4 + 1) + 1)) - 11.25758)
18,0.0026798574,"(log(aq(x0 + 3.5362816, aq(x2, x1) * 0.37835634) + (x0 + -0.018755835)) * 7.556899) - 11.256528",0.04261513511038076,7.556899*log(x0 + (x0 + 3.5362816)/sqrt(0.143153520018196*x2**2/(x1**2 + 1) + 1) - 0.018755835) - 11.256528,PySRFunction(X=>7.556899*log(x0 + (x0 + 3.5362816)/sqrt(0.143153520018196*x2**2/(x1**2 + 1) + 1) - 0.018755835) - 11.256528)
20,0.0022375414,"(((x0 * 0.091251835) + 6.6090493) * log(aq(x0 + 3.1456742, aq(x2 * -0.40118754, x1)) + x0)) - 9.3295765",0.09019295518144987,(0.091251835*x0 + 6.6090493)*log(x0 + (x0 + 3.1456742)/sqrt(0.160951442251252*x2**2/(x1**2 + 1) + 1)) - 9.3295765,PySRFunction(X=>(0.091251835*x0 + 6.6090493)*log(x0 + (x0 + 3.1456742)/sqrt(0.160951442251252*x2**2/(x1**2 + 1) + 1)) - 9.3295765)
21,0.0020604858,"(square(x0) * 0.07113949) + ((log(aq(x0 + 3.0953472, aq(x2 * -0.39803162, x1)) + x0) * 6.678429) - 9.3033)",0.0824358935471883,0.07113949*x0**2 + 6.678429*log(x0 + (x0 + 3.0953472)/sqrt(0.158429170519824*x2**2/(x1**2 + 1) + 1)) - 9.3033,PySRFunction(X=>0.07113949*x0**2 + 6.678429*log(x0 + (x0 + 3.0953472)/sqrt(0.158429170519824*x2**2/(x1**2 + 1) + 1)) - 9.3033)
23,0.002057959,"(square(aq(x0, 0.07113949)) * 0.07113949) + ((log(aq(x0 + 3.0953472, aq(x2 * -0.39803162, x1)) + x0) * 6.678429) - 9.3033)",0.0006135326415078715,0.070781278193572*x0**2 + 6.678429*log(x0 + (x0 + 3.0953472)/sqrt(0.158429170519824*x2**2/(x1**2 + 1) + 1)) - 9.3033,PySRFunction(X=>0.070781278193572*x0**2 + 6.678429*log(x0 + (x0 + 3.0953472)/sqrt(0.158429170519824*x2**2/(x1**2 + 1) + 1)) - 9.3033)
24,0.0019917632,"(x1 * (square(square(x0)) * 0.034691397)) + ((log(x0 + aq(3.40114 + x0, -0.38525677 * aq(x2, x1))) * 7.3320932) - 10.727625)",0.03269443836464481,0.034691397*x0**4*x1 + 7.3320932*log(x0 + (x0 + 3.40114)/sqrt(0.148422778830833*x2**2/(x1**2 + 1) + 1)) - 10.727625,PySRFunction(X=>0.034691397*x0**4*x1 + 7.3320932*log(x0 + (x0 + 3.40114)/sqrt(0.148422778830833*x2**2/(x1**2 + 1) + 1)) - 10.727625)
25,0.001838849,"(log(aq(x0 + 3.3949845, aq(0.3817369 * x2, x1)) + x0) * 7.326438) - (10.710178 + ((x1 * square(0.3817369 - x0)) * -0.08703204))",0.07988044418546529,0.08703204*x1*(0.3817369 - x0)**2 + 7.326438*log(x0 + (x0 + 3.3949845)/sqrt(0.14572306082161*x2**2/(x1**2 + 1) + 1)) - 10.710178,PySRFunction(X=>0.08703204*x1*(0.3817369 - x0)**2 + 7.326438*log(x0 + (x0 + 3.3949845)/sqrt(0.14572306082161*x2**2/(x1**2 + 1) + 1)) - 10.710178)
26,0.0013588204,"(((((x1 * x0) * 0.054813493) * (x0 - x1)) + 7.3277187) * log(x0 + aq(x0 + 3.397787, aq(x2 * 0.37995794, x1)))) - 10.719957",0.3025228619701039,(0.054813493*x0*x1*(x0 - x1) + 7.3277187)*log(x0 + (x0 + 3.397787)/sqrt(0.144368036169044*x2**2/(x1**2 + 1) + 1)) - 10.719957,PySRFunction(X=>(0.054813493*x0*x1*(x0 - x1) + 7.3277187)*log(x0 + (x0 + 3.397787)/sqrt(0.144368036169044*x2**2/(x1**2 + 1) + 1)) - 10.719957)
