# param=Ap z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_value/refit/z3.6/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,0.049233362,0.018048343563478175,2.7289917666978118e-05,48,True,True
39,0.05052946,0.02568814524273605,2.7398268429929723e-05,48,True,True
37,0.05919449,0.02271363546010502,2.499571514363188e-05,48,True,True
35,0.059702784,0.033769293251399546,3.208411511054644e-05,48,True,True
34,0.06608711,0.031677805619042654,5.599117225979858e-05,48,True,True
32,0.07845076,0.01974810727947407,5.1320398566342416e-05,48,True,True
31,0.09133389,0.020034622028074045,9.735613990552638e-05,48,True,True
30,0.10857208,0.05314226904942282,9.880060959864563e-05,48,True,True
29,0.11140401,0.03277545692155026,1.389590715568437e-05,48,True,True
27,0.1322034,0.039399985047036123,5.860783536363732e-05,48,True,True
25,0.15219092,0.03356468884481412,5.8517923928069295e-05,48,True,True
24,0.18999848,0.04809652681387622,3.122509254543649e-05,48,True,True
23,0.20981012,0.19510734365876614,0.00026645555936703405,48,True,True
22,0.2115081,0.10525302301720546,0.00023570032406706364,48,True,True
21,0.2251484,0.24487186947409362,0.00025431271386511234,48,True,True
20,0.2780201,0.1341254391096101,0.00020301754669596486,48,True,True
19,0.31513488,0.18125038660759946,0.00020724806285040236,48,True,True
17,0.34715205,0.1604826456923783,0.00021927070406165607,48,True,True
16,0.39222202,0.1598996846598199,0.0002731479528608204,48,True,True
15,0.42233726,0.34462983584298046,0.0002760054955405339,48,False,True
14,0.44049886,0.22588590221438687,0.0002460157457348756,48,True,True
13,0.4560531,0.17313669605749843,0.000284769346321756,48,True,True
11,0.5050515,0.18240652701003202,8.054930234621782e-05,48,True,True
10,0.54310954,0.2697211507901237,0.0003746336181224208,48,False,True
9,0.55862474,0.16128012585621682,0.0003750663286177987,48,True,True
7,0.58535486,0.3337044215407483,0.00035016626366733396,48,False,True
5,0.69417584,0.2932714771189189,0.00029694778281981265,48,False,True
4,1.0249573,0.17604717422330152,0.00047460635096468096,48,True,True
3,1.3571283,0.7794182454600558,0.001463847676960347,48,False,True
