# param=herei z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sens_maxsize40_value/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
40,0.0053446963,0.07680348603884218,1.0984807370541498e-05,48,True,True
38,0.0053533926,0.07883026678420624,1.1073841055368986e-05,48,True,True
37,0.0054188212,0.07895128905242949,1.1240920720776121e-05,48,True,True
36,0.005451604,0.07909387562027798,1.1257235480814733e-05,48,True,True
35,0.005456668,0.08020346018561397,1.1138603194887252e-05,48,True,True
34,0.005565307,0.0672770468611219,1.15904881804201e-05,48,True,True
33,0.005565648,0.06728475925777339,1.1609121547998232e-05,48,True,True
32,0.0056455745,0.062423089052912384,1.161665110193312e-05,48,True,True
31,0.005752643,0.05845586483489579,1.1811352181363998e-05,48,True,True
30,0.0058547924,0.05894441995108912,1.1909632578633427e-05,48,True,True
28,0.0060046664,0.05570764462730693,1.2156711232612691e-05,48,True,True
27,0.006008464,0.06502869889833784,1.2574158969302242e-05,48,True,True
25,0.006070888,0.06813310589503896,1.274361291622617e-05,48,True,True
23,0.006070901,0.06805795842883167,1.2744482747865573e-05,48,True,True
22,0.0062178182,0.0727152951200597,1.2809751141007008e-05,48,True,True
21,0.006351616,0.0696903106949967,1.2911838455875986e-05,48,True,True
20,0.0077299983,0.0636112790302541,1.417234463558833e-05,48,True,True
19,0.008168418,0.07256719005567469,1.534850201563586e-05,48,True,True
18,0.009835496,0.10906649103117749,1.7404946467347307e-05,48,True,True
17,0.010046062,0.1255346613093945,1.8527592697677047e-05,48,True,True
16,0.011146264,0.06183685606110456,1.8128731939745297e-05,48,True,True
15,0.012177751,0.056201973896510604,1.9926944187182065e-05,48,True,True
14,0.013009747,0.06174979931982533,1.9614429863122368e-05,48,True,True
12,0.014218052,0.06151996583077568,2.435803766201058e-05,48,True,True
11,0.027264437,0.0622909154439486,5.8788692205072904e-05,48,True,True
10,0.02748757,0.10949999391541376,5.7600611502141225e-05,48,True,True
9,0.03796471,0.2593964673864262,6.85258456468678e-05,48,False,True
8,0.04057883,0.21041962729378072,6.909509219819606e-05,48,True,True
7,0.058822244,0.3306126443177876,8.15282752860703e-05,48,False,True
6,0.08224165,0.3186554789538768,0.00012578688159883434,48,False,True
5,0.115535684,0.41875738926487716,0.00015186340929909298,48,False,True
4,0.39267334,0.21674781415936278,0.00026679177227462327,48,True,True
3,0.6062867,0.5149572576236955,0.0006523774925330993,48,False,True
