Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.513488,-1.5232393,0.0,-1.52323930000000,PySRFunction(X=>-1.52323930000000)
3,4.121384,x2 * -3.046536,0.14550421222802312,x2*(-3.046536),PySRFunction(X=>x2*(-3.046536))
4,3.2096841,log(square(log(x2))),0.2500165081979886,log(log(x2)**2),PySRFunction(X=>log(log(x2)**2))
5,3.1933155,3.0463686 - (x2 * 7.6159706),0.005112802336352279,3.0463686 - 7.6159706*x2,PySRFunction(X=>3.0463686 - 7.6159706*x2)
6,3.042656,"log(square(aq(log(x2), x0)))",0.04832890055915503,log(log(x2)**2/(x0**2 + 1)),PySRFunction(X=>log(log(x2)**2/(x0**2 + 1)))
7,2.8391302,(3.544724 - (x2 * 7.6133814)) - x0,0.06923308053078303,-x0 - 7.6133814*x2 + 3.544724,PySRFunction(X=>-x0 - 7.6133814*x2 + 3.544724)
8,2.5029542,exp(square(x1)) * log(square(log(x2))),0.12602602341810287,exp(x1**2)*log(log(x2)**2),PySRFunction(X=>exp(x1**2)*log(log(x2)**2))
9,2.0589564,square(exp(square(square(x1))) * x2) * -3.0709052,0.19527246174625376,(x2**2*exp(2*x1**4))*(-3.0709052),PySRFunction(X=>(x2**2*exp(2*x1**4))*(-3.0709052))
10,1.6691636,square(x2 * exp(square(square(square(x1))))) * -3.48062,0.20987658984971785,(x2**2*exp(2*x1**8))*(-3.48062),PySRFunction(X=>(x2**2*exp(2*x1**8))*(-3.48062))
11,1.2345432,square(square(x2)) * log(square((x1 + -0.99999994) * 0.04963374)),0.30162163952841514,x2**4*log((0.04963374*x1 - 0.0496337370219756)**2),PySRFunction(X=>x2**4*log((0.04963374*x1 - 0.0496337370219756)**2))
12,1.1909064,square(square(x2)) * log(square((square(x1) + -0.99999994) * 0.04134775)),0.03598632525129211,x2**4*log((0.04134775*x1**2 - 0.041347747519135)**2),PySRFunction(X=>x2**4*log((0.04134775*x1**2 - 0.041347747519135)**2))
13,1.0786908,(square(square(x2)) * log(square((x1 + -0.99999994) * 0.09490856))) - x0,0.09896661428597008,-x0 + x2**4*log((0.09490856*x1 - 0.0949085543054864)**2),PySRFunction(X=>-x0 + x2**4*log((0.09490856*x1 - 0.0949085543054864)**2))
14,1.0012093,(log(square((x1 + -0.99999994) * 0.07540874)) * square(square(x2))) - square(x0),0.07453951419251087,-x0**2 + x2**4*log((0.07540874*x1 - 0.0754087354754756)**2),PySRFunction(X=>-x0**2 + x2**4*log((0.07540874*x1 - 0.0754087354754756)**2))
15,0.86229575,((log(square((x1 + -0.99999994) * 0.038397178)) * square(square(x2))) + 0.7012601) - x0,0.1493655391008351,-x0 + x2**4*log((0.038397178*x1 - 0.0383971756961693)**2) + 0.7012601,PySRFunction(X=>-x0 + x2**4*log((0.038397178*x1 - 0.0383971756961693)**2) + 0.7012601)
16,0.8288541,((log(square((square(x1) + -0.99999994) * -0.037909817)) * square(square(x2))) + 0.70126003) - x0,0.03955416479560152,-x0 + x2**4*log((0.037909814725411 - 0.037909817*x1**2)**2) + 0.70126003,PySRFunction(X=>-x0 + x2**4*log((0.037909814725411 - 0.037909817*x1**2)**2) + 0.70126003)
17,0.65413785,(log(square((x1 + -0.99999994) * -0.08621225)) * square(square(x2))) - log(square(x2 + x0)),0.2367260354086493,x2**4*log((0.086212244827265 - 0.08621225*x1)**2) - log((x0 + x2)**2),PySRFunction(X=>x2**4*log((0.086212244827265 - 0.08621225*x1)**2) - log((x0 + x2)**2))
18,0.50364447,"((x0 + log(x2)) * -3.2388701) - exp(square(aq(square(square(x1) * x2) * 2.8426347, x0)))",0.2614475065814729,-3.2388701*x0 - exp(8.08057203764409*x1**8*x2**4/(x0**2 + 1)) - 3.2388701*log(x2),PySRFunction(X=>-3.2388701*x0 - exp(8.08057203764409*x1**8*x2**4/(x0**2 + 1)) - 3.2388701*log(x2))
19,0.44559702,"(((x0 + log(x2)) * -3.058297) - exp(square(aq(square(x1 * (x2 * 1.664878)), x0)))) - x2",0.12245560150279128,-3.058297*x0 - x2 - exp(7.68297920992669*x1**4*x2**4/(x0**2 + 1)) - 3.058297*log(x2),PySRFunction(X=>-3.058297*x0 - x2 - exp(7.68297920992669*x1**4*x2**4/(x0**2 + 1)) - 3.058297*log(x2))
20,0.15993212,"(((x0 + log(x2)) * -3.1044428) - exp(square(aq(4.407576, x0) * square(square(x2 * x1))))) - x2",1.0246655257641695,-3.1044428*x0 - x2 - exp(19.426726195776*x1**8*x2**8/(x0**2 + 1)) - 3.1044428*log(x2),PySRFunction(X=>-3.1044428*x0 - x2 - exp(19.426726195776*x1**8*x2**8/(x0**2 + 1)) - 3.1044428*log(x2))
21,0.13650845,"(((log(x2) + x0) * -3.1339033) - exp(square(square(square(square(x1 * x2))) * aq(10.784662, x0)))) - x2",0.15836295774343587,-3.1339033*x0 - x2 - exp(116.308934454244*x1**16*x2**16/(x0**2 + 1)) - 3.1339033*log(x2),PySRFunction(X=>-3.1339033*x0 - x2 - exp(116.308934454244*x1**16*x2**16/(x0**2 + 1)) - 3.1339033*log(x2))
22,0.12741496,"((-5.092731 * log(aq(x0, -2.259403) + x2)) - exp(square(aq(square(square(x1 * x2)) * -4.3995748, x0)))) - 1.6854808",0.0689373557949508,-exp(19.356258420795*x1**8*x2**8/(x0**2 + 1)) - 5.092731*log(0.404725580453733*x0 + x2) - 1.6854808,PySRFunction(X=>-exp(19.356258420795*x1**8*x2**8/(x0**2 + 1)) - 5.092731*log(0.404725580453733*x0 + x2) - 1.6854808)
23,0.092962466,"((log(x2 + aq(x0, 2.3838449)) * -5.151697) - exp(square(square(square(x2 * square(x1))) * (4.4661884 - x0)))) - 1.7867503",0.31525334138546923,-exp(x1**16*x2**8*(4.4661884 - x0)**2) - 5.151697*log(0.386832968980018*x0 + x2) - 1.7867503,PySRFunction(X=>-exp(x1**16*x2**8*(4.4661884 - x0)**2) - 5.151697*log(0.386832968980018*x0 + x2) - 1.7867503)
25,0.08776969,"((log(aq(x0, 2.3730986) + x2) * -5.160332) - exp(square(aq(4.3791904, aq(x0, 0.48149368)) * square(square(square(x1) * x2))))) - 1.7864609",0.028739797825608804,-exp(19.1773085594522*x1**16*x2**8/(0.811796267492487*x0**2 + 1)) - 5.160332*log(0.388321054141378*x0 + x2) - 1.7864609,PySRFunction(X=>-exp(19.1773085594522*x1**16*x2**8/(0.811796267492487*x0**2 + 1)) - 5.160332*log(0.388321054141378*x0 + x2) - 1.7864609)
