Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.3098843,-0.5177595,0.0,-0.517759500000000,PySRFunction(X=>-0.517759500000000)
3,0.8041895,x0 + -1.0178971,0.24392957687984826,x0 - 1.0178971,PySRFunction(X=>x0 - 1.0178971)
4,0.51910144,log(x0 + 0.09282196),0.43773562106300473,log(x0 + 0.09282196),PySRFunction(X=>log(x0 + 0.09282196))
5,0.08669644,(x0 - x2) * 3.3025908,1.789686495048184,(x0 - x2)*3.3025908,PySRFunction(X=>(x0 - x2)*3.3025908)
7,0.04871476,(x0 - (x2 - -0.06416341)) * 3.1545663,0.2882153787809704,(x0 - (x2 - 1*(-0.06416341)))*3.1545663,PySRFunction(X=>(x0 - (x2 - 1*(-0.06416341)))*3.1545663)
8,0.030782362,(x0 * 3.3576238) - exp(x2 * 1.2522672),0.4590402006430265,x0*3.3576238 - exp(x2*1.2522672),PySRFunction(X=>x0*3.3576238 - exp(x2*1.2522672))
9,0.019113036,"(x0 + (-0.09160861 - aq(x2, x1))) * 3.2108736",0.47657124827270914,(x0 - x2/sqrt(x1**2 + 1) - 0.09160861)*3.2108736,PySRFunction(X=>(x0 - x2/sqrt(x1**2 + 1) - 0.09160861)*3.2108736)
10,0.0046013175,"(x0 * 3.361328) - exp(aq(1.3170545, x1) * x2)",1.424027939805312,x0*3.361328 - exp(x2*(1.3170545/sqrt(x1**2 + 1))),PySRFunction(X=>x0*3.361328 - exp(x2*(1.3170545/sqrt(x1**2 + 1))))
11,0.0032098638,"(x0 * 3.4565322) - (exp(square(aq(x2, x1))) * 1.5273734)",0.36011416919493344,x0*3.4565322 - 1.5273734*exp(x2**2/(x1**2 + 1)),PySRFunction(X=>x0*3.4565322 - 1.5273734*exp(x2**2/(x1**2 + 1)))
12,0.003023923,"(x0 * 3.415182) + (-1.3566179 - (square(aq(x2, x1)) * 2.39359))",0.05967351130507166,x0*3.415182 - 2.39359*x2**2/(x1**2 + 1) - 1.3566179,PySRFunction(X=>x0*3.415182 - 2.39359*x2**2/(x1**2 + 1) - 1.3566179)
13,0.0017940025,"((x0 * 3.4153547) + -1.5088968) - square(square(aq(x2, x1) - -0.28871322))",0.5221058378605012,x0*3.4153547 - (x2/sqrt(x1**2 + 1) - 1*(-0.28871322))**4 - 1.5088968,PySRFunction(X=>x0*3.4153547 - (x2/sqrt(x1**2 + 1) - 1*(-0.28871322))**4 - 1.5088968)
14,0.0013843414,"(x0 * 3.415228) + (-1.6764419 - square((aq(x2, x1) * 2.2388527) + -0.6785473))",0.259224654093176,x0*3.415228 - ((x2/sqrt(x1**2 + 1))*2.2388527 - 0.6785473)**2 - 1.6764419,PySRFunction(X=>x0*3.415228 - ((x2/sqrt(x1**2 + 1))*2.2388527 - 0.6785473)**2 - 1.6764419)
15,0.0012355034,"(x0 * 3.415207) + (-1.6940721 - square((aq(x2, x1) + -0.30381924) * exp(x2)))",0.11374600471141992,x0*3.415207 - (x2/sqrt(x1**2 + 1) - 0.30381924)**2*exp(2*x2) - 1.6940721,PySRFunction(X=>x0*3.415207 - (x2/sqrt(x1**2 + 1) - 0.30381924)**2*exp(2*x2) - 1.6940721)
16,0.0010958138,"(x0 * 3.4166715) - (square(exp(square(aq(x2, 0.07204956 - x1) - 0.27527755))) * 1.6703963)",0.11998121478319246,x0*3.4166715 - 1.6703963*exp(2*(x2/sqrt((0.07204956 - x1)**2 + 1) - 1*0.27527755)**2),PySRFunction(X=>x0*3.4166715 - 1.6703963*exp(2*(x2/sqrt((0.07204956 - x1)**2 + 1) - 1*0.27527755)**2))
17,0.00091129256,"1.6307589 * ((x0 * 2.0948932) - exp(square(square(aq((-0.068271816 * exp(x1)) - x2, x1)))))",0.18438857525631874,1.6307589*(x0*2.0948932 - exp((-x2 - 0.068271816*exp(x1))**4/(x1**2 + 1)**2)),PySRFunction(X=>1.6307589*(x0*2.0948932 - exp((-x2 - 0.068271816*exp(x1))**4/(x1**2 + 1)**2)))
19,0.00091128587,"((x0 * 2.0948932) - exp(square(square(aq(x2 - (exp(x1) * -0.068271816), x1 * -1.0002916))))) * 1.6307589",3.670623930365478e-06,(x0*2.0948932 - exp((x2 - (-0.068271816)*exp(x1))**4/(1.00058328503056*x1**2 + 1)**2))*1.6307589,PySRFunction(X=>(x0*2.0948932 - exp((x2 - (-0.068271816)*exp(x1))**4/(1.00058328503056*x1**2 + 1)**2))*1.6307589)
