Complexity,Loss,Equation,score,sympy_format,lambda_format
1,19.380564,-3.803436,0.0,-3.80343600000000,PySRFunction(X=>-3.80343600000000)
3,10.6995125,x2 * -7.607266,0.2970362642620341,x2*(-7.607266),PySRFunction(X=>x2*(-7.607266))
4,6.6143117,square(x2) * -11.187392,0.4809624389274151,x2**2*(-11.187392),PySRFunction(X=>x2**2*(-11.187392))
5,4.912144,7.6074853 - (x2 * 19.018675),0.2975252343788106,7.6074853 - 19.018675*x2,PySRFunction(X=>7.6074853 - 19.018675*x2)
6,4.2275977,"square(aq(x2, x0)) * -14.557241",0.15007659426704384,(x2**2/(x0**2 + 1))*(-14.557241),PySRFunction(X=>(x2**2/(x0**2 + 1))*(-14.557241))
7,2.3338473,"-58.55134 - aq(-62.206932, aq(x2, x0))",0.5941158045494193,-58.55134 - (-1)*62.206932/sqrt(x2**2/(x0**2 + 1) + 1),PySRFunction(X=>-58.55134 - (-1)*62.206932/sqrt(x2**2/(x0**2 + 1) + 1))
8,2.2423701,"(square(aq(x2, x0)) * -20.381466) - -2.593376",0.03998472070797631,(x2**2/(x0**2 + 1))*(-20.381466) - 1*(-2.593376),PySRFunction(X=>(x2**2/(x0**2 + 1))*(-20.381466) - 1*(-2.593376))
9,1.9337199,"aq(aq(65.75493, aq(x2, x0)) + -61.885395, x1)",0.14808782967847578,(-61.885395 + 65.75493/sqrt(x2**2/(x0**2 + 1) + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(-61.885395 + 65.75493/sqrt(x2**2/(x0**2 + 1) + 1))/sqrt(x1**2 + 1))
10,1.5532792,"-61.08603 - aq(-64.72125, aq(aq(x2, x0), square(x1)))",0.21907724809636453,-61.08603 - (-1)*64.72125/sqrt(x2**2/((x0**2 + 1)*(x1**4 + 1)) + 1),PySRFunction(X=>-61.08603 - (-1)*64.72125/sqrt(x2**2/((x0**2 + 1)*(x1**4 + 1)) + 1))
11,1.4216115,"2.5939088 - square(aq(x2, square(x1)) * aq(-4.631479, x0))",0.0885772217745382,2.5939088 - 21.450597727441*x2**2/((x0**2 + 1)*(x1**4 + 1)),PySRFunction(X=>2.5939088 - 21.450597727441*x2**2/((x0**2 + 1)*(x1**4 + 1)))
12,1.290469,"2.6722825 - square(aq(aq(x2, square(square(x1))) * -4.6068845, x0))",0.09678536911124155,2.6722825 - 21.2233847963402*x2**2/((x0**2 + 1)*(x1**8 + 1)),PySRFunction(X=>2.6722825 - 21.2233847963402*x2**2/((x0**2 + 1)*(x1**8 + 1)))
13,1.2749346,"2.6557646 - square(aq(x2, x0) * aq(-4.61842, x1 * square(x1)))",0.01211083501383518,2.6557646 - 21.3298032964*x2**2/((x0**2 + 1)*(x1**6 + 1)),PySRFunction(X=>2.6557646 - 21.3298032964*x2**2/((x0**2 + 1)*(x1**6 + 1)))
14,0.96826,"aq(9.450323 - (aq(x2, x0) * 26.464798), square((x1 - 0.3522572) * -2.7423677))",0.2751495159065821,(9.450323 - 26.464798*x2/sqrt(x0**2 + 1))/sqrt(56.5591325912282*(x1 - 1*0.3522572)**4 + 1),PySRFunction(X=>(9.450323 - 26.464798*x2/sqrt(x0**2 + 1))/sqrt(56.5591325912282*(x1 - 1*0.3522572)**4 + 1))
