Complexity,Loss,Equation,score,sympy_format,lambda_format
1,15.76141,-3.3740704,0.0,-3.37407040000000,PySRFunction(X=>-3.37407040000000)
3,8.932042,x2 * -6.7474213,0.2839597556358309,x2*(-6.7474213),PySRFunction(X=>x2*(-6.7474213))
4,4.856036,log(0.8008325 - x2),0.6094225689224353,log(0.8008325 - x2),PySRFunction(X=>log(0.8008325 - x2))
5,4.37913,(x2 * -16.868952) + 6.7475843,0.10337239271698798,6.7475843 + x2*(-16.868952),PySRFunction(X=>6.7475843 + x2*(-16.868952))
7,3.5198417,"aq(7.9132566, x0) + (x2 * -17.202566)",0.10921702875697287,x2*(-17.202566) + 7.9132566/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-17.202566) + 7.9132566/sqrt(x0**2 + 1))
9,3.3153508,"aq(aq(8.34032, x0) + (x2 * -18.133509), x1)",0.02992628847382872,(x2*(-18.133509) + 8.34032/sqrt(x0**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-18.133509) + 8.34032/sqrt(x0**2 + 1))/sqrt(x1**2 + 1))
10,3.195413,"(aq(x2, square(x1)) * -17.565092) - aq(-7.8347473, x0)",0.03684709610887795,(x2/sqrt(x1**4 + 1))*(-17.565092) - (-1)*7.8347473/sqrt(x0**2 + 1),PySRFunction(X=>(x2/sqrt(x1**4 + 1))*(-17.565092) - (-1)*7.8347473/sqrt(x0**2 + 1))
11,2.283169,"aq((x2 - 0.40001434) * -26.553608, (x1 - 0.2789811) * -6.0551543)",0.33615195373822704,-26.553608*(x2 - 1*0.40001434)/sqrt(36.6648935968085*(x1 - 1*0.2789811)**2 + 1),PySRFunction(X=>-26.553608*(x2 - 1*0.40001434)/sqrt(36.6648935968085*(x1 - 1*0.2789811)**2 + 1))
13,1.4626857,"aq(aq(12.193084, x0) + (x2 * -26.613058), (0.280256 - x1) * 5.869936)",0.2226450618953974,(x2*(-26.613058) + 12.193084/sqrt(x0**2 + 1))/sqrt(34.456148644096*(0.280256 - x1)**2 + 1),PySRFunction(X=>(x2*(-26.613058) + 12.193084/sqrt(x0**2 + 1))/sqrt(34.456148644096*(0.280256 - x1)**2 + 1))
15,1.2800221,"aq(aq(12.406516, x0) + (x2 * -27.077631), (0.2530415 - aq(x1, x1)) * 7.0395856)",0.06669846150740531,(x2*(-27.077631) + 12.406516/sqrt(x0**2 + 1))/sqrt(49.5557654197274*(0.2530415 - x1/sqrt(x1**2 + 1))**2 + 1),PySRFunction(X=>(x2*(-27.077631) + 12.406516/sqrt(x0**2 + 1))/sqrt(49.5557654197274*(0.2530415 - x1/sqrt(x1**2 + 1))**2 + 1))
16,1.0922294,"aq(exp(x1), (x1 - 0.21328954) * 7.047578) * (aq(10.001977, x0) + (x2 * -21.838587))",0.15865641488698778,(exp(x1)/sqrt(49.668355666084*(x1 - 1*0.21328954)**2 + 1))*(x2*(-21.838587) + 10.001977/sqrt(x0**2 + 1)),PySRFunction(X=>(exp(x1)/sqrt(49.668355666084*(x1 - 1*0.21328954)**2 + 1))*(x2*(-21.838587) + 10.001977/sqrt(x0**2 + 1)))
18,0.9759038,"aq(exp(x1), 1.4392344 - (x1 * 6.832082)) * ((x2 * -20.687618) + aq(10.75086, x0 + 0.38221377))",0.05630609576060466,(exp(x1)/sqrt((1.4392344 - 6.832082*x1)**2 + 1))*(x2*(-20.687618) + 10.75086/sqrt((x0 + 0.38221377)**2 + 1)),PySRFunction(X=>(exp(x1)/sqrt((1.4392344 - 6.832082*x1)**2 + 1))*(x2*(-20.687618) + 10.75086/sqrt((x0 + 0.38221377)**2 + 1)))
20,0.8967153,"(((x2 - 0.37011543) * (aq(exp(x1), (0.21227433 - x1) * 6.732481) * -21.16548)) - (x0 * 3.401799)) + 2.2525923",0.04231279780312429,-3.401799*x0 + (x2 - 1*0.37011543)*(exp(x1)/sqrt(45.326300415361*(0.21227433 - x1)**2 + 1))*(-21.16548) + 2.2525923,PySRFunction(X=>-3.401799*x0 + (x2 - 1*0.37011543)*(exp(x1)/sqrt(45.326300415361*(0.21227433 - x1)**2 + 1))*(-21.16548) + 2.2525923)
21,0.8596089,"aq(((x2 - 0.48064977) * aq(-25.07963, aq(1.4158691, x1 * 64.648865))) - (x0 * 4.0467644), 4.1763744 * (0.26314855 - x1))",0.042260902007549506,(-4.0467644*x0 + (-25.07963/sqrt(1 + 2.00468530833481/(4179.47574578823*x1**2 + 1)))*(x2 - 1*0.48064977))/sqrt(17.4421031289754*(0.26314855 - x1)**2 + 1),PySRFunction(X=>(-4.0467644*x0 + (-25.07963/sqrt(1 + 2.00468530833481/(4179.47574578823*x1**2 + 1)))*(x2 - 1*0.48064977))/sqrt(17.4421031289754*(0.26314855 - x1)**2 + 1))
22,0.62078255,"aq(aq((x2 - 0.48064977) * -25.07963, exp(1.4158691 - (x1 * 64.648865))) - (x0 * 4.0467644), (0.26314855 - x1) * 4.1763744)",0.3254966587854243,(-4.0467644*x0 - 25.07963*(x2 - 1*0.48064977)/sqrt(1 + 16.9749410383776*exp(-129.29773*x1)))/sqrt(17.4421031289754*(0.26314855 - x1)**2 + 1),PySRFunction(X=>(-4.0467644*x0 - 25.07963*(x2 - 1*0.48064977)/sqrt(1 + 16.9749410383776*exp(-129.29773*x1)))/sqrt(17.4421031289754*(0.26314855 - x1)**2 + 1))
23,0.5513015,"aq(((x2 - 0.4815356) * aq(-25.174488, exp(1.3535808 - square(x1 * 51.201965)))) - (x0 * 3.971438), (0.26549378 - x1) * 4.316752)",0.1186990131486108,(-3.971438*x0 + (-25.174488/sqrt(1 + 14.9866769038025*exp(-5243.28243972245*x1**2)))*(x2 - 1*0.4815356))/sqrt(18.634347829504*(0.26549378 - x1)**2 + 1),PySRFunction(X=>(-3.971438*x0 + (-25.174488/sqrt(1 + 14.9866769038025*exp(-5243.28243972245*x1**2)))*(x2 - 1*0.4815356))/sqrt(18.634347829504*(0.26549378 - x1)**2 + 1))
24,0.4944124,"(aq(x2 - 0.41059494, exp((0.020775883 - x1) * 65.01362)) * aq(-25.276035, (x1 - 0.26119602) * 4.442678)) + (1.4915465 - (x0 * 3.3964891))",0.10891185969847428,-3.3964891*x0 + ((x2 - 1*0.41059494)/sqrt(1 + 14.9010357663112*exp(-130.02724*x1)))*(-25.276035/sqrt(19.737387811684*(x1 - 1*0.26119602)**2 + 1)) + 1.4915465,PySRFunction(X=>-3.3964891*x0 + ((x2 - 1*0.41059494)/sqrt(1 + 14.9010357663112*exp(-130.02724*x1)))*(-25.276035/sqrt(19.737387811684*(x1 - 1*0.26119602)**2 + 1)) + 1.4915465)
25,0.44116247,"(aq(aq(-25.393034 * (x2 - 0.41128674), exp(1.1005014 - square(x1 * -49.50336))), (x1 - 0.26219046) * -4.5175138) - (x0 * 3.3999264)) + 1.4836009",0.11395676643714539,-3.3999264*x0 + 1.4836009 - 25.393034*(x2 - 1*0.41128674)/(sqrt(1 + 9.03406832230074*exp(-4901.1653025792*x1**2))*sqrt(20.4079309331904*(x1 - 1*0.26219046)**2 + 1)),PySRFunction(X=>-3.3999264*x0 + 1.4836009 - 25.393034*(x2 - 1*0.41128674)/(sqrt(1 + 9.03406832230074*exp(-4901.1653025792*x1**2))*sqrt(20.4079309331904*(x1 - 1*0.26219046)**2 + 1)))
26,0.42262813,"(1.5219176 - (x0 * 3.3977153)) + (aq(aq(x2 - 0.4092395, (0.262503 - x1) * -4.4971695), exp(0.89571536 - square(square(x1 * 43.656948)))) * -25.352703)",0.04292055320446677,-3.3977153*x0 + ((x2 - 1*0.4092395)/(sqrt(1 + 5.99802782882431*exp(-7265131.5345871*x1**4))*sqrt(20.2245335117303*(0.262503 - x1)**2 + 1)))*(-25.352703) + 1.5219176,PySRFunction(X=>-3.3977153*x0 + ((x2 - 1*0.4092395)/(sqrt(1 + 5.99802782882431*exp(-7265131.5345871*x1**4))*sqrt(20.2245335117303*(0.262503 - x1)**2 + 1)))*(-25.352703) + 1.5219176)
27,0.38540596,"aq((x2 - 0.41059107) * aq(-25.357525, exp(1.0778387 - square(x1 * 48.534485))), (x1 - 0.2620866) * -4.497333) + (1.8043729 - (aq(x0, x0) * 4.862955))",0.09219544678028752,-4.862955*x0/sqrt(x0**2 + 1) + 1.8043729 - 25.357525*(x2 - 1*0.41059107)/(sqrt(1 + 8.63373669176631*exp(-4711.19246843045*x1**2))*sqrt(20.226004112889*(x1 - 1*0.2620866)**2 + 1)),PySRFunction(X=>-4.862955*x0/sqrt(x0**2 + 1) + 1.8043729 - 25.357525*(x2 - 1*0.41059107)/(sqrt(1 + 8.63373669176631*exp(-4711.19246843045*x1**2))*sqrt(20.226004112889*(x1 - 1*0.2620866)**2 + 1)))
28,0.36801136,"((aq(-25.377438, (x1 - 0.26256004) * -4.5361676) * aq(x2 - 0.41034186, exp(0.9341411 - square(square(x1 * 45.294773))))) + 1.8056039) - aq(x0 * 4.8608117, x0)",0.04618341305551632,-4.8608117*x0/sqrt(x0**2 + 1) + ((x2 - 1*0.41034186)/sqrt(1 + 6.47716037120492*exp(-8418260.20708965*x1**4)))*(-25.377438/sqrt(20.5768164952898*(x1 - 1*0.26256004)**2 + 1)) + 1.8056039,PySRFunction(X=>-4.8608117*x0/sqrt(x0**2 + 1) + ((x2 - 1*0.41034186)/sqrt(1 + 6.47716037120492*exp(-8418260.20708965*x1**4)))*(-25.377438/sqrt(20.5768164952898*(x1 - 1*0.26256004)**2 + 1)) + 1.8056039)
30,0.35106146,"aq((x2 - 0.4101282) * aq(-25.34759, (0.26237568 - x1) * 4.499158), exp(0.9114552 - square(square(x1 * -43.91902)))) + aq(1.9926295 - (aq(x0, x0) * 5.660298), x0)",0.02357624970244674,(1.9926295 - 5.660298*x0/sqrt(x0**2 + 1))/sqrt(x0**2 + 1) - 25.34759*(x2 - 1*0.4101282)/(sqrt(1 + 6.18984719123482*exp(-7441158.56048692*x1**4))*sqrt(20.242422708964*(0.26237568 - x1)**2 + 1)),PySRFunction(X=>(1.9926295 - 5.660298*x0/sqrt(x0**2 + 1))/sqrt(x0**2 + 1) - 25.34759*(x2 - 1*0.4101282)/(sqrt(1 + 6.18984719123482*exp(-7441158.56048692*x1**4))*sqrt(20.242422708964*(0.26237568 - x1)**2 + 1)))
32,0.34644622,"aq(aq((x2 - 0.40921387) * -25.263329, (0.2622465 - x1) * 4.673335), exp(0.9071839 - square(square(x1 * -43.922024)))) + (1.980225 - ((5.719962 - x0) * aq(x0, aq(x0, x2))))",0.006616855252125338,-x0/sqrt(x0**2/(x2**2 + 1) + 1)*(5.719962 - x0) + 1.980225 - 25.263329*(x2 - 1*0.40921387)/(sqrt(1 + 6.13719501604994*exp(-7443194.62903455*x1**4))*sqrt(21.840060022225*(0.2622465 - x1)**2 + 1)),PySRFunction(X=>-x0/sqrt(x0**2/(x2**2 + 1) + 1)*(5.719962 - x0) + 1.980225 - 25.263329*(x2 - 1*0.40921387)/(sqrt(1 + 6.13719501604994*exp(-7443194.62903455*x1**4))*sqrt(21.840060022225*(0.2622465 - x1)**2 + 1)))
33,0.32779548,"aq(aq(aq((exp(x1) * -21.232998) * (x2 - 0.40219262), (x1 - 0.20369627) * -5.2438), exp(0.72913665 - square(square(x1 * 44.619423)))) + (2.067946 - aq(x0 * 5.1127434, x0)), x1)",0.0553377200295555,(-5.1127434*x0/sqrt(x0**2 + 1) + 2.067946 - 21.232998*(x2 - 1*0.40219262)*exp(x1)/(sqrt(1 + 4.29853084342845*exp(-7927309.14904175*x1**4))*sqrt(27.49743844*(x1 - 1*0.20369627)**2 + 1)))/sqrt(x1**2 + 1),PySRFunction(X=>(-5.1127434*x0/sqrt(x0**2 + 1) + 2.067946 - 21.232998*(x2 - 1*0.40219262)*exp(x1)/(sqrt(1 + 4.29853084342845*exp(-7927309.14904175*x1**4))*sqrt(27.49743844*(x1 - 1*0.20369627)**2 + 1)))/sqrt(x1**2 + 1))
34,0.32430476,"aq(aq(aq((exp(x1) * (x2 - 0.40305054)) * -20.925634, (0.19442281 - x1) * 5.493356), exp(0.7296822 - square(square(x1 * 45.482388)))) + (2.0032978 - (aq(x0, x0) * 4.996212)), square(x1))",0.0107061863459392,(-4.996212*x0/sqrt(x0**2 + 1) + 2.0032978 - 20.925634*(x2 - 1*0.40305054)*exp(x1)/(sqrt(1 + 4.30322353006135*exp(-8558605.93642463*x1**4))*sqrt(30.176960142736*(0.19442281 - x1)**2 + 1)))/sqrt(x1**4 + 1),PySRFunction(X=>(-4.996212*x0/sqrt(x0**2 + 1) + 2.0032978 - 20.925634*(x2 - 1*0.40305054)*exp(x1)/(sqrt(1 + 4.30322353006135*exp(-8558605.93642463*x1**4))*sqrt(30.176960142736*(0.19442281 - x1)**2 + 1)))/sqrt(x1**4 + 1))
35,0.31594652,"aq(2.1339715 - (x0 * aq(5.54823, x0)), x0) + ((x2 - 0.40173948) * (aq(-20.996595, exp(0.7220513 - square(square(45.433773 * x1)))) * aq(exp(aq(x1, x1)), (0.19660302 - x1) * 5.455078)))",0.02611073221526165,(exp(x1/sqrt(x1**2 + 1))/sqrt(29.757875986084*(0.19660302 - x1)**2 + 1))*(-20.996595/sqrt(1 + 4.23804721223517*exp(-8522072.23447322*x1**4)))*(x2 - 1*0.40173948) + (2.1339715 - x0*5.54823/sqrt(x0**2 + 1))/sqrt(x0**2 + 1),PySRFunction(X=>(exp(x1/sqrt(x1**2 + 1))/sqrt(29.757875986084*(0.19660302 - x1)**2 + 1))*(-20.996595/sqrt(1 + 4.23804721223517*exp(-8522072.23447322*x1**4)))*(x2 - 1*0.40173948) + (2.1339715 - x0*5.54823/sqrt(x0**2 + 1))/sqrt(x0**2 + 1))
