Complexity,Loss,Equation,score,sympy_format,lambda_format
1,2.6287842,-0.7484654,0.0,-0.748465400000000,PySRFunction(X=>-0.748465400000000)
3,2.2927861,x2 * -1.4967084,0.06837687115943489,x2*(-1.4967084),PySRFunction(X=>x2*(-1.4967084))
4,2.1346693,square(x2) * -2.2009995,0.07145597554741304,x2**2*(-2.2009995),PySRFunction(X=>x2**2*(-2.2009995))
5,2.031565,log(x1 - log(x2)),0.049505308073790735,log(x1 - log(x2)),PySRFunction(X=>log(x1 - log(x2)))
6,1.8706294,square(x1 - x2) * -3.584879,0.08253148021871602,(x1 - x2)**2*(-3.584879),PySRFunction(X=>(x1 - x2)**2*(-3.584879))
7,1.8027108,log((x0 * x1) - log(x2)),0.03698341975569977,log(x0*x1 - log(x2)),PySRFunction(X=>log(x0*x1 - log(x2)))
8,1.6654872,((x1 * x0) - square(x2)) * 3.0527492,0.07917383877908989,(x0*x1 - x2**2)*3.0527492,PySRFunction(X=>(x0*x1 - x2**2)*3.0527492)
9,1.4984698,"x2 * aq(-4.9525876, 3.659563 - (x1 * 44.625385))",0.10567323915762235,x2*(-4.9525876/sqrt((3.659563 - 44.625385*x1)**2 + 1)),PySRFunction(X=>x2*(-4.9525876/sqrt((3.659563 - 44.625385*x1)**2 + 1)))
10,1.418595,"x1 * (square(aq(x2, x1 * 16.753551)) * -160.14137)",0.054777508906758546,x1*(x2**2/(280.681471109601*x1**2 + 1))*(-160.14137),PySRFunction(X=>x1*(x2**2/(280.681471109601*x1**2 + 1))*(-160.14137))
11,1.1709131,"(x1 * square(square(aq(x2, x1 * -8.341935)))) * -236.4344",0.19188307339289906,x1*(x2**4/(69.587879544225*x1**2 + 1)**2)*(-236.4344),PySRFunction(X=>x1*(x2**4/(69.587879544225*x1**2 + 1)**2)*(-236.4344))
12,1.1115763,"(square(square(aq(x2, square(x1 * -7.8998566)))) * x1) * -185.60962",0.05200477374502244,(x2**4/(3894.72530052974*x1**4 + 1)**2)*x1*(-185.60962),PySRFunction(X=>(x2**4/(3894.72530052974*x1**4 + 1)**2)*x1*(-185.60962))
13,1.0615706,"aq(square(square(x2)), square(square(x1 * -11.241455))) * (x1 * -176.87178)",0.04602958843434474,(x2**4/sqrt(255023505.139219*x1**8 + 1))*x1*(-176.87178),PySRFunction(X=>(x2**4/sqrt(255023505.139219*x1**8 + 1))*x1*(-176.87178))
14,1.0080895,"((0.39993376 - x2) * x1) * aq(207.06894, square(x1 * 19.76346) - 1.6326854)",0.05169255421550555,x1*(0.39993376 - x2)*(207.06894/sqrt((390.5943511716*x1**2 - 1*1.6326854)**2 + 1)),PySRFunction(X=>x1*(0.39993376 - x2)*(207.06894/sqrt((390.5943511716*x1**2 - 1*1.6326854)**2 + 1)))
16,0.9171055,"x1 * (x0 + aq((0.3932264 - x2) * 204.62502, square(x1 * 19.220873) - 1.5229809))",0.047294859830195504,x1*(x0 + 204.62502*(0.3932264 - x2)/sqrt((369.441958882129*x1**2 - 1*1.5229809)**2 + 1)),PySRFunction(X=>x1*(x0 + 204.62502*(0.3932264 - x2)/sqrt((369.441958882129*x1**2 - 1*1.5229809)**2 + 1)))
17,0.90221006,"x1 * (((0.39497793 - x2) * aq(204.63062, square(x1 * 19.361105) - 1.5533837)) + square(x0))",0.01637513927881435,x1*(x0**2 + (0.39497793 - x2)*(204.63062/sqrt((374.852386821025*x1**2 - 1*1.5533837)**2 + 1))),PySRFunction(X=>x1*(x0**2 + (0.39497793 - x2)*(204.63062/sqrt((374.852386821025*x1**2 - 1*1.5533837)**2 + 1))))
18,0.88899213,"aq(((0.54084814 - x0) - ((x1 * x2) * 26.81049)) * 4.3744354, square(x1 * 16.253582)) + x0",0.014758992601777713,x0 + 4.3744354*(-x0 - 26.81049*x1*x2 + 0.54084814)/sqrt(69790.5059097909*x1**4 + 1),PySRFunction(X=>x0 + 4.3744354*(-x0 - 26.81049*x1*x2 + 0.54084814)/sqrt(69790.5059097909*x1**4 + 1))
19,0.65816516,"x0 + (((0.4873856 - x0) - ((square(x2) * 35.30608) * x1)) * aq(4.3105745, square(x1 * 15.783203)))",0.3006324799624618,x0 + (4.3105745/sqrt(62055.5414653058*x1**4 + 1))*(-x0 - 35.30608*x1*x2**2 + 0.4873856),PySRFunction(X=>x0 + (4.3105745/sqrt(62055.5414653058*x1**4 + 1))*(-x0 - 35.30608*x1*x2**2 + 0.4873856))
20,0.6406254,"square(x0) + (aq((0.5242745 - x0) - ((x1 * square(x2)) * 35.067593), square(x1 * -16.272797)) * 4.34686)",0.027011016152016266,x0**2 + ((-x0 - 35.067593*x1*x2**2 + 0.5242745)/sqrt(70121.1172142032*x1**4 + 1))*4.34686,PySRFunction(X=>x0**2 + ((-x0 - 35.067593*x1*x2**2 + 0.5242745)/sqrt(70121.1172142032*x1**4 + 1))*4.34686)
21,0.58013743,"aq((2.1633563 - (x0 * 5.3643775)) - ((x1 * square(x2)) * 154.23491), square(x1 * -14.527742)) + (x0 + x0)",0.09917986296830403,x0 + x0 + (-5.3643775*x0 - 154.23491*x1*x2**2 + 2.1633563)/sqrt(44544.3344317548*x1**4 + 1),PySRFunction(X=>x0 + x0 + (-5.3643775*x0 - 154.23491*x1*x2**2 + 2.1633563)/sqrt(44544.3344317548*x1**4 + 1))
22,0.5121011,"(x0 + aq((2.3550847 - (x0 * 5.4258356)) - ((x1 * 154.69177) * square(x2)), square(x1 * -14.95362))) + square(x0)",0.1247429572643551,x0**2 + x0 + (-5.4258356*x0 - 154.69177*x1*x2**2 + 2.3550847)/sqrt(50001.7680094739*x1**4 + 1),PySRFunction(X=>x0**2 + x0 + (-5.4258356*x0 - 154.69177*x1*x2**2 + 2.3550847)/sqrt(50001.7680094739*x1**4 + 1))
23,0.36700794,"(x0 + (aq(((0.49426955 - x0) * 2.0651286) - ((square(x2) * 41.426197) * x1), square(x1 * 15.422634)) - 0.370371)) * 3.545636",0.33313858378623895,(x0 - 1*0.370371 + (-41.426197*x1*x2**2 + (0.49426955 - x0)*2.0651286)/sqrt(56576.2566675396*x1**4 + 1))*3.545636,PySRFunction(X=>(x0 - 1*0.370371 + (-41.426197*x1*x2**2 + (0.49426955 - x0)*2.0651286)/sqrt(56576.2566675396*x1**4 + 1))*3.545636)
24,0.29046407,"((x0 + aq((1.168252 - (x0 * 1.9965692)) - (38.365307 * (x1 * square(x2))), square(square(x1 * 12.105013)))) - 0.5353635) * 3.3933616",0.2339035973600157,(x0 - 1*0.5353635 + (-1.9965692*x0 - 38.365307*x1*x2**2 + 1.168252)/sqrt(461022457.537684*x1**8 + 1))*3.3933616,PySRFunction(X=>(x0 - 1*0.5353635 + (-1.9965692*x0 - 38.365307*x1*x2**2 + 1.168252)/sqrt(461022457.537684*x1**8 + 1))*3.3933616)
26,0.22270095,"((aq((1.0993419 - (x0 * 1.9688437)) - (((x2 * x1) * square(x2)) * 45.400597), square(square(x1 * 11.94922))) - 0.542073) + x0) * 3.4613738",0.132825022627608,(x0 - 1*0.542073 + (-1.9688437*x0 - 45.400597*x1*x2*x2**2 + 1.0993419)/sqrt(415639158.453197*x1**8 + 1))*3.4613738,PySRFunction(X=>(x0 - 1*0.542073 + (-1.9688437*x0 - 45.400597*x1*x2*x2**2 + 1.0993419)/sqrt(415639158.453197*x1**8 + 1))*3.4613738)
27,0.15360504,"(aq((3.7022474 - (x0 * 7.2799845)) - ((x1 * 193.69736) * square(square(x2))), square(x2 - (x1 * 22.097258))) + -3.113216) + square(x0 + 1.2582722)",0.37144520740743864,(x0 + 1.2582722)**2 - 3.113216 + (-7.2799845*x0 - 193.69736*x1*x2**4 + 3.7022474)/sqrt((-22.097258*x1 + x2)**4 + 1),PySRFunction(X=>(x0 + 1.2582722)**2 - 3.113216 + (-7.2799845*x0 - 193.69736*x1*x2**4 + 3.7022474)/sqrt((-22.097258*x1 + x2)**4 + 1))
29,0.11851491,"square(x0 + 1.2426947) + (aq((3.8117154 - (x0 * 7.47641)) - ((x1 * 194.48907) * square(square(x2))), 0.56940436 - square((x1 * 24.454231) - x2)) + -3.1125429)",0.12967292861514004,(x0 + 1.2426947)**2 - 3.1125429 + (-7.47641*x0 - 194.48907*x1*x2**4 + 3.8117154)/sqrt((0.56940436 - (x1*24.454231 - x2)**2)**2 + 1),PySRFunction(X=>(x0 + 1.2426947)**2 - 3.1125429 + (-7.47641*x0 - 194.48907*x1*x2**4 + 3.8117154)/sqrt((0.56940436 - (x1*24.454231 - x2)**2)**2 + 1))
30,0.11676421,"square(x0 + 1.2173911) + (aq((3.7174008 - (x0 * 7.3318315)) - (square(square(x2)) * (x1 * 194.47319)), square(x2) - square(x2 - (x1 * 24.603449))) + -3.0237238)",0.014882173240301935,(x0 + 1.2173911)**2 - 3.0237238 + (-7.3318315*x0 - 194.47319*x1*x2**4 + 3.7174008)/sqrt((x2**2 - (-24.603449*x1 + x2)**2)**2 + 1),PySRFunction(X=>(x0 + 1.2173911)**2 - 3.0237238 + (-7.3318315*x0 - 194.47319*x1*x2**4 + 3.7174008)/sqrt((x2**2 - (-24.603449*x1 + x2)**2)**2 + 1))
31,0.10841701,"square(x0 + 1.2146869) + (aq((3.7452877 - (x0 * 7.3677564)) - (square(square(x2)) * (x1 * 194.48247)), aq(x2, x0) - square((x1 * 24.699339) - x2)) + -3.0146093)",0.07417160669040744,(x0 + 1.2146869)**2 - 3.0146093 + (-7.3677564*x0 - 194.48247*x1*x2**4 + 3.7452877)/sqrt((x2/sqrt(x0**2 + 1) - (x1*24.699339 - x2)**2)**2 + 1),PySRFunction(X=>(x0 + 1.2146869)**2 - 3.0146093 + (-7.3677564*x0 - 194.48247*x1*x2**4 + 3.7452877)/sqrt((x2/sqrt(x0**2 + 1) - (x1*24.699339 - x2)**2)**2 + 1))
