Complexity,Loss,Equation,score,sympy_format,lambda_format
1,0.87462705,x0,0.0,x0,PySRFunction(X=>x0)
2,0.721443,square(x0),0.19254419391087413,x0**2,PySRFunction(X=>x0**2)
3,0.5178297,x0 + -0.5972601,0.33160694928826534,x0 - 0.5972601,PySRFunction(X=>x0 - 0.5972601)
4,0.28200287,exp(x0) + -1.8184836,0.6077291755345396,exp(x0) - 1.8184836,PySRFunction(X=>exp(x0) - 1.8184836)
5,0.014097688,(x0 + -0.5285415) * 3.4099398,2.9959064358831906,(x0 - 0.5285415)*3.4099398,PySRFunction(X=>(x0 - 0.5285415)*3.4099398)
7,0.01091461,(x0 + -0.50310934) * (3.906802 - x0),0.12795427679522345,(3.906802 - x0)*(x0 - 0.50310934),PySRFunction(X=>(3.906802 - x0)*(x0 - 0.50310934))
8,0.010550573,"log(aq(x0 + 1.7658402, 2.043675)) * 7.6436634",0.03392208747425477,7.6436634*log(0.439518723910004*x0 + 0.776119831332985),PySRFunction(X=>7.6436634*log(0.439518723910004*x0 + 0.776119831332985))
9,0.0046255263,"((x0 + aq(0.38667983, x2)) + -0.8590267) * 3.4099312",0.8245900121585281,(x0 - 0.8590267 + 0.38667983/sqrt(x2**2 + 1))*3.4099312,PySRFunction(X=>(x0 - 0.8590267 + 0.38667983/sqrt(x2**2 + 1))*3.4099312)
10,0.004625525,"(aq(1.3409439, square(x2)) + (x0 * 3.4099379)) + -3.0290651",2.8104913870986336e-07,x0*3.4099379 - 3.0290651 + 1.3409439/sqrt(x2**4 + 1),PySRFunction(X=>x0*3.4099379 - 3.0290651 + 1.3409439/sqrt(x2**4 + 1))
11,0.0014123074,"((x0 + aq(0.38624337, x2)) + -0.8332197) * (3.9068832 - x0)",1.186365057276622,(3.9068832 - x0)*(x0 - 0.8332197 + 0.38624337/sqrt(x2**2 + 1)),PySRFunction(X=>(3.9068832 - x0)*(x0 - 0.8332197 + 0.38624337/sqrt(x2**2 + 1)))
12,0.0013853499,"(x0 + (-0.839108 + aq(aq(0.39596593, x2), square(x0)))) * 3.7599928",0.019272077647689047,(x0 - 0.839108 + 0.39596593/(sqrt(x0**4 + 1)*sqrt(x2**2 + 1)))*3.7599928,PySRFunction(X=>(x0 - 0.839108 + 0.39596593/(sqrt(x0**4 + 1)*sqrt(x2**2 + 1)))*3.7599928)
13,0.00057463144,"(3.906888 - x0) * ((aq(0.4163054, aq(x2, x1)) + -0.86340904) + x0)",0.8799791607208514,(3.906888 - x0)*(x0 - 0.86340904 + 0.4163054/sqrt(x2**2/(x1**2 + 1) + 1)),PySRFunction(X=>(3.906888 - x0)*(x0 - 0.86340904 + 0.4163054/sqrt(x2**2/(x1**2 + 1) + 1)))
14,0.00045733218,"((x0 + aq(0.44916338, square(aq(x2, x1)))) + -0.91930974) * (3.9068942 - x0)",0.22831886362405351,(3.9068942 - x0)*(x0 - 0.91930974 + 0.44916338/sqrt(x2**4/(x1**2 + 1)**2 + 1)),PySRFunction(X=>(3.9068942 - x0)*(x0 - 0.91930974 + 0.44916338/sqrt(x2**4/(x1**2 + 1)**2 + 1)))
15,0.0002358296,"(4.953436 - x0) * aq(x0 + (-0.87051195 + aq(0.4175611, aq(x2, x1))), -0.84420615)",0.6623004874133632,(4.953436 - x0)*(0.764119665200446*x0 - 0.665175299786988 + 0.31906664793273/sqrt(x2**2/(x1**2 + 1) + 1)),PySRFunction(X=>(4.953436 - x0)*(0.764119665200446*x0 - 0.665175299786988 + 0.31906664793273/sqrt(x2**2/(x1**2 + 1) + 1)))
16,0.000118255106,"aq(4.948062 - x0, -0.8417639) * ((aq(0.45046136, square(aq(x2, x1))) + -0.9265075) + x0)",0.6902653041914458,(3.78546464173771 - 0.765039856359461*x0)*(x0 - 0.9265075 + 0.45046136/sqrt(x2**4/(x1**2 + 1)**2 + 1)),PySRFunction(X=>(3.78546464173771 - 0.765039856359461*x0)*(x0 - 0.9265075 + 0.45046136/sqrt(x2**4/(x1**2 + 1)**2 + 1)))
17,0.00011259569,"(x0 + (square(aq(-0.4947325, square(aq(x2, x1)))) + -0.7204868)) * aq(5.0019264 - x0, -0.8646206)",0.04904076825787276,(3.78373017170692 - 0.756454587517905*x0)*(x0 - 0.7204868 + 0.24476024655625/(x2**4/(x1**2 + 1)**2 + 1)),PySRFunction(X=>(3.78373017170692 - 0.756454587517905*x0)*(x0 - 0.7204868 + 0.24476024655625/(x2**4/(x1**2 + 1)**2 + 1)))
18,9.333408e-05,"(aq(0.44323316, square(aq(x2, x1 - 0.07046628))) + (-0.9190324 + x0)) * aq(5.000829 - x0, -0.865344)",0.1876181234168297,(3.78154627389649 - 0.756183879492078*x0)*(x0 - 0.9190324 + 0.44323316/sqrt(x2**4/((x1 - 1*0.07046628)**2 + 1)**2 + 1)),PySRFunction(X=>(3.78154627389649 - 0.756183879492078*x0)*(x0 - 0.9190324 + 0.44323316/sqrt(x2**4/((x1 - 1*0.07046628)**2 + 1)**2 + 1)))
20,7.1770824e-05,"aq(((x0 + -1.3745685) + aq(0.89430946, square(square(aq(x2, log(x1 + 0.8732801)))))) * (4.9445744 - x0), 0.8401526)",0.13135363598641098,0.765647319666271*(4.9445744 - x0)*(x0 - 1.3745685 + 0.89430946/sqrt(x2**8/(log(x1 + 0.8732801)**2 + 1)**4 + 1)),PySRFunction(X=>0.765647319666271*(4.9445744 - x0)*(x0 - 1.3745685 + 0.89430946/sqrt(x2**8/(log(x1 + 0.8732801)**2 + 1)**4 + 1)))
22,7.176188e-05,"(4.8997746 - aq(x0, 0.14157814)) * aq(aq(0.8943794, square(square(aq(x2, log(x1 + 0.8732636))))) + (x0 + -1.3746551), 0.82184815)",6.231332485435346e-05,(4.8997746 - 0.990126008103241*x0)*(0.772567239947605*x0 - 1.0620134964869 + 0.690968224523995/sqrt(x2**8/(log(x1 + 0.8732636)**2 + 1)**4 + 1)),PySRFunction(X=>(4.8997746 - 0.990126008103241*x0)*(0.772567239947605*x0 - 1.0620134964869 + 0.690968224523995/sqrt(x2**8/(log(x1 + 0.8732636)**2 + 1)**4 + 1)))
24,6.494023e-05,"(4.883824 - aq(x0, x0 * 0.26979238)) * aq((x0 + -1.3760393) + aq(0.895399, square(square(aq(x2, log(x1 + 0.8739064))))), 0.81792575)",0.04994305372367653,(-x0/sqrt(0.0727879283060644*x0**2 + 1) + 4.883824)*(0.774054432969672*x0 - 1.06512932010549 + 0.693087565226612/sqrt(x2**8/(log(x1 + 0.8739064)**2 + 1)**4 + 1)),PySRFunction(X=>(-x0/sqrt(0.0727879283060644*x0**2 + 1) + 4.883824)*(0.774054432969672*x0 - 1.06512932010549 + 0.693087565226612/sqrt(x2**8/(log(x1 + 0.8739064)**2 + 1)**4 + 1)))
