# param=alphaq z=2.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z2.6/pareto_alphaq.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,13.001362,0.12905296006515649,0.0007755709771285112,48,True,True
19,14.199947,0.13061539753955187,0.0007900417875019092,48,True,True
18,14.470719,0.0609150709316274,0.000752999172788384,48,True,True
17,15.809639,0.050754048676772634,0.0004948006209844254,48,True,True
16,15.809648,0.050754048676772634,0.0004948006209844255,48,True,True
15,18.317787,0.06525633078166143,0.0005216686541170299,48,True,True
14,19.280924,0.06550987852417633,0.0003907927158935442,48,True,True
13,20.327732,0.08329654863592834,0.0004886945777381437,48,True,True
12,20.669222,0.05358561919775223,0.0004762481658324365,48,True,True
11,21.930431,0.06926879383985424,0.0007779535756490319,48,True,True
10,22.223904,0.05358561919775223,0.0007632133209124254,48,True,True
8,26.486868,0.052596270812922785,0.0007371883600990496,48,True,True
7,28.69531,0.111729048230373,0.0007576342480681511,48,True,True
6,34.21894,0.17367866580290447,0.0008324189575569667,48,True,True
5,35.993523,0.15328286524913476,0.0008230568466807344,48,True,True
3,39.151474,0.1997055156577306,0.0008787016260101151,48,True,True
