# param=heref z=2.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z2.6/pareto_heref.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,5.3988013,0.17375683809823927,0.00035480142867200855,48,True,True
18,5.58618,0.21474827735043445,0.0003400862880272143,48,True,True
17,6.11961,0.2408237356623617,0.0003302954343805784,48,True,True
16,6.2310123,0.21391076834230882,0.0006310991329665069,48,True,True
15,6.297551,0.2406444550383624,0.00033123635370082156,48,True,True
13,6.9619894,0.27738814681243196,0.0005606230750025168,48,False,True
12,7.8949666,0.35100632572930773,0.0005500998726683219,48,False,True
11,8.965197,0.27574520074669756,0.0006371092614610393,48,False,True
10,9.9903145,0.18216404385798335,0.0006435992862493098,48,True,True
9,10.920669,0.1447504769446289,0.0006207017004287115,48,True,True
8,12.714594,0.14887008302793714,0.0006049244076146084,48,True,True
7,14.046268,0.16051020943194744,0.0005481058874715205,48,True,True
6,15.141157,0.15755421025862415,0.0005718768753906544,48,True,True
5,15.979726,0.1506559736123711,0.0005432987692532418,48,True,True
4,16.971802,0.14993094174112548,0.0006831885056290817,48,True,True
3,18.156769,0.18075416142014766,0.0012244305746143597,48,True,True
