# param=omegamh2 z=2.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z2.6/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,18.033064,0.11391767586115586,9.324009375654934e-05,48,True,True
19,18.644356,0.11261574724013124,9.004508346960224e-05,48,True,True
18,19.237534,0.16794812041524876,0.00010147274290848428,48,True,True
17,19.384985,0.17755748696792667,9.219942297599199e-05,48,True,True
16,20.169476,0.11644983420372679,7.893980313910078e-05,48,True,True
15,20.475039,0.17849138351232374,6.056201026682889e-05,48,True,True
13,21.497591,0.1767876457635691,5.920729721854742e-05,48,True,True
12,22.671366,0.21082429184102658,8.078620898797953e-05,48,True,True
11,23.09824,0.07618433183038786,8.174878670344274e-05,48,True,True
10,24.658978,0.16479398602133455,8.728297830444949e-05,48,True,True
9,24.857841,0.08142207911341592,8.730270980930752e-05,48,True,True
8,27.52293,0.21962221192151354,0.0001371653183035024,48,True,True
7,27.682957,0.24135376112751383,7.868335403722428e-05,48,True,True
5,39.383743,0.08074532638708115,0.0005445331350088385,48,True,True
4,52.202694,0.3372692297842448,0.0003482092198834666,48,False,True
3,57.687386,0.428398245412126,0.00011483023117016933,48,False,True
2,91.10041,0.6030962828426782,0.0033535621076211633,48,False,True
1,100.012764,0.7897733812312838,0.0025389206376931336,48,False,True
