# param=tau0 z=2.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z2.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.0016229608,0.002358171900077699,1.6807649270384384e-05,48,True,True
19,0.0016641533,0.0023331434477665836,1.699996372828787e-05,48,True,True
18,0.0017631087,0.0024047564035070135,2.2665727378425104e-05,48,True,True
17,0.0022112117,0.0021633571825938613,5.597549331960042e-05,48,True,True
16,0.0024280632,0.0022526931796546523,7.012017647130976e-05,48,True,True
15,0.002541406,0.0024581249579844755,7.679596006659209e-05,48,True,True
14,0.0027799648,0.0021896664749117556,8.067631740618921e-05,48,True,True
12,0.004010832,0.0024581416478953177,0.0001718092128234678,48,True,True
10,0.010698326,0.002182478602708926,0.00039869194342164637,48,True,True
8,0.018078372,0.0024316257720869983,0.0006197621913466828,48,True,True
7,0.07254677,0.0028583459679270007,0.000628130786824827,48,True,True
6,0.07273783,0.002763384548951864,0.0006174607488546909,48,True,True
5,1.3408954,0.11584962422960066,0.0007713005916150981,48,True,True
3,4.506223,0.05958771609582825,0.11206414928698841,48,True,True
2,22.961885,0.35364036762594464,0.13312901815560238,48,False,True
1,31.19617,0.6725434864275814,0.03370512634593227,48,False,True
