Complexity,Loss,Equation,score,sympy_format,lambda_format
1,59.3974,-0.89853203,0.0,-0.898532030000000,PySRFunction(X=>-0.898532030000000)
3,1.5556148,x0 * -3.3147972,1.8211898085493827,x0*(-3.3147972),PySRFunction(X=>x0*(-3.3147972))
5,0.9515998,(x0 + -0.23493592) * -3.3896587,0.24574077399689023,(x0 - 0.23493592)*(-3.3896587),PySRFunction(X=>(x0 - 0.23493592)*(-3.3896587))
6,0.4978332,(x0 * -3.3677773) - log(x2),0.6478794870956717,-3.3677773*x0 - log(x2),PySRFunction(X=>-3.3677773*x0 - log(x2))
7,0.19252534,((x2 + x0) * -3.3980467) + 2.8393984,0.9500372997325981,2.8393984 + (x0 + x2)*(-3.3980467),PySRFunction(X=>2.8393984 + (x0 + x2)*(-3.3980467))
8,0.14667653,(log(x2 + 0.21277438) + x0) * -3.3925445,0.271998095445152,-3.3925445*x0 - 3.3925445*log(x2 + 0.21277438),PySRFunction(X=>-3.3925445*x0 - 3.3925445*log(x2 + 0.21277438))
9,0.1443654,(x0 + (-1.0303396 + (x2 * 1.3256121))) * -3.389472,0.015882100424243924,(x0 + x2*1.3256121 - 1.0303396)*(-3.389472),PySRFunction(X=>(x0 + x2*1.3256121 - 1.0303396)*(-3.389472))
10,0.094827645,"(square(aq(x2, x1)) + (x0 + -0.59848577)) * -3.3970556",0.4202866048848225,(x0 + x2**2/(x1**2 + 1) - 0.59848577)*(-3.3970556),PySRFunction(X=>(x0 + x2**2/(x1**2 + 1) - 0.59848577)*(-3.3970556))
11,0.075746685,"((x0 + -1.0368779) * -3.3894138) - (x2 * aq(4.771442, x1))",0.2246662996183106,-x2*4.771442/sqrt(x1**2 + 1) + (x0 - 1.0368779)*(-3.3894138),PySRFunction(X=>-x2*4.771442/sqrt(x1**2 + 1) + (x0 - 1.0368779)*(-3.3894138))
12,0.065587796,"((x0 + -0.67898583) * -3.389542) - square(aq(x2 * 2.036284, x1))",0.1440050389979146,-4.146452528656*x2**2/(x1**2 + 1) + (x0 - 0.67898583)*(-3.389542),PySRFunction(X=>-4.146452528656*x2**2/(x1**2 + 1) + (x0 - 0.67898583)*(-3.389542))
13,0.05970879,"((x0 + -0.6874155) * -3.3895187) - square(x2 * aq(2.0087113, square(x1)))",0.09391039631644725,-4.03492108674769*x2**2/(x1**4 + 1) + (x0 - 0.6874155)*(-3.3895187),PySRFunction(X=>-4.03492108674769*x2**2/(x1**4 + 1) + (x0 - 0.6874155)*(-3.3895187))
14,0.046772685,"((x0 + -0.5443653) * -3.3893807) - square(square(aq(x2, square(x1))) * -2.311983)",0.2441798670560403,-5.345265392289*x2**4/(x1**4 + 1)**2 + (x0 - 0.5443653)*(-3.3893807),PySRFunction(X=>-5.345265392289*x2**4/(x1**4 + 1)**2 + (x0 - 0.5443653)*(-3.3893807))
15,0.038093228,"((x0 + -0.5443653) * -3.3893807) - square(square(aq(x2, x1 - 0.20244926)) * 2.3239865)",0.20526285513285525,-5.40091325218225*x2**4/((x1 - 1*0.20244926)**2 + 1)**2 + (x0 - 0.5443653)*(-3.3893807),PySRFunction(X=>-5.40091325218225*x2**4/((x1 - 1*0.20244926)**2 + 1)**2 + (x0 - 0.5443653)*(-3.3893807))
16,0.029822413,((x0 + -0.6722058) * -3.3915005) - square(square(1.4537721 - square(x1 - 0.28027004)) * x2),0.24477629864313183,-x2**2*(1.4537721 - (x1 - 1*0.28027004)**2)**4 + (x0 - 0.6722058)*(-3.3915005),PySRFunction(X=>-x2**2*(1.4537721 - (x1 - 1*0.28027004)**2)**4 + (x0 - 0.6722058)*(-3.3915005))
17,0.022314794,"((x0 - 1.1067578) * -3.3894124) - exp(aq(log(x2) + 1.6926854, log(square(x1 + 0.7789151))))",0.290010358329288,-3.3894124*x0 - exp((log(x2) + 1.6926854)/sqrt(log((x1 + 0.7789151)**2)**2 + 1)) + 3.75125861111672,PySRFunction(X=>-3.3894124*x0 - exp((log(x2) + 1.6926854)/sqrt(log((x1 + 0.7789151)**2)**2 + 1)) + 3.75125861111672)
18,0.020442588,"((x0 - 1.1070058) * -3.3894422) - exp(aq(log(x2) + 1.7103629, log((x1 * 2.473715) + 0.5463945)))",0.08762949477798712,-3.3894422*x0 - exp((log(x2) + 1.7103629)/sqrt(log(2.473715*x1 + 0.5463945)**2 + 1)) + 3.75213217416476,PySRFunction(X=>-3.3894422*x0 - exp((log(x2) + 1.7103629)/sqrt(log(2.473715*x1 + 0.5463945)**2 + 1)) + 3.75213217416476)
19,0.017153237,"((x0 - 1.1369696) * -3.389499) - exp(aq(log(x2) + 1.7266451, log((x1 * exp(x2)) + 0.57873344)))",0.175433469644694,-3.389499*x0 - exp((log(x2) + 1.7266451)/sqrt(log(x1*exp(x2) + 0.57873344)**2 + 1)) + 3.8537573222304,PySRFunction(X=>-3.389499*x0 - exp((log(x2) + 1.7266451)/sqrt(log(x1*exp(x2) + 0.57873344)**2 + 1)) + 3.8537573222304)
