Complexity,Loss,Equation,score,sympy_format,lambda_format
1,287.68494,-8.749506,0.0,-8.74950600000000,PySRFunction(X=>-8.74950600000000)
3,241.75203,x2 * -17.499353,0.0869766957954227,x2*(-17.499353),PySRFunction(X=>x2*(-17.499353))
4,220.13655,square(x2) * -25.733946,0.09366449577534336,x2**2*(-25.733946),PySRFunction(X=>x2**2*(-25.733946))
5,188.1113,"aq(-11.927159, x2 - x0)",0.1572142266961676,-11.927159/sqrt((-x0 + x2)**2 + 1),PySRFunction(X=>-11.927159/sqrt((-x0 + x2)**2 + 1))
6,164.33426,"aq(-10.264581, log(x0 + 0.36415583))",0.13513128462716906,-10.264581/sqrt(log(x0 + 0.36415583)**2 + 1),PySRFunction(X=>-10.264581/sqrt(log(x0 + 0.36415583)**2 + 1))
7,139.83253,"aq(-21.220833, x2 - x0) * x2",0.16145703201571177,x2*(-21.220833/sqrt((-x0 + x2)**2 + 1)),PySRFunction(X=>x2*(-21.220833/sqrt((-x0 + x2)**2 + 1)))
8,130.17595,"x2 * aq(-17.890526, log(x0 + 0.38340288))",0.07155849539761545,-17.890526*x2/sqrt(log(x0 + 0.38340288)**2 + 1),PySRFunction(X=>-17.890526*x2/sqrt(log(x0 + 0.38340288)**2 + 1))
9,109.92508,"(x2 * aq(-31.750334, x2 - x0)) - -9.146035",0.16908795405504537,x2*(-31.750334/sqrt((-x0 + x2)**2 + 1)) - 1*(-9.146035),PySRFunction(X=>x2*(-31.750334/sqrt((-x0 + x2)**2 + 1)) - 1*(-9.146035))
11,84.44736,"(aq(x2, 0.55177665 - aq(x0, x2)) * -43.989326) + 16.70002",0.13183533058580746,16.70002 + (x2/sqrt((0.55177665 - x0/sqrt(x2**2 + 1))**2 + 1))*(-43.989326),PySRFunction(X=>16.70002 + (x2/sqrt((0.55177665 - x0/sqrt(x2**2 + 1))**2 + 1))*(-43.989326))
13,74.80495,"aq(aq(x2, 0.55512285 - aq(x0, x2)) * -46.649635, x1) + 16.869383",0.06062216120123674,-46.649635*x2/(sqrt(x1**2 + 1)*sqrt((0.55512285 - x0/sqrt(x2**2 + 1))**2 + 1)) + 16.869383,PySRFunction(X=>-46.649635*x2/(sqrt(x1**2 + 1)*sqrt((0.55512285 - x0/sqrt(x2**2 + 1))**2 + 1)) + 16.869383)
14,72.056946,"aq(aq(x2, aq(x0, x2) - 0.55772054) * -45.880405, square(x1)) + 17.040361",0.03742733618849744,-45.880405*x2/(sqrt(x1**4 + 1)*sqrt((x0/sqrt(x2**2 + 1) - 1*0.55772054)**2 + 1)) + 17.040361,PySRFunction(X=>-45.880405*x2/(sqrt(x1**4 + 1)*sqrt((x0/sqrt(x2**2 + 1) - 1*0.55772054)**2 + 1)) + 17.040361)
15,68.26935,"aq((x2 * aq(-55.428753, 0.4786253 - aq(aq(x0, x2), x2))) + 23.001509, x1)",0.05399581270757414,(x2*(-55.428753/sqrt((0.4786253 - x0/(x2**2 + 1))**2 + 1)) + 23.001509)/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-55.428753/sqrt((0.4786253 - x0/(x2**2 + 1))**2 + 1)) + 23.001509)/sqrt(x1**2 + 1))
16,64.66756,"aq(aq(x2, 0.4773698 - aq(aq(x0, x2), x2)) * -54.168873, square(x1)) + 21.944023",0.0542012256325927,-54.168873*x2/(sqrt(x1**4 + 1)*sqrt((0.4773698 - x0/(x2**2 + 1))**2 + 1)) + 21.944023,PySRFunction(X=>-54.168873*x2/(sqrt(x1**4 + 1)*sqrt((0.4773698 - x0/(x2**2 + 1))**2 + 1)) + 21.944023)
17,61.458473,"aq((x2 * aq(-48.9778, 0.56134546 - aq(x0, x2))) + 18.558006, square(x1 + square(x1)))",0.05089797376702445,(x2*(-48.9778/sqrt((0.56134546 - x0/sqrt(x2**2 + 1))**2 + 1)) + 18.558006)/sqrt((x1**2 + x1)**4 + 1),PySRFunction(X=>(x2*(-48.9778/sqrt((0.56134546 - x0/sqrt(x2**2 + 1))**2 + 1)) + 18.558006)/sqrt((x1**2 + x1)**4 + 1))
18,53.60345,"aq((x2 * aq(-56.447514, 0.55733603 - aq(x0, x2))) + 21.264761, x2 - square(x1 + x1))",0.13674827928874808,(x2*(-56.447514/sqrt((0.55733603 - x0/sqrt(x2**2 + 1))**2 + 1)) + 21.264761)/sqrt((x2 - (x1 + x1)**2)**2 + 1),PySRFunction(X=>(x2*(-56.447514/sqrt((0.55733603 - x0/sqrt(x2**2 + 1))**2 + 1)) + 21.264761)/sqrt((x2 - (x1 + x1)**2)**2 + 1))
19,46.346985,"aq(aq(x2 * -60.20397, aq(x0, x2) - 0.56376046) + 22.669239, x2 - square(square(x1 + x1)))",0.14545719032459073,(-60.20397*x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56376046)**2 + 1) + 22.669239)/sqrt((x2 - (x1 + x1)**4)**2 + 1),PySRFunction(X=>(-60.20397*x2/sqrt((x0/sqrt(x2**2 + 1) - 1*0.56376046)**2 + 1) + 22.669239)/sqrt((x2 - (x1 + x1)**4)**2 + 1))
