Complexity,Loss,Equation,score,sympy_format,lambda_format
1,244.80241,-10.294154,0.0,-10.2941540000000,PySRFunction(X=>-10.2941540000000)
3,181.21953,x2 * -20.588522,0.15037111305156234,x2*(-20.588522),PySRFunction(X=>x2*(-20.588522))
4,151.29817,square(x2) * -30.277111,0.18045664371181439,x2**2*(-30.277111),PySRFunction(X=>x2**2*(-30.277111))
5,138.83093,20.588598 - (x2 * 51.471413),0.0859956636814321,20.588598 - 51.471413*x2,PySRFunction(X=>20.588598 - 51.471413*x2)
7,134.46172,"aq(-20.967262, x2 - x0) * x2",0.015988656498566477,x2*(-20.967262/sqrt((-x0 + x2)**2 + 1)),PySRFunction(X=>x2*(-20.967262/sqrt((-x0 + x2)**2 + 1)))
8,128.18561,"aq(square(x2), x2 - x0) * -28.728626",0.04780025717084785,(x2**2/sqrt((-x0 + x2)**2 + 1))*(-28.728626),PySRFunction(X=>(x2**2/sqrt((-x0 + x2)**2 + 1))*(-28.728626))
9,109.00403,(square(x2) * -30.499956) + exp(x0 * -8.94469),0.16209443767385862,x2**2*(-30.499956) + exp(x0*(-8.94469)),PySRFunction(X=>x2**2*(-30.499956) + exp(x0*(-8.94469)))
10,96.57662,(exp(x0 * -10.157997) + 20.491943) - (x2 * 51.500206),0.1210481710835192,-51.500206*x2 + exp(x0*(-10.157997)) + 20.491943,PySRFunction(X=>-51.500206*x2 + exp(x0*(-10.157997)) + 20.491943)
11,64.93144,"(aq(-14.709086, x0 - x2) + (x2 * -52.24182)) + 34.941277",0.39700473893488747,x2*(-52.24182) + 34.941277 - 14.709086/sqrt((x0 - x2)**2 + 1),PySRFunction(X=>x2*(-52.24182) + 34.941277 - 14.709086/sqrt((x0 - x2)**2 + 1))
13,58.3964,"(aq(-19.729914, aq(x0 - x2, x2)) + (x2 * -52.21132)) + 39.95575",0.05303884995291522,x2*(-52.21132) + 39.95575 - 19.729914/sqrt((x0 - x2)**2/(x2**2 + 1) + 1),PySRFunction(X=>x2*(-52.21132) + 39.95575 - 19.729914/sqrt((x0 - x2)**2/(x2**2 + 1) + 1))
14,56.597054,"(aq(-52.664753, aq(x2 - x0, exp(x2))) + (x2 * -51.53427)) + 72.42015",0.03129730971395367,x2*(-51.53427) + 72.42015 - 52.664753/sqrt((-x0 + x2)**2/(exp(2*x2) + 1) + 1),PySRFunction(X=>x2*(-51.53427) + 72.42015 - 52.664753/sqrt((-x0 + x2)**2/(exp(2*x2) + 1) + 1))
15,51.19852,"((x2 * -81.879295) + aq(-34.18499 - (x2 * -31.050957), x2 - x0)) + 53.59915",0.10024630900688349,x2*(-81.879295) + (-(-31.050957)*x2 - 34.18499)/sqrt((-x0 + x2)**2 + 1) + 53.59915,PySRFunction(X=>x2*(-81.879295) + (-(-31.050957)*x2 - 34.18499)/sqrt((-x0 + x2)**2 + 1) + 53.59915)
17,48.802948,"aq((aq(-35.74192 - (x2 * -32.197994), x0 - x2) + (x2 * -85.677734)) + 56.099644, x1)",0.023959952253550996,(x2*(-85.677734) + (-(-32.197994)*x2 - 35.74192)/sqrt((x0 - x2)**2 + 1) + 56.099644)/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-85.677734) + (-(-32.197994)*x2 - 35.74192)/sqrt((x0 - x2)**2 + 1) + 56.099644)/sqrt(x1**2 + 1))
18,46.646008,"aq(((x2 * -84.84081) + aq(-35.60983 - (x2 * -32.79228), x2 - x0)) + 55.356766, square(x1))",0.04520337065790568,(x2*(-84.84081) + (-(-32.79228)*x2 - 35.60983)/sqrt((-x0 + x2)**2 + 1) + 55.356766)/sqrt(x1**4 + 1),PySRFunction(X=>(x2*(-84.84081) + (-(-32.79228)*x2 - 35.60983)/sqrt((-x0 + x2)**2 + 1) + 55.356766)/sqrt(x1**4 + 1))
19,39.594738,"aq((x2 * -86.11362) + aq(-35.918728 - (x2 * -32.853874), x2 - x0), x1 - 0.37794656) + 53.98788",0.16389111956927294,(x2*(-86.11362) + (-(-32.853874)*x2 - 35.918728)/sqrt((-x0 + x2)**2 + 1))/sqrt((x1 - 1*0.37794656)**2 + 1) + 53.98788,PySRFunction(X=>(x2*(-86.11362) + (-(-32.853874)*x2 - 35.918728)/sqrt((-x0 + x2)**2 + 1))/sqrt((x1 - 1*0.37794656)**2 + 1) + 53.98788)
20,39.482407,"(aq(-37.038643 - (x2 * -35.626316), x2 - x0) + 56.965073) + aq(x2 * -91.27413, log(1.4241257 - x1))",0.0028410503580333537,-91.27413*x2/sqrt(log(1.4241257 - x1)**2 + 1) + (35.626316*x2 - 37.038643)/sqrt((-x0 + x2)**2 + 1) + 56.965073,PySRFunction(X=>-91.27413*x2/sqrt(log(1.4241257 - x1)**2 + 1) + (35.626316*x2 - 37.038643)/sqrt((-x0 + x2)**2 + 1) + 56.965073)
