Complexity,Loss,Equation,score,sympy_format,lambda_format
1,100.012764,x0,0.0,x0,PySRFunction(X=>x0)
2,91.10041,exp(x0),0.09333551303816712,exp(x0),PySRFunction(X=>exp(x0))
3,57.687386,"aq(-7.3538094, x0)",0.45692376870819473,-7.3538094/sqrt(x0**2 + 1),PySRFunction(X=>-7.3538094/sqrt(x0**2 + 1))
4,52.202694,"aq(-8.885569, exp(x0))",0.09990443334415124,-8.885569/sqrt(exp(2*x0) + 1),PySRFunction(X=>-8.885569/sqrt(exp(2*x0) + 1))
5,39.383743,"aq(-12.113602, x0) - -6.8626065",0.28178098581026406,-1*(-6.8626065) - 12.113602/sqrt(x0**2 + 1),PySRFunction(X=>-1*(-6.8626065) - 12.113602/sqrt(x0**2 + 1))
7,27.682957,"aq(x2 * -19.102352, x0) + 6.280332",0.17626808193178997,-19.102352*x2/sqrt(x0**2 + 1) + 6.280332,PySRFunction(X=>-19.102352*x2/sqrt(x0**2 + 1) + 6.280332)
8,27.52293,"(exp(x2) * aq(-6.7114944, x0)) - -7.1806445",0.005797477657361685,(-6.7114944/sqrt(x0**2 + 1))*exp(x2) - 1*(-7.1806445),PySRFunction(X=>(-6.7114944/sqrt(x0**2 + 1))*exp(x2) - 1*(-7.1806445))
9,24.857841,"(aq(51.474712, x2) + aq(-12.104684, x0)) + -37.133682",0.10184623944937876,-37.133682 + 51.474712/sqrt(x2**2 + 1) - 12.104684/sqrt(x0**2 + 1),PySRFunction(X=>-37.133682 + 51.474712/sqrt(x2**2 + 1) - 12.104684/sqrt(x0**2 + 1))
10,24.658978,"(exp(x2) * (aq(-6.3912053, x0) + -4.7956724)) - -15.560064",0.008032182727729398,(-4.7956724 - 6.3912053/sqrt(x0**2 + 1))*exp(x2) - 1*(-15.560064),PySRFunction(X=>(-4.7956724 - 6.3912053/sqrt(x0**2 + 1))*exp(x2) - 1*(-15.560064))
11,23.09824,"(aq(-12.967186, aq(x0, x1)) + -36.36443) + aq(51.58791, x2)",0.06538462909505711,-36.36443 - 12.967186/sqrt(x0**2/(x1**2 + 1) + 1) + 51.58791/sqrt(x2**2 + 1),PySRFunction(X=>-36.36443 - 12.967186/sqrt(x0**2/(x1**2 + 1) + 1) + 51.58791/sqrt(x2**2 + 1))
12,22.671366,"(exp(x2) * (aq(-6.862027, aq(x0, x1)) + -4.285286)) - -15.490965",0.018653705600059866,(-4.285286 - 6.862027/sqrt(x0**2/(x1**2 + 1) + 1))*exp(x2) - 1*(-15.490965),PySRFunction(X=>(-4.285286 - 6.862027/sqrt(x0**2/(x1**2 + 1) + 1))*exp(x2) - 1*(-15.490965))
13,21.497591,((square(x0 + (0.69183236 - x1)) - 11.415244) * exp(x2)) + 15.470331,0.05316183620454596,((x0 - x1 + 0.69183236)**2 - 1*11.415244)*exp(x2) + 15.470331,PySRFunction(X=>((x0 - x1 + 0.69183236)**2 - 1*11.415244)*exp(x2) + 15.470331)
15,20.475039,"15.474931 + (exp(x2) * (square(x0 + (0.6667155 - aq(x1, x0))) - 11.410464))",0.024367173922543076,((x0 - x1/sqrt(x0**2 + 1) + 0.6667155)**2 - 1*11.410464)*exp(x2) + 15.474931,PySRFunction(X=>((x0 - x1/sqrt(x0**2 + 1) + 0.6667155)**2 - 1*11.410464)*exp(x2) + 15.474931)
16,20.169476,"(exp(x2) * ((x0 - 11.193741) + square(x0 - square(aq(x1, x0))))) + 15.548353",0.01503616204756359,(x0 + (x0 - x1**2/(x0**2 + 1))**2 - 1*11.193741)*exp(x2) + 15.548353,PySRFunction(X=>(x0 + (x0 - x1**2/(x0**2 + 1))**2 - 1*11.193741)*exp(x2) + 15.548353)
17,19.384985,"(aq(square(x0 + 0.5957148) - 11.340132, aq(x1, square(exp(x0)))) * exp(x2)) + 14.668454",0.03967157512323788,(((x0 + 0.5957148)**2 - 1*11.340132)/sqrt(x1**2/(exp(4*x0) + 1) + 1))*exp(x2) + 14.668454,PySRFunction(X=>(((x0 + 0.5957148)**2 - 1*11.340132)/sqrt(x1**2/(exp(4*x0) + 1) + 1))*exp(x2) + 14.668454)
18,19.237534,"15.524877 + aq((square(x0 + 0.5824687) - 11.785344) * exp(x2), aq(x1, square(x0 + 1.0513718)))",0.007635530783570008,15.524877 + ((x0 + 0.5824687)**2 - 1*11.785344)*exp(x2)/sqrt(x1**2/((x0 + 1.0513718)**4 + 1) + 1),PySRFunction(X=>15.524877 + ((x0 + 0.5824687)**2 - 1*11.785344)*exp(x2)/sqrt(x1**2/((x0 + 1.0513718)**4 + 1) + 1))
19,18.644356,"aq(aq((square(x0 + 0.83415145) - 14.849403) * exp(x2), aq(x1, square(exp(x0)))) + 19.096556, x2)",0.031319793601768176,(19.096556 + ((x0 + 0.83415145)**2 - 1*14.849403)*exp(x2)/sqrt(x1**2/(exp(4*x0) + 1) + 1))/sqrt(x2**2 + 1),PySRFunction(X=>(19.096556 + ((x0 + 0.83415145)**2 - 1*14.849403)*exp(x2)/sqrt(x1**2/(exp(4*x0) + 1) + 1))/sqrt(x2**2 + 1))
20,18.033064,"aq(exp(x2) * ((x0 + square(x0)) - 11.464699), aq(x1, square(square(exp(x0))) + x2)) + 15.871723",0.033336511175281525,15.871723 + (x0**2 + x0 - 1*11.464699)*exp(x2)/sqrt(x1**2/((x2 + exp(4*x0))**2 + 1) + 1),PySRFunction(X=>15.871723 + (x0**2 + x0 - 1*11.464699)*exp(x2)/sqrt(x1**2/((x2 + exp(4*x0))**2 + 1) + 1))
