Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.19617,x0,0.0,x0,PySRFunction(X=>x0)
2,22.961885,exp(x0),0.3064596634854573,exp(x0),PySRFunction(X=>exp(x0))
3,4.506223,x0 * 3.235812,1.6283763370295907,x0*3.235812,PySRFunction(X=>x0*3.235812)
5,1.3408954,(x0 * 3.4076269) + -1.8211893,0.6060608652945524,x0*3.4076269 - 1.8211893,PySRFunction(X=>x0*3.4076269 - 1.8211893)
6,0.07273783,2.8674355 - square(2.2031379 - x0),2.914231271913479,2.8674355 - (2.2031379 - x0)**2,PySRFunction(X=>2.8674355 - (2.2031379 - x0)**2)
7,0.07254677,((4.4059305 - x0) * x0) - 1.9847896,0.002630149515380068,x0*(4.4059305 - x0) - 1*1.9847896,PySRFunction(X=>x0*(4.4059305 - x0) - 1*1.9847896)
8,0.018078372,"log(aq(x0 - -1.5036733, -1.7518334)) * 6.67733",1.3895151506571044,6.67733*log(0.495747360375333*x0 + 0.745442069341866),PySRFunction(X=>6.67733*log(0.495747360375333*x0 + 0.745442069341866))
10,0.010698326,((log(x0 - -1.5121721) * 6.7082467) - 4.1365385) - x2,0.2623145130158225,-x2 + 6.7082467*log(x0 + 1.5121721) - 4.1365385,PySRFunction(X=>-x2 + 6.7082467*log(x0 + 1.5121721) - 4.1365385)
12,0.004010832,"log(aq(x0 - -1.5059621, -1.6336279 - (x2 * 0.20153615))) * 6.6849017",0.4905442897682013,6.6849017*log((x0 + 1.5059621)/sqrt((-0.20153615*x2 - 1.6336279)**2 + 1)),PySRFunction(X=>6.6849017*log((x0 + 1.5059621)/sqrt((-0.20153615*x2 - 1.6336279)**2 + 1)))
14,0.0027799648,"(log(aq(x0 - -1.5070952, -1.635788)) * 6.6905556) - (x2 * aq(0.61953, x1))",0.18328021767104427,-0.61953*x2/sqrt(x1**2 + 1) + 6.6905556*log(0.521583594100793*x0 + 0.786076131068054),PySRFunction(X=>-0.61953*x2/sqrt(x1**2 + 1) + 6.6905556*log(0.521583594100793*x0 + 0.786076131068054))
15,0.002541406,"(log(aq(x0 - -1.5030421, -1.7049719)) * 6.6759267) - square(aq(x2, x1) + -0.2615159)",0.08972079456293094,-(x2/sqrt(x1**2 + 1) - 0.2615159)**2 + 6.6759267*log(0.505920445338043*x0 + 0.760419728593828),PySRFunction(X=>-(x2/sqrt(x1**2 + 1) - 0.2615159)**2 + 6.6759267*log(0.505920445338043*x0 + 0.760419728593828))
16,0.0024280632,"(log(aq(x0 - -1.5125779, -1.7154474)) * 6.7100024) - square(-0.2612416 + aq(x2, square(x1)))",0.04562356867642659,-(x2/sqrt(x1**4 + 1) - 0.2612416)**2 + 6.7100024*log(0.503616373105321*x0 + 0.761758996037264),PySRFunction(X=>-(x2/sqrt(x1**4 + 1) - 0.2612416)**2 + 6.7100024*log(0.503616373105321*x0 + 0.761758996037264))
17,0.0022112117,"(log(aq(x0 - -1.4997536, -1.7000352)) * 6.6635604) - square(square(x2 * aq(-0.90975475, square(x1))))",0.09355325669073425,-0.685010655644488*x2**4/(x1**4 + 1)**2 + 6.6635604*log(0.507012327155064*x0 + 0.760393562895185),PySRFunction(X=>-0.685010655644488*x2**4/(x1**4 + 1)**2 + 6.6635604*log(0.507012327155064*x0 + 0.760393562895185))
18,0.0017631087,"(log(aq(x0 - -1.5044572, -1.7024233)) * 6.679548) - square(square(aq(aq(x2, x1), x1 + -0.5045884)))",0.22646208803899912,-x2**4/((x1**2 + 1)**2*((x1 - 0.5045884)**2 + 1)**2) + 6.679548*log(0.506483649186031*x0 + 0.761982972700198),PySRFunction(X=>-x2**4/((x1**2 + 1)**2*((x1 - 0.5045884)**2 + 1)**2) + 6.679548*log(0.506483649186031*x0 + 0.761982972700198))
19,0.0016641533,"(log(aq(x0 - -1.5044154, -1.7053965)) * 6.678943) - square(aq(x2, (x1 + -0.5030893) + x1) + -0.22836621)",0.05776209222339476,-(x2/sqrt((2*x1 - 0.5030893)**2 + 1) - 0.22836621)**2 + 6.678943*log(0.50582671562693*x0 + 0.760973500720575),PySRFunction(X=>-(x2/sqrt((2*x1 - 0.5030893)**2 + 1) - 0.22836621)**2 + 6.678943*log(0.50582671562693*x0 + 0.760973500720575))
20,0.0016229608,"(log(aq(x0 - -1.5009605, -1.7022915)) * 6.668546) - square(square(aq(x2, (x1 + -0.24585305) * 1.666132) * -0.9459498))",0.025064330122074173,-0.800704665207237*x2**4/((1.666132*x1 - 0.4096236339026)**2 + 1)**2 + 6.668546*log(0.506512803306153*x0 + 0.760255710506805),PySRFunction(X=>-0.800704665207237*x2**4/((1.666132*x1 - 0.4096236339026)**2 + 1)**2 + 6.668546*log(0.506512803306153*x0 + 0.760255710506805))
