# param=Ap z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z3.6/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,12.557209,0.09086261989198463,0.0002034478459914974,48,True,True
19,13.551937,0.15464270900273525,0.00010189238179590824,48,True,True
18,14.7153635,0.07242991981576963,7.933930090599097e-05,48,True,True
17,16.5975,0.0867192400262034,0.00010880234832388469,48,True,True
16,17.703028,0.10504676810901314,0.00010847800332078795,48,True,True
15,18.301538,0.1504339062007234,0.00110029505340139,48,True,True
13,18.969723,0.06560913104535693,0.0009444926133468402,48,True,True
12,20.898827,0.23447864340734703,0.0034901474379903413,48,True,True
11,21.199734,0.13318811145152964,0.002778202611295926,48,True,True
9,23.8077,0.020754003852885727,0.001794393030405311,48,True,True
8,36.0591,0.2664809574740772,0.0003829239232849407,48,False,True
6,37.599926,0.13474730003840396,0.0007680263571214097,48,True,True
5,39.439255,0.09009382795816279,0.00015765211970821457,48,True,True
4,47.210308,0.2839789029575634,0.0005939001770033897,48,False,True
3,52.476616,0.3193320423342968,0.011859375934449882,48,False,True
2,74.2525,0.7344022723507182,0.014522935604287083,48,False,True
1,75.739235,0.77941824546005,0.004685209069151105,48,False,True
