# param=dtau0 z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.0021492182,0.0030744828772947264,2.1119072035121094e-06,48,True,True
19,0.0022207214,0.0027100802677121894,2.175776604127189e-06,48,True,True
18,0.0025651357,0.003299785771257835,2.8920672308291467e-06,48,True,True
17,0.0031114582,0.003340573057272589,2.8705076725842174e-06,48,True,True
16,0.004181686,0.0036801375517568347,3.6424206201984356e-06,48,True,True
15,0.004696643,0.00857574349068152,2.2276475504051896e-06,48,True,True
14,0.0050018006,0.008550100863242316,2.803724074531436e-06,48,True,True
13,0.0055072047,0.008549962918119713,2.914719031021381e-06,48,True,True
12,0.0056428676,0.008550320424948132,2.8850773926141936e-06,48,True,True
11,0.008593267,0.009003557103773097,9.735839662573028e-06,48,True,True
10,0.008606225,0.009147823305512282,3.81259646475993e-06,48,True,True
9,0.027849745,0.009488629169964069,2.2762959898080147e-05,48,True,True
8,0.03483568,0.009148011216712326,6.7447159464376e-05,48,True,True
7,0.060721472,0.009904938717881617,9.60900111484348e-05,48,True,True
5,0.09200513,0.009148559137073187,6.763629523975387e-05,48,True,True
3,5.021664,0.06836664415509114,0.007980916932877535,48,True,True
2,21.122545,0.46994092127017,0.008996427701486029,48,False,True
1,31.012114,0.7095447227140347,0.0033326679814830247,48,False,True
