# param=heref z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z3.6/pareto_heref.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,18.879232,0.04540629169046018,0.0002374410491897665,48,True,True
19,21.43961,0.08557544992724986,0.00024141426509243806,48,True,True
18,22.106943,0.08789758464980824,0.00025951359694804146,48,True,True
17,24.394165,0.11343118480471537,0.0002485028118142833,48,True,True
16,26.101006,0.07876106747221201,0.00026759861092522493,48,True,True
15,28.271452,0.1116687708316576,0.0002613953891132297,48,True,True
14,33.430077,0.16663116499047104,0.00012514445266060924,48,True,True
13,38.06446,0.05993778254713594,0.0001740373807861048,48,True,True
12,41.997074,0.10354749547533926,0.0002528599943820739,48,True,True
11,53.72783,0.06318988936104808,0.00016040073385900446,48,True,True
9,63.925724,0.2236957638741196,0.0003356113056734057,48,True,True
8,74.70472,0.15342407573490469,0.00017407933078933204,48,True,True
7,78.8391,0.045208739222339644,0.00028238547247530916,48,True,True
6,93.66101,0.043556730981570146,0.0005271628668634854,48,True,True
5,116.30762,0.41851858480277604,0.00017346929244086315,48,False,True
4,133.00768,0.4030204267527149,0.002263098220005867,48,False,True
3,168.2997,0.5979398655295937,0.0002586366797439403,48,False,True
2,215.68094,0.7968128060972015,0.0024111864081616187,48,False,True
1,242.34296,0.8844023451867478,0.0018497223900633515,48,False,True
