# param=herei z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.6738033,0.0834464481274545,1.3797790436164044e-05,48,True,True
19,0.6828905,0.08345375337840621,1.4007186016386166e-05,48,True,True
18,0.7171805,0.08392288680961191,4.406019665707225e-05,48,True,True
17,0.7818445,0.07403958206464845,6.243963882285067e-05,48,True,True
16,0.8281716,0.07988288105786945,0.00018064272704953056,48,True,True
15,0.8910584,0.06983389722063038,0.00022836094705419704,48,True,True
14,0.9403589,0.09077369761022835,0.00018223894335233487,48,True,True
13,1.0118158,0.09113180491720008,0.00017625507721963926,48,True,True
12,1.0863489,0.0690499636829554,0.00014062175330843216,48,True,True
11,1.1093935,0.06903904364047092,0.0001993828965605656,48,True,True
10,1.276619,0.16504358041691358,0.00023035770813345494,48,True,True
9,2.1698244,0.22883439081779333,0.0004315800467330792,48,True,True
8,2.534233,0.2132926641831815,0.0005842880017180785,48,True,True
7,3.1107833,0.3795858832277027,0.000369787439738138,48,False,True
6,3.1987834,0.32130461711731373,0.00045287072061199566,48,False,True
5,4.0510273,0.11567300476938569,0.0006389780993547875,48,True,True
4,8.923147,0.2681950328030535,0.00043098340127397603,48,False,True
3,10.020392,0.29243989942513593,0.00796329322307422,48,False,True
2,22.978804,0.20945731148225666,0.010857550747175086,48,True,True
1,24.636395,0.5149572576236955,0.00362060101527199,48,False,True
