# param=hub z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z3.6/pareto_hub.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,385.88824,0.9845273028678903,0.0005698745194987455,48,False,True
18,387.83167,1.0008561558911833,0.0005970921585513541,48,False,True
17,392.64395,0.9547046286875083,0.0005655136488158229,48,False,True
16,393.75934,0.944657310909917,0.0005985968604172011,48,False,True
14,398.0193,0.995762676000092,0.0005575611454890465,48,False,True
13,400.27264,0.9957626760010023,0.0005108653993347762,48,False,True
12,405.4563,0.9999678089747569,0.00034493607347836435,48,False,True
11,418.17535,0.9759004640849545,0.00048780824005440984,48,False,True
10,422.00766,0.9999822114380721,0.0003979394082835146,48,False,True
9,432.76974,0.9999578757640966,0.0003356196321081996,48,False,True
8,436.38388,0.9823763393839231,0.0003445301563937891,48,False,True
7,443.79736,0.998868622232799,0.0002930581509719843,48,False,True
6,449.662,0.9794737172366563,0.00029635192564828625,48,False,True
