# param=omegamh2 z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z3.6/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,68.456635,0.18013756192991004,0.0002060950438921686,48,True,True
19,69.12423,0.1318065485534894,0.00020380164531838538,48,True,True
18,69.21746,0.23293973466611373,0.00017767255441477435,48,True,True
17,69.89223,0.1931078454002182,0.00021031050199575628,48,True,True
16,70.4919,0.16688455630167798,0.0002122887723915916,48,True,True
15,71.16743,0.1674706671889259,0.00018272652616040002,48,True,True
14,73.050674,0.11834402976276426,0.0001906696477710476,48,True,True
13,73.0895,0.08723361058730117,0.00019088756926960383,48,True,True
12,74.44137,0.10612362057513791,0.00018572034987925738,48,True,True
11,75.02965,0.06295156015932768,0.00019305098364287207,48,True,True
10,77.5787,0.06313006113924008,0.0001372871723182977,48,True,True
9,80.567276,0.12735719647935745,0.0001995034960296917,48,True,True
8,83.059296,0.12891758479632276,0.00013270784954576962,48,True,True
7,84.92889,0.2660170961272611,0.00021635572611924267,48,False,True
6,90.344086,0.1274377568871346,0.00028959153819436143,48,True,True
5,93.04013,0.1720502001829598,0.0001362345254556537,48,True,True
4,107.43896,0.44598316833972956,0.00016784228515827123,48,False,True
3,112.475815,0.4621258328478874,0.00017976767750463557,48,False,True
2,134.52795,0.7206601459775418,0.0015654462047261758,48,False,True
1,146.8596,0.7851231892134842,0.0016543756466580173,48,False,True
