# param=tau0 z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.0023956196,0.005187157214040616,9.58255468537519e-06,48,True,True
19,0.00290945,0.005730525237690021,7.061484607289718e-05,48,True,True
18,0.003165438,0.005176161942123836,7.056441330347393e-05,48,True,True
17,0.0031815823,0.00520073827613815,7.11566025601605e-05,48,True,True
16,0.0045664376,0.0069785056994938754,1.0535669784115479e-05,48,True,True
15,0.0052724755,0.007180615848773775,3.32137188628659e-05,48,True,True
14,0.0052988976,0.007028508581281456,7.205113228397131e-05,48,True,True
13,0.0053305826,0.007159399925418197,7.20798574619214e-05,48,True,True
11,0.01030965,0.00525347821960942,0.00015408200035544608,48,True,True
10,0.014808912,0.007030192644355782,0.0004057971113869456,48,True,True
9,0.018551331,0.005235822368730436,0.000404755488503631,48,True,True
8,0.023792583,0.012057365337726111,7.73433964409483e-05,48,True,True
7,0.12506303,0.02016692718569063,0.00041675948655052356,48,True,True
6,0.12631494,0.015750875289900768,0.00027532341354135004,48,True,True
5,1.08272,0.09417954203946555,0.0005298941965998155,48,True,True
3,4.2309904,0.04026549246362321,0.11607984874768375,48,True,True
2,22.926933,0.37190132540641835,0.1366901650928477,48,False,True
1,31.715305,0.6817947906083224,0.03462998846246365,48,False,True
