Complexity,Loss,Equation,score,sympy_format,lambda_format
1,77.75087,-1.5232971,0.0,-1.52329710000000,PySRFunction(X=>-1.52329710000000)
3,41.74043,x0 * -2.6799686,0.31101976862132413,x0*(-2.6799686),PySRFunction(X=>x0*(-2.6799686))
5,40.129753,"aq(x0 * -3.1888545, x2)",0.019676087100540376,-3.1888545*x0/sqrt(x2**2 + 1),PySRFunction(X=>-3.1888545*x0/sqrt(x2**2 + 1))
6,38.765766,log(x0 + x2) * -2.5354192,0.0345804916950596,-2.5354192*log(x0 + x2),PySRFunction(X=>-2.5354192*log(x0 + x2))
7,38.636047,(x2 - 1.3000945) * (x0 * 3.8320525),0.003351836770214528,(x2 - 1*1.3000945)*x0*3.8320525,PySRFunction(X=>(x2 - 1*1.3000945)*x0*3.8320525)
8,34.943157,log((x2 + x0) + x2) * -4.103156,0.10046304528008992,-4.103156*log(x0 + 2*x2),PySRFunction(X=>-4.103156*log(x0 + 2*x2))
9,33.277122,x0 * (square(square(x1 + x2)) - 3.821134),0.048852521670103316,x0*((x1 + x2)**4 - 1*3.821134),PySRFunction(X=>x0*((x1 + x2)**4 - 1*3.821134))
10,27.486984,"x0 * (aq(-68.50284, square(x2 * x1)) + 65.33837)",0.19115755031264134,x0*(65.33837 - 68.50284/sqrt(x1**4*x2**4 + 1)),PySRFunction(X=>x0*(65.33837 - 68.50284/sqrt(x1**4*x2**4 + 1)))
11,22.237175,"(aq(-213.7801, square(square(x1 * x2))) + 210.73734) * x0",0.21194714560257866,x0*(210.73734 - 213.7801/sqrt(x1**8*x2**8 + 1)),PySRFunction(X=>x0*(210.73734 - 213.7801/sqrt(x1**8*x2**8 + 1)))
12,19.503708,"x0 * (aq(-1404.6709, square(square(square(x2 * x1)))) + 1401.7117)",0.1311608365940298,x0*(1401.7117 - 1404.6709/sqrt(x1**16*x2**16 + 1)),PySRFunction(X=>x0*(1401.7117 - 1404.6709/sqrt(x1**16*x2**16 + 1)))
13,16.918953,"(aq(250.18547, square(square(x2 * x1))) + -247.11253) * (x1 - x0)",0.142170128508062,(-247.11253 + 250.18547/sqrt(x1**8*x2**8 + 1))*(-x0 + x1),PySRFunction(X=>(-247.11253 + 250.18547/sqrt(x1**8*x2**8 + 1))*(-x0 + x1))
14,13.536905,"(aq(-1633.4219, square(square(square(x1 * x2)))) + 1630.4436) * (x0 - x1)",0.2230148134548759,(1630.4436 - 1633.4219/sqrt(x1**16*x2**16 + 1))*(x0 - x1),PySRFunction(X=>(1630.4436 - 1633.4219/sqrt(x1**16*x2**16 + 1))*(x0 - x1))
15,13.134921,"(square(x1) - x0) * (aq(1632.6035, square(square(square(x1 * x2)))) + -1629.6318)",0.030145250721719145,(-1629.6318 + 1632.6035/sqrt(x1**16*x2**16 + 1))*(-x0 + x1**2),PySRFunction(X=>(-1629.6318 + 1632.6035/sqrt(x1**16*x2**16 + 1))*(-x0 + x1**2))
16,12.236265,"((aq(1601.2124, square(square(square(x1 * x2)))) + -1598.2249) * (1.1916041 - x0)) + -3.363756",0.0708703251957275,(-1598.2249 + 1601.2124/sqrt(x1**16*x2**16 + 1))*(1.1916041 - x0) - 3.363756,PySRFunction(X=>(-1598.2249 + 1601.2124/sqrt(x1**16*x2**16 + 1))*(1.1916041 - x0) - 3.363756)
17,11.716529,"(aq(x0, x2) - square(x1)) * (aq(-2076.34, square(square(square(x2 * x1)))) + 2072.8481)",0.043403503583363964,(2072.8481 - 2076.34/sqrt(x1**16*x2**16 + 1))*(x0/sqrt(x2**2 + 1) - x1**2),PySRFunction(X=>(2072.8481 - 2076.34/sqrt(x1**16*x2**16 + 1))*(x0/sqrt(x2**2 + 1) - x1**2))
18,10.493819,"aq((aq(-2076.3608, square(square(square(x1 * x2)))) + 2072.8157) * (x0 - 1.2314126), x2) - 3.51019",0.11021416271059317,(2072.8157 - 2076.3608/sqrt(x1**16*x2**16 + 1))*(x0 - 1*1.2314126)/sqrt(x2**2 + 1) - 1*3.51019,PySRFunction(X=>(2072.8157 - 2076.3608/sqrt(x1**16*x2**16 + 1))*(x0 - 1*1.2314126)/sqrt(x2**2 + 1) - 1*3.51019)
19,10.23446,"((aq(-2076.3228, square(square(square(x2 * square(x1))))) + 2072.8564) * aq(x0 - 1.2492733, x2)) - 3.5472937",0.025025959579959827,((x0 - 1*1.2492733)/sqrt(x2**2 + 1))*(2072.8564 - 2076.3228/sqrt(x1**32*x2**16 + 1)) - 1*3.5472937,PySRFunction(X=>((x0 - 1*1.2492733)/sqrt(x2**2 + 1))*(2072.8564 - 2076.3228/sqrt(x1**32*x2**16 + 1)) - 1*3.5472937)
20,9.5644455,"((aq(1601.1101, square(square(square(x1 * x2)))) + -1598.3196) * aq(1.6343628 - x0, x2 + x0)) + -3.5175257",0.06770782814490008,((1.6343628 - x0)/sqrt((x0 + x2)**2 + 1))*(-1598.3196 + 1601.1101/sqrt(x1**16*x2**16 + 1)) - 3.5175257,PySRFunction(X=>((1.6343628 - x0)/sqrt((x0 + x2)**2 + 1))*(-1598.3196 + 1601.1101/sqrt(x1**16*x2**16 + 1)) - 3.5175257)
