Complexity,Loss,Equation,score,sympy_format,lambda_format
1,128.00671,-4.685422,0.0,-4.68542200000000,PySRFunction(X=>-4.68542200000000)
3,114.83489,x2 * -9.370841,0.05429366342441552,x2*(-9.370841),PySRFunction(X=>x2*(-9.370841))
4,107.72195,log(0.80041385 - x2),0.06394198730432588,log(0.80041385 - x2),PySRFunction(X=>log(0.80041385 - x2))
5,91.560974,"aq(-6.919053, x0 - 0.68767214)",0.16254823740658225,-6.919053/sqrt((x0 - 1*0.68767214)**2 + 1),PySRFunction(X=>-6.919053/sqrt((x0 - 1*0.68767214)**2 + 1))
6,66.06879,"aq(-7.6898456, log(x0 + x2))",0.32630866089629673,-7.6898456/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.6898456/sqrt(log(x0 + x2)**2 + 1))
7,54.706665,"aq(-6.743112, log(x0 + square(x2)))",0.18871092352424074,-6.743112/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>-6.743112/sqrt(log(x0 + x2**2)**2 + 1))
8,41.57925,"aq(-5.2535925, square(log(x0 + square(x2))))",0.2743843036912107,-5.2535925/sqrt(log(x0 + x2**2)**4 + 1),PySRFunction(X=>-5.2535925/sqrt(log(x0 + x2**2)**4 + 1))
9,39.61734,"aq(-5.590665, square(log((x2 + -0.18845187) + x0)))",0.04833434354177739,-5.590665/sqrt(log(x0 + x2 - 0.18845187)**4 + 1),PySRFunction(X=>-5.590665/sqrt(log(x0 + x2 - 0.18845187)**4 + 1))
10,30.597721,square(log(square(x0 + x2))) + (x2 * -10.122617),0.25834137214678055,-10.122617*x2 + log((x0 + x2)**2)**2,PySRFunction(X=>-10.122617*x2 + log((x0 + x2)**2)**2)
11,24.8241,square(log(square(x2 + x0))) + (square(x2) * -14.659201),0.20911057356297616,-14.659201*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-14.659201*x2**2 + log((x0 + x2)**2)**2)
12,20.644001,"aq(square(log(square(x0 + x2))) + 62.11265, x2) + -58.208237",0.18439018677091304,-58.208237 + (log((x0 + x2)**2)**2 + 62.11265)/sqrt(x2**2 + 1),PySRFunction(X=>-58.208237 + (log((x0 + x2)**2)**2 + 62.11265)/sqrt(x2**2 + 1))
13,20.055092,"square(log(square(x2 + aq(x0, x2)))) + (square(x2) * -14.381307)",0.02894168213051813,-14.381307*x2**2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2,PySRFunction(X=>-14.381307*x2**2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2)
14,18.566776,"(square(log(square(aq(x0, x2) + x2))) + 8.363039) + (x2 * -22.485806)",0.07710933965898822,-22.485806*x2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2 + 8.363039,PySRFunction(X=>-22.485806*x2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2 + 8.363039)
15,18.078989,"(square(x2) * (-13.643665 - x0)) + square(log(square(x2 + aq(x0, x2))))",0.026623311678238053,x2**2*(-x0 - 13.643665) + log((x0/sqrt(x2**2 + 1) + x2)**2)**2,PySRFunction(X=>x2**2*(-x0 - 13.643665) + log((x0/sqrt(x2**2 + 1) + x2)**2)**2)
16,16.742758,"square(log(square(aq(x0, x1 + x2) + x2))) + ((x2 * -22.215525) + 8.203957)",0.0767846286905998,-22.215525*x2 + log((x0/sqrt((x1 + x2)**2 + 1) + x2)**2)**2 + 8.203957,PySRFunction(X=>-22.215525*x2 + log((x0/sqrt((x1 + x2)**2 + 1) + x2)**2)**2 + 8.203957)
17,15.450495,"(aq(-33.54202, aq(1.1076877, x0)) * square(x2 * x2)) + square(log(square(x0 + x2)))",0.08032476490288676,-33.54202*x2**4/sqrt(1 + 1.22697204073129/(x0**2 + 1)) + log((x0 + x2)**2)**2,PySRFunction(X=>-33.54202*x2**4/sqrt(1 + 1.22697204073129/(x0**2 + 1)) + log((x0 + x2)**2)**2)
18,13.887024,"(aq(-33.54202, aq(exp(x1), x0)) * square(x2 * x2)) + square(log(square(x0 + x2)))",0.10668616271468367,-33.54202*x2**4/sqrt(1 + exp(2*x1)/(x0**2 + 1)) + log((x0 + x2)**2)**2,PySRFunction(X=>-33.54202*x2**4/sqrt(1 + exp(2*x1)/(x0**2 + 1)) + log((x0 + x2)**2)**2)
19,13.5859,"aq(((x2 * x2) * -29.601707) + 4.2017393, aq(exp(x1), x0)) + square(log(square(x0 + x2)))",0.021922388726948704,log((x0 + x2)**2)**2 + (4.2017393 - 29.601707*x2**2)/sqrt(1 + exp(2*x1)/(x0**2 + 1)),PySRFunction(X=>log((x0 + x2)**2)**2 + (4.2017393 - 29.601707*x2**2)/sqrt(1 + exp(2*x1)/(x0**2 + 1)))
20,12.276801,"square(log(square(aq(x0, x1) + x2))) + (aq(square(x2 * x2), aq(exp(x1), x0)) * -35.35155)",0.10132110632812985,-35.35155*x2**4/sqrt(1 + exp(2*x1)/(x0**2 + 1)) + log((x0/sqrt(x1**2 + 1) + x2)**2)**2,PySRFunction(X=>-35.35155*x2**4/sqrt(1 + exp(2*x1)/(x0**2 + 1)) + log((x0/sqrt(x1**2 + 1) + x2)**2)**2)
