Complexity,Loss,Equation,score,sympy_format,lambda_format
1,495.17786,-5.1114273,0.0,-5.11142730000000,PySRFunction(X=>-5.11142730000000)
3,479.48264,x2 * -10.23004,0.01610466093698141,x2*(-10.23004),PySRFunction(X=>x2*(-10.23004))
4,470.696,log(0.8001763 - x2),0.018495238899277296,log(0.8001763 - x2),PySRFunction(X=>log(0.8001763 - x2))
5,469.01917,(x2 * -25.571535) - -10.22833,0.0035688085778809242,x2*(-25.571535) - 1*(-10.22833),PySRFunction(X=>x2*(-25.571535) - 1*(-10.22833))
6,449.662,"aq(-7.0963297, log(x0 + x2))",0.04214745238340524,-7.0963297/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.0963297/sqrt(log(x0 + x2)**2 + 1))
7,443.79736,"aq(-6.8475313, square(log(x2 + x0)))",0.013128127572679596,-6.8475313/sqrt(log(x0 + x2)**4 + 1),PySRFunction(X=>-6.8475313/sqrt(log(x0 + x2)**4 + 1))
8,436.38388,"aq(-8.165389, exp(square(log(x0 + x2))))",0.01684574716707517,-8.165389/sqrt(exp(2*log(x0 + x2)**2) + 1),PySRFunction(X=>-8.165389/sqrt(exp(2*log(x0 + x2)**2) + 1))
9,432.76974,"aq(-5.5508037, square(log(x2 + (x0 + -0.12165798))))",0.008316506420943684,-5.5508037/sqrt(log(x0 + x2 - 0.12165798)**4 + 1),PySRFunction(X=>-5.5508037/sqrt(log(x0 + x2 - 0.12165798)**4 + 1))
10,422.00766,"aq(-4.8548927, square(x1 + log(x0 + square(x2))))",0.025182342737234336,-4.8548927/sqrt((x1 + log(x0 + x2**2))**4 + 1),PySRFunction(X=>-4.8548927/sqrt((x1 + log(x0 + x2**2))**4 + 1))
11,418.17535,square(log(square(x0 + x2))) - square(x2 * 3.989865),0.009122623362150056,-15.919022718225*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-15.919022718225*x2**2 + log((x0 + x2)**2)**2)
12,405.4563,"aq(-10.982055, square(x1 + log(x0 + square(x2)))) * x2",0.03088774260725381,-10.982055*x2/sqrt((x1 + log(x0 + x2**2))**4 + 1),PySRFunction(X=>-10.982055*x2/sqrt((x1 + log(x0 + x2**2))**4 + 1))
13,400.27264,square(log(square(x2) + x0) + x1) - square(x2 * 3.989865),0.012867184636435948,-15.919022718225*x2**2 + (x1 + log(x0 + x2**2))**2,PySRFunction(X=>-15.919022718225*x2**2 + (x1 + log(x0 + x2**2))**2)
14,398.0193,"square(x1 + log(x0 + square(x2))) - (aq(-68.08893, x2) + 63.666084)",0.005645418353172532,(x1 + log(x0 + x2**2))**2 - 63.666084 + 68.08893/sqrt(x2**2 + 1),PySRFunction(X=>(x1 + log(x0 + x2**2))**2 - 63.666084 + 68.08893/sqrt(x2**2 + 1))
16,393.75934,"(square(log(x0 + x2) + square(x1)) * 3.4511833) - (aq(-71.094215, x2) + 66.67066)",0.005380293038797035,3.4511833*(x1**2 + log(x0 + x2))**2 - 66.67066 + 71.094215/sqrt(x2**2 + 1),PySRFunction(X=>3.4511833*(x1**2 + log(x0 + x2))**2 - 66.67066 + 71.094215/sqrt(x2**2 + 1))
17,392.64395,(square(square(square(x1)) + log(x0 + x2)) * 3.4502037) - ((x2 * 25.697296) + -9.693936),0.0028366889155401094,-25.697296*x2 + 3.4502037*(x1**4 + log(x0 + x2))**2 + 9.693936,PySRFunction(X=>-25.697296*x2 + 3.4502037*(x1**4 + log(x0 + x2))**2 + 9.693936)
18,387.83167,"square((square(x1) + log(x0 + x2)) * -1.8753233) - ((x0 + aq(-71.77047, x2)) + 66.73844)",0.012331816296695663,-x0 + (-1.8753233*x1**2 - 1.8753233*log(x0 + x2))**2 - 66.73844 + 71.77047/sqrt(x2**2 + 1),PySRFunction(X=>-x0 + (-1.8753233*x1**2 - 1.8753233*log(x0 + x2))**2 - 66.73844 + 71.77047/sqrt(x2**2 + 1))
19,385.88824,"square(-1.8753233 * (square(x1) + log(x2 + x0))) - ((square(x0) + aq(-71.77047, x2)) + 66.73844)",0.00502361141809142,-x0**2 + (-1.8753233*x1**2 - 1.8753233*log(x0 + x2))**2 - 66.73844 + 71.77047/sqrt(x2**2 + 1),PySRFunction(X=>-x0**2 + (-1.8753233*x1**2 - 1.8753233*log(x0 + x2))**2 - 66.73844 + 71.77047/sqrt(x2**2 + 1))
