Complexity,Loss,Equation,score,sympy_format,lambda_format
1,71.14633,-0.7476371,0.0,-0.747637100000000,PySRFunction(X=>-0.747637100000000)
2,67.87984,square(x0),0.046999658776476244,x0**2,PySRFunction(X=>x0**2)
3,65.44556,x1 * x0,0.03652043125198541,x0*x1,PySRFunction(X=>x0*x1)
4,61.91178,exp(x0) * x1,0.05550818347932741,x1*exp(x0),PySRFunction(X=>x1*exp(x0))
5,55.015026,(x0 * 4.7777987) * x1,0.1181041206110222,x0*4.7777987*x1,PySRFunction(X=>x0*4.7777987*x1)
7,47.82406,(x0 * (x1 + -0.20604926)) * 7.662069,0.07003874388957537,x0*(x1 - 0.20604926)*7.662069,PySRFunction(X=>x0*(x1 - 0.20604926)*7.662069)
8,40.728195,log((x1 * 13.351807) + 0.0115961945) * x0,0.16060825569149173,x0*log(13.351807*x1 + 0.0115961945),PySRFunction(X=>x0*log(13.351807*x1 + 0.0115961945))
9,27.756962,"(aq(-8.3108225, x1 * 18.031172) + 4.24122) * x0",0.3834339128400255,x0*(4.24122 - 8.3108225/sqrt(325.123163693584*x1**2 + 1)),PySRFunction(X=>x0*(4.24122 - 8.3108225/sqrt(325.123163693584*x1**2 + 1)))
10,24.348452,"x0 * (aq(-6.8075547, x1 * 25.375134) + exp(x0))",0.13101841699699915,x0*(exp(x0) - 6.8075547/sqrt(643.897425517956*x1**2 + 1)),PySRFunction(X=>x0*(exp(x0) - 6.8075547/sqrt(643.897425517956*x1**2 + 1)))
11,22.178043,"(aq(-7.4701915, x0 * (x1 * -23.547815)) + 3.538351) * x0",0.09336552922500702,x0*(3.538351 - 7.4701915/sqrt(554.499591274225*x0**2*x1**2 + 1)),PySRFunction(X=>x0*(3.538351 - 7.4701915/sqrt(554.499591274225*x0**2*x1**2 + 1)))
12,17.33625,"x0 * (aq(-8.70791, x1 * (exp(x0) * -8.071176)) + 4.1400123)",0.24630306039906474,x0*(4.1400123 - 8.70791/sqrt(65.143882022976*x1**2*exp(2*x0) + 1)),PySRFunction(X=>x0*(4.1400123 - 8.70791/sqrt(65.143882022976*x1**2*exp(2*x0) + 1)))
13,13.50999,"(aq(-7.324145, square(exp(x0) * (x1 * 6.793379))) + 3.1973884) * x0",0.24937027320902425,x0*(3.1973884 - 7.324145/sqrt(2129.82233733427*x1**4*exp(4*x0) + 1)),PySRFunction(X=>x0*(3.1973884 - 7.324145/sqrt(2129.82233733427*x1**4*exp(4*x0) + 1)))
15,12.31805,"(0.8313545 - x0) * (aq(7.673675, square(exp(x0) * (x1 * -14.129461))) + -3.6124246)",0.0461818727111334,(-3.6124246 + 7.673675/sqrt(39856.7956619227*x1**4*exp(4*x0) + 1))*(0.8313545 - x0),PySRFunction(X=>(-3.6124246 + 7.673675/sqrt(39856.7956619227*x1**4*exp(4*x0) + 1))*(0.8313545 - x0))
16,11.603355,"(0.89452195 - x0) * (square(aq(-2.6774802, square(exp(x0) * (-11.364878 * x1)))) + -3.2797556)",0.059771385924104754,(-3.2797556 + 7.16890022139204/(16682.4223491899*x1**4*exp(4*x0) + 1))*(0.89452195 - x0),PySRFunction(X=>(-3.2797556 + 7.16890022139204/(16682.4223491899*x1**4*exp(4*x0) + 1))*(0.89452195 - x0))
17,11.489922,"(aq(7.3322525, square(-0.5137005 - (x1 * (exp(x0) * -19.887508)))) + -3.4246094) * (0.8208535 - x0)",0.009823977107138953,(-3.4246094 + 7.3322525/sqrt((-(-19.887508)*x1*exp(x0) - 0.5137005)**4 + 1))*(0.8208535 - x0),PySRFunction(X=>(-3.4246094 + 7.3322525/sqrt((-(-19.887508)*x1*exp(x0) - 0.5137005)**4 + 1))*(0.8208535 - x0))
18,9.746588,"((aq(7.1688313, square(exp(x0) * square(x1 * -12.228655))) - x0) + -2.8649871) * (x2 - x0)",0.16455302828040766,(-x0 + x2)*(-x0 - 2.8649871 + 7.1688313/sqrt(500068549.230056*x1**8*exp(4*x0) + 1)),PySRFunction(X=>(-x0 + x2)*(-x0 - 2.8649871 + 7.1688313/sqrt(500068549.230056*x1**8*exp(4*x0) + 1)))
20,8.900578,"(((aq(7.173209, square(exp(x0) * square(x1 * 12.231928))) - x0) + -2.8458169) * (x2 - x0)) - x2",0.045400528297952505,-x2 + (-x0 + x2)*(-x0 - 2.8458169 + 7.173209/sqrt(501140299.753947*x1**8*exp(4*x0) + 1)),PySRFunction(X=>-x2 + (-x0 + x2)*(-x0 - 2.8458169 + 7.173209/sqrt(501140299.753947*x1**8*exp(4*x0) + 1)))
