# param=Ap z=4.2 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z4.2/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,14.771809,0.15588865461696483,0.0003580086369287733,48,True,True
19,15.154984,0.12836960600410252,0.002432629506638011,48,True,True
18,15.419258,0.08449837271944305,0.002067292392796718,48,True,True
17,16.603851,0.08278950250788297,0.002131747967399326,48,True,True
16,20.13046,0.2501150566283899,0.0007306769075495012,48,False,True
15,20.679283,0.23780821563446342,0.0006899136283066348,48,True,True
14,27.5421,0.07033307920478177,0.0014558485217365076,48,True,True
13,55.10229,0.14025044892631855,6.634232923140078e-05,48,True,True
12,56.15982,0.201831869576654,0.0006300549080191638,48,True,True
11,57.650272,0.20009592644533547,0.0005464802529280526,48,True,True
9,61.203552,0.14146222163128852,0.002651095229478216,48,True,True
8,72.401474,0.22713181769910007,0.015710982133197063,48,True,True
7,85.969986,0.7714379126852713,0.0018416577613509636,48,False,True
6,86.33069,0.10454111910886543,0.007191694515900392,48,True,True
5,92.64519,0.25134373740966565,0.004644235372283712,48,False,True
4,107.62312,0.2461692067642713,0.0005315806087533646,48,True,True
3,108.42883,0.19945837495234475,0.010107741229818673,48,True,True
2,139.63005,0.7331734212449558,0.00985866115392713,48,False,True
1,144.8338,0.7783976714695717,0.003386410104205393,48,False,True
