# param=bhfeedback z=4.2 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z4.2/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,19.512705,0.1920187936615267,2.3647973572069424e-05,48,True,True
18,22.378311,0.3085455667446501,1.714324004065619e-05,48,False,True
17,24.090895,0.3634453720357655,1.221410711459142e-05,48,False,True
16,24.208096,0.362662084430219,1.314339009091392e-05,48,False,True
15,25.268393,0.37554138788887387,2.1043415240959908e-05,48,False,True
13,29.402363,0.35659471132219617,1.2931813350567783e-05,48,False,True
12,35.616096,0.37300496757799045,4.127668340344813e-05,48,False,True
11,42.100143,0.49318949557677094,1.5230943806389541e-05,48,False,True
10,43.608192,0.4872903862161607,1.57579085392259e-05,48,False,True
9,49.784943,0.5189502829686751,4.3215049062487755e-05,48,False,True
8,63.90831,0.42313952984135905,0.00046051269319246165,48,False,True
7,67.89524,0.4923124505311005,0.00034589186320733886,48,False,True
6,69.8199,0.40060470068043624,0.00027700511652368256,48,False,True
5,98.65475,0.2887112740573992,0.0007796353555745557,48,False,True
3,132.00885,0.35407947015899405,0.0009143423701241249,48,False,True
