# param=dtau0 z=4.2 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z4.2/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.006041283,0.005372607159233045,1.4191170963476947e-05,48,True,True
19,0.006199533,0.005482409769722307,1.6727180069251008e-05,48,True,True
17,0.0081544,0.006319686861000262,4.2584053676819504e-05,48,True,True
15,0.008795504,0.005711241446893833,4.2817254069334914e-05,48,True,True
14,0.008875998,0.006346103752999488,4.289854087134361e-05,48,True,True
13,0.0115034245,0.006358969217375721,5.6111194634871654e-05,48,True,True
12,0.012321485,0.01120590965580398,5.0206698966925897e-05,48,True,True
11,0.013288096,0.01021318426194684,5.0982908964067494e-05,48,True,True
10,0.015895428,0.010213184262559849,6.407030812357199e-05,48,True,True
8,0.021265473,0.012617017462947966,5.0356737042556094e-05,48,True,True
7,0.02399292,0.01254992709309699,6.372939969165961e-05,48,True,True
6,0.042974297,0.013893813694430712,5.164459673324412e-05,48,True,True
5,0.085292816,0.012816920986613412,0.00035889316041645984,48,True,True
3,3.721605,0.06067236905071827,0.021389365813270188,48,True,True
2,19.395634,0.4675432741189751,0.0249044445633767,48,False,True
1,29.982712,0.7082308894136488,0.007264076746433965,48,False,True
