# param=herei z=4.2 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z4.2/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,1.5290302,0.3841508812194184,5.8738568216848904e-05,48,False,True
19,1.5717765,0.5593106109000411,2.358180543472684e-05,48,False,True
18,1.5853801,0.44824832594259323,4.7872028219848406e-05,48,False,True
17,1.7426237,0.42542643724403867,5.160804067976779e-05,48,False,True
16,2.116378,0.3043715189887217,0.00011222365634992406,48,False,True
15,2.4767814,0.6039329296098409,7.215092372854762e-05,48,False,True
14,2.5629673,0.32597063985857033,7.724968260553537e-05,48,False,True
12,2.728798,0.3886895467170818,0.00011010297182964493,48,False,True
11,3.9879832,0.6452045784880601,0.00038440672025734986,48,False,True
10,4.5529566,0.5014985252920582,7.508534652618115e-05,48,False,True
9,5.454436,0.4356604392131786,0.00012414215285381087,48,False,True
8,5.5952477,0.43566043921554676,0.00013817360850370061,48,False,True
7,8.506877,0.6130298567316953,0.0002196340263520409,48,False,True
6,10.3229885,0.4356604392131786,0.0019658197461756774,48,False,True
5,13.287934,0.6130298567316953,0.00232137575485831,48,False,True
4,16.52731,2.4394174795699315,0.0025835706772436434,48,False,True
3,20.57494,0.8869752089675057,0.003747130205315826,48,False,True
2,28.950241,0.46955033851885375,0.001870046400191348,48,False,True
1,39.078438,0.4695503385138705,0.0021047521766736415,48,False,True
