# param=hireionz z=4.2 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z4.2/pareto_hireionz.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,3.8849173,0.048562171659173314,0.0005247763564945465,48,True,True
19,4.6690245,0.025752187514451186,0.0005411344058971921,48,True,True
18,4.7328496,0.09282413835942543,0.00064048400953909,48,True,True
17,4.985603,0.019247877535595648,0.0005495189592954607,48,True,True
15,5.7406383,0.06363531563577984,0.0006643732900661404,48,True,True
14,6.435666,0.21773983476280512,0.0010391713166607325,48,True,True
13,6.610139,0.20658761581570512,0.001047174837593018,48,True,True
12,6.7348347,0.06748719762319205,0.000987340007412852,48,True,True
10,7.671268,0.21248052022024844,0.0008737940155330837,48,True,True
9,10.51701,0.20804456148671574,0.0009022328645449293,48,True,True
8,10.850922,0.07923286021833237,0.0006006004571461606,48,True,True
6,12.033356,0.11393067242341887,0.0006159930124194983,48,True,True
5,15.452073,0.04859580646361483,0.0006021592133621362,48,True,True
3,27.83003,0.06954306137314831,0.0006115572530805026,48,True,True
